trade_date,spot,f2m,f1y,ret1yl,roll1y
2010-09-01,132.4,120.5,120.5,42.599999999999994,357.5
2010-10-01,139.0,120.5,120.5,19.30000000000001,315.9
2010-11-01,147.3,120.5,120.5,26.599999999999994,296.3999999999999
2010-12-01,150.8,120.5,120.5,25.099999999999994,264.5999999999999
2011-01-03,162.8,120.5,120.5,23.900000000000006,221.0999999999999
2011-02-01,164.5,120.5,120.5,24.19999999999999,177.3999999999999
2011-03-01,166.9,120.5,120.5,28.400000000000006,135.1999999999999
2011-04-01,170.0,120.5,120.5,23.400000000000006,80.6999999999999
2011-05-02,174.1,120.5,120.5,21.19999999999999,24.899999999999892
2011-06-01,164.7,163.4,120.5,6.599999999999994,-33.90000000000009
2011-07-01,157.4,156.3,156.3,-20.600000000000023,-19.300000000000097
2011-08-01,162.9,161.8,161.8,-19.100000000000023,-18.90000000000009
2011-09-01,163.1,162.9,162.9,-16.30000000000001,-16.300000000000068
2011-10-03,139.8,139.8,139.8,9.799999999999983,9.799999999999926
2011-11-01,147.1,147.1,147.1,-3.6999999999999886,-3.7000000000000455
2011-12-01,145.6,145.6,145.6,-2.4000000000000057,-2.4000000000000625
2012-01-03,144.4,144.4,144.4,-4.5,-4.500000000000057
2012-02-01,144.7,144.7,144.7,-1.5999999999999943,-1.6000000000000512
2012-03-01,148.9,148.9,148.9,-13.200000000000017,-13.200000000000074
2012-04-02,143.9,143.9,143.9,-7.900000000000006,-7.9000000000000625
2012-05-01,141.7,141.7,141.7,-10.199999999999989,-10.200000000000045
2012-06-01,127.1,127.1,127.1,4.5,4.499999999999943
2012-07-02,135.7,135.7,135.7,-10.599999999999994,-10.600000000000051
2012-08-01,142.7,142.7,142.7,-16.499999999999986,-16.500000000000043
2012-09-04,146.6,146.6,146.6,-14.699999999999989,-14.700000000000045
2012-10-01,149.6,149.6,149.6,-23.299999999999997,-23.300000000000054
2012-11-01,143.4,143.4,143.4,-19.30000000000001,-19.300000000000068
2012-12-03,143.2,143.2,143.2,-19.499999999999986,-19.500000000000043
2013-01-02,139.9,139.9,139.9,-14.400000000000006,-14.400000000000063
2013-02-01,143.1,143.1,143.1,-16.599999999999994,-16.60000000000005
2013-03-01,135.7,135.7,135.7,-0.19999999999998863,-0.20000000000004547
2013-04-01,136.0,136.0,136.0,-2.1999999999999886,-2.2000000000000455
2013-05-01,131.5,131.5,131.5,5.0,4.999999999999943
2013-06-03,131.6,131.6,131.6,2.5,2.499999999999943
2013-07-01,125.1,125.1,125.1,9.099999999999994,9.099999999999937
2013-08-01,126.2,126.2,126.2,0.7999999999999972,0.7999999999999403
2013-09-03,131.9,131.9,131.9,-6.700000000000003,-6.70000000000006
2013-10-01,126.3,126.3,126.3,-7.599999999999994,-7.600000000000051
2013-11-01,124.1,124.1,124.1,-6.299999999999997,-6.300000000000054
2013-12-02,123.7,123.7,123.7,-8.799999999999997,-8.800000000000054
2014-01-02,125.5,125.5,125.5,-21.799999999999997,-21.800000000000054
2014-02-03,126.5,126.5,126.5,-25.200000000000003,-25.20000000000006
2014-03-03,135.5,135.5,135.5,-33.5,-33.50000000000006
2014-04-01,133.8,133.8,133.8,-34.10000000000001,-34.100000000000065
2014-05-01,136.5,136.5,136.5,-33.2,-33.20000000000006
2014-06-02,134.1,134.1,133.2,-31.999999999999986,-32.90000000000005
2014-07-01,134.2,134.2,134.2,-32.499999999999986,-32.50000000000004
2014-08-01,127.0,127.0,127.0,-36.7,-36.70000000000006
2014-09-02,125.2,125.2,124.5,-35.7,-36.40000000000006
2014-10-01,118.7,118.7,118.7,-31.5,-31.500000000000057
2014-11-03,117.8,117.8,117.8,-30.900009999999995,-30.90001000000005
2014-12-01,114.9,114.9,114.9,-33.00001,-33.00001000000006
2015-01-02,103.7,103.7,103.7,-25.60000000000001,-25.600000000000065
2015-02-02,101.3,101.3,101.3,-25.299999999999997,-25.300000000000054
2015-03-02,102.0,102.0,102.0,-25.900000000000006,-25.900000000000063
2015-04-01,99.7,99.7,99.7,-21.900000000000006,-21.900000000000063
2015-05-01,103.3,103.3,103.3,-18.700000000000003,-18.70000000000006
2015-06-01,101.2,101.2,101.2,-15.299999999999997,-15.300000000000054
2015-07-01,101.7,101.7,101.7,-12.100000000000009,-12.100000000000065
2015-08-03,90.3,90.3,90.3,-7.5,-11.300000000000068
2015-09-01,88.8,88.8,88.8,-6.700000000000003,-14.300000000000068
2015-10-01,87.2,87.2,87.2,-1.7000000000000028,-13.10000000000008
2015-11-02,86.89999,86.89999,86.89999,-2.299990000000008,-13.699990000000085
2015-12-01,81.89999,81.89999,81.89999,5.30001,-6.099990000000076
2016-01-04,78.1,78.1,81.89999,4.30001,-3.300000000000068
2016-02-01,76.0,76.0,79.8,8.799999999999997,1.1999999999999176
2016-03-01,76.1,76.1,79.89999,8.400009999999995,0.7999999999999261
2016-04-01,77.8,77.8,81.6,3.1000000000000085,-4.500000000000071
2016-05-02,84.6,84.6,88.4,-4.200000000000003,-11.800000000000068
2016-06-01,85.9,85.9,89.7,-7.200000000000003,-14.800000000000082
2016-07-01,89.6,93.4,93.4,-10.299990000000008,-17.899990000000074
2016-08-01,82.8,86.6,86.6,-3.0999999999999943,-6.9000000000000625
