trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-07-02,148.75,151.0,156.0,-3.0,-35.650000000000006
2007-08-01,150.5,152.0,157.0,-1.0,-33.400000000000006
2007-09-04,142.5,145.0,156.0,3.5,-22.650000000000006
2007-10-01,133.75,136.0,156.0,12.0,-2.9000000000000057
2007-11-01,131.0,134.0,153.0,13.0,3.299999999999983
2007-12-03,133.0,138.5,155.0,-12.0,6.299999999999983
2008-01-02,126.1,128.0,155.0,-42.0,-6.300000000000011
2008-02-01,122.0,128.0,154.0,-45.0,-7.300000000000011
2008-03-03,126.5,132.0,152.5,-39.75,-6.050000000000011
2008-04-01,136.0,138.5,152.75,-34.5,-11.800000000000011
2008-05-01,143.0,147.25,154.5,-32.25,-18.55000000000001
2008-06-02,147.0,149.75,158.5,-32.5,-19.05000000000001
2008-07-01,153.0,154.25,159.0,-38.75,-32.05000000000001
2008-08-01,156.0,158.25,164.35,-40.349999999999994,-31.30000000000001
2008-09-02,159.5,159.5,165.75,-47.75,-44.55000000000001
2008-10-01,168.0,164.8,157.0,-33.0,-52.05000000000001
2008-11-03,166.0,141.0,152.5,-14.75,-42.25
2008-12-01,143.0,138.0,150.0,-2.0,-38.75
2009-01-02,113.0,116.0,139.5,-5.25,-29.5
2009-02-02,109.0,113.0,148.0,-10.25,-25.75
2009-03-02,112.75,120.0,150.0,-6.5,-25.0
2009-04-01,118.25,124.5,152.0,-4.5,-22.0
2009-05-01,122.25,126.75,153.0,9.900000000000006,-6.349999999999994
2009-06-01,126.0,130.0,154.0,3.5,-17.099999999999994
2009-07-01,120.25,121.5,148.5,23.5,3.4000000000000057
2009-08-03,124.0,130.0,150.0,31.0,9.900000000000006
2009-09-01,118.0,123.0,151.0,61.0,51.900000000000006
2009-10-01,124.0,126.75,153.0,65.0,61.900000000000006
2009-11-02,137.75,142.5,155.75,56.25,65.9
2009-12-01,148.0,150.0,169.0,-6.75,34.150000000000006
2010-01-04,134.25,141.0,165.5,4.5,59.900000000000006
2010-02-01,137.75,143.0,160.0,43.0,94.9
2010-03-01,143.5,146.25,155.0,48.0,96.4
2010-04-01,147.5,149.5,150.0,50.5,95.65
2010-05-03,162.9,169.0,150.0,53.0,89.25
2010-06-01,157.5,161.25,145.0,72.0,111.75
2010-07-01,172.0,172.0,159.0,47.0,89.5
2010-08-02,181.0,182.0,161.25,47.75,84.475
2010-09-01,212.0,207.0,161.25,42.275000000000006,49.0
2010-10-01,218.0,197.0,160.0,18.5,14.525000000000006
2010-11-01,212.0,188.5,168.0,16.724999999999994,10.0
2010-12-01,162.25,160.0,164.75,-0.25,29.75
2011-01-03,170.0,171.25,156.0,5.5,18.25
2011-02-01,203.0,201.0,150.0,0.75,-27.75
2011-03-01,203.0,200.0,154.0,-8.525000000000006,-39.275000000000006
2011-04-01,200.5,196.0,150.0,-7.5,-49.025000000000006
2011-05-02,203.0,206.0,157.0,-22.75,-64.275
2011-06-01,217.0,217.5,167.0,-25.0,-69.275
2011-07-01,206.0,205.025,172.25,-17.19999999999999,-47.724999999999994
2011-08-01,209.0,209.0,182.0,-17.75,-43.69999999999999
2011-09-01,203.525,201.975,180.0,8.0,-15.724999999999994
2011-10-03,178.5,174.25,184.0,10.5,10.324999999999989
2011-11-01,184.725,171.0,182.0,5.0,-6.125
2011-12-01,164.5,163.0,175.0,-11.5,-8.625
2012-01-03,161.5,165.0,152.5,-1.9499999999999886,-20.57499999999999
2012-02-01,150.75,155.0,156.5,-2.0,-6.799999999999983
2012-03-01,145.475,151.75,158.0,0.15000000000000568,-0.3749999999999716
2012-04-02,142.5,142.5,153.0,13.0,11.625000000000028
2012-05-01,134.25,136.0,153.0,20.0,24.62500000000003
2012-06-01,142.0,145.0,153.5,4.5,1.6250000000000284
2012-07-02,155.05,156.25,161.25,-10.25,-21.424999999999983
2012-08-01,164.25,165.5,169.0,-21.75,-38.67499999999998
2012-09-04,188.0,191.925,180.0,-34.625,-68.79999999999998
2012-10-01,194.5,192.975,175.0,-14.974999999999994,-59.599999999999966
2012-11-01,187.0,172.5,181.0,-27.5,-60.52499999999998
2012-12-03,163.5,164.0,174.975,-17.974999999999994,-45.02499999999998
2013-01-02,150.55,154.975,157.0,0.0,-28.07499999999999
2013-02-01,154.5,161.25,157.5,28.5,-1.5999999999999943
2013-03-01,158.15,163.25,158.0,24.0,2.0
2013-04-01,166.0,168.25,158.5,33.75,9.949999999999989
2013-05-01,173.0,175.0,159.0,42.650000000000006,19.549999999999983
2013-06-03,158.0,164.0,159.5,58.75,49.57499999999999
2013-07-01,151.0,156.5,160.0,71.0,86.32499999999999
2013-08-01,147.25,153.0,160.5,77.25,104.02499999999998
2013-09-03,145.375,148.25,158.925,112.52499999999998,152.09999999999997
2013-10-01,160.025,160.4,161.025,99.975,139.37499999999997
2013-11-01,153.5,150.5,158.425,20.32499999999999,113.04999999999998
2013-12-02,157.0,153.5,158.5,17.5,107.29999999999998
2014-01-02,157.0,160.0,163.0,-2.0,95.54999999999998
2014-02-03,186.0,181.5,164.5,13.650000000000006,85.69999999999999
2014-03-03,182.0,181.55,165.0,15.150000000000006,81.32499999999999
2014-04-01,192.25,187.3,168.0,7.025000000000006,62.150000000000006
2014-05-01,201.65,205.225,175.225,9.275000000000006,51.70000000000002
2014-06-02,218.25,207.25,176.2,25.80000000000001,51.67500000000001
2014-07-01,231.0,229.3,178.0,14.525000000000006,15.450000000000017
2014-08-01,237.75,231.0,171.0,28.0,9.975000000000023
2014-09-02,271.45,261.95,180.0,54.400000000000006,4.875000000000028
2014-10-01,261.0,211.975,178.0,79.05000000000001,28.87500000000003
2014-11-03,178.75,175.25,176.0,79.0,90.62500000000003
2014-12-01,176.0,169.25,179.0,81.07499999999999,137.82500000000002
2015-01-02,161.0,162.0,168.5,36.974999999999994,141.55
2015-02-02,178.15,184.025,169.5,45.525000000000006,131.425
2015-03-02,180.15,183.5,171.0,28.775000000000006,115.57500000000002
2015-04-01,175.025,180.6,171.25,26.75,121.05000000000001
2015-05-01,184.5,189.0,183.0,25.0,122.4
2015-06-01,202.0,205.0,183.5,25.07499999999999,107.975
2015-07-01,192.525,196.025,186.75,47.275000000000006,140.95
2015-08-03,199.0,199.05,179.0,42.75,122.4
2015-09-01,234.4,234.0,180.0,31.5,73.55000000000001
2015-10-01,257.05,226.475,183.5,10.199999999999989,28.649999999999977
2015-11-02,255.0,212.125,192.025,-0.125,-3.9750000000000227
2015-12-01,260.075,210.0,194.825,20.75,-28.350000000000023
2016-01-04,205.475,209.0,180.0,42.0,-17.825000000000017
2016-02-01,215.025,219.5,194.725,27.30000000000001,-22.850000000000023
2016-03-01,199.775,201.0,197.975,26.025000000000006,-5.875000000000028
2016-04-01,198.0,202.75,198.0,17.0,-16.87500000000003
2016-05-02,208.0,210.0,195.975,15.525000000000006,-27.12500000000003
2016-06-01,208.575,213.525,204.25,36.17500000000001,1.7249999999999943
2016-07-01,234.025,237.325,183.5,82.0,0.22499999999999432
2016-08-01,221.75,225.0,183.5,85.85000000000002,17.099999999999994
