trade_date,spot,f2m,f1y,ret1yl,roll1y
2010-07-01,1.43,1.517,1.555,0.474,0.5049999999999999
2010-08-02,1.582,1.63,1.6230000000000002,0.47699999999999987,0.6629999999999998
2010-09-01,1.683,1.6469999999999998,1.61,0.23399999999999999,0.4139999999999997
2010-10-01,1.721,1.683,1.615,0.08000000000000007,0.1909999999999994
2010-11-01,1.621,1.4980000000000002,1.625,0.1469999999999998,0.42499999999999916
2010-12-01,1.472,1.4480000000000002,1.63,0.16000000000000014,0.5359999999999994
2011-01-03,1.392,1.43,1.63,-0.007999999999999785,0.5599999999999998
2011-02-01,1.702,1.839,1.646,-0.10199999999999987,0.17099999999999982
2011-03-01,1.945,1.776,1.66,-0.1319999999999999,0.022999999999999687
2011-04-01,1.6840000000000002,1.675,1.683,-0.1299999999999999,0.09599999999999986
2011-05-02,1.644,1.7380000000000002,1.693,-0.16900000000000004,0.07900000000000018
2011-06-01,1.873,1.962,1.693,-0.1299999999999999,-0.018999999999999462
2011-07-01,2.029,1.877,1.7,-0.028999999999999915,-0.022999999999999465
2011-08-01,2.1,2.04,1.76,-0.04299999999999993,-0.26099999999999945
2011-09-01,1.844,1.844,1.76,0.11299999999999999,-0.02599999999999958
2011-10-03,1.695,1.6,1.7619999999999998,0.30800000000000005,0.25300000000000034
2011-11-01,1.7719999999999998,1.705,1.692,0.365,0.11100000000000043
2011-12-01,1.79,1.654,1.7,0.10000000000000009,-0.13599999999999945
2012-01-03,1.622,1.661,1.721,0.02200000000000002,-0.1849999999999996
2012-02-01,1.544,1.57,1.75,-0.08099999999999996,-0.20299999999999963
2012-03-01,1.528,1.5719999999999998,1.755,-0.121,-0.22699999999999965
2012-04-02,1.5530000000000002,1.5719999999999998,1.76,-0.07099999999999995,-0.21099999999999985
2012-05-01,1.524,1.526,1.765,0.06400000000000006,-0.13400000000000012
2012-06-01,1.5630000000000002,1.608,1.71,0.038000000000000256,-0.32699999999999996
