trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-04-01,799.1,796.9,796.9,-72.5,-44.200000000000045
2011-05-02,791.2,789.0,789.0,-65.70000000000005,-37.100000000000136
2011-06-01,753.5,751.3,751.3,-131.29999999999995,-102.20000000000016
2011-07-01,760.9,758.7,758.7,-95.60000000000002,-65.60000000000014
2011-08-01,764.6,760.8,760.8,-61.299999999999955,-32.100000000000136
2011-09-01,680.3,677.7,677.7,30.899999999999977,60.499999999999886
2011-10-03,563.9,561.5,561.5,176.20000000000005,206.39999999999998
2011-11-01,674.1,671.6,671.6,50.5,81.79999999999995
2011-12-01,704.8,702.3,702.3,4.100000000000023,36.10000000000002
2012-01-03,710.4,707.7,707.7,22.0,54.40000000000009
2012-02-01,709.7,707.1,707.1,73.69999999999993,106.60000000000002
2012-03-01,756.2,753.6,753.6,23.600000000000023,56.80000000000007
2012-04-02,724.4,721.9,721.9,69.30000000000007,102.9000000000002
2012-05-01,723.3,720.6,720.6,49.39999999999998,83.30000000000018
2012-06-01,620.0,616.9,616.9,195.20000000000005,228.60000000000025
2012-07-02,663.1,660.1,660.1,129.0,162.00000000000023
2012-08-01,699.5,696.5,696.5,140.89999999999998,173.70000000000027
2012-09-04,708.6,705.6,705.6,115.69999999999993,148.4000000000002
2012-10-01,737.7,734.1,734.1,100.29999999999995,132.60000000000014
2012-11-01,722.1,718.9,718.9,141.80000000000007,174.00000000000023
2012-12-03,706.4,703.3,703.3,161.5,193.70000000000016
2013-01-02,729.7,726.6,726.6,146.10000000000002,178.5000000000001
2013-02-01,780.8,777.9,777.9,40.700000000000045,73.50000000000023
2013-03-01,777.2,774.3,774.3,96.20000000000005,129.5000000000001
2013-04-01,791.2,788.2,788.2,107.79999999999995,142.0
2013-05-01,770.0,767.4,767.4,166.70000000000005,202.10000000000002
2013-06-03,812.1,809.5,809.5,141.5,178.10000000000002
2013-07-01,789.1,786.3,786.3,215.80000000000007,253.5
2013-08-01,837.4,834.5,834.5,123.39999999999998,161.5999999999999
2013-09-03,821.3,818.1,818.1,156.29999999999995,194.89999999999998
2013-10-01,834.4,831.3,831.3,56.90000000000009,96.40000000000009
2013-11-01,860.7,857.6,857.6,1.1000000000000227,42.0
2013-12-02,864.8,861.5,861.5,-61.39999999999998,-19.999999999999886
2014-01-02,872.7,869.4,869.4,-75.10000000000002,-33.0
2014-02-03,818.6,815.2,815.2,-39.0,4.2000000000000455
2014-03-03,870.5,866.6,866.6,-84.0,-40.19999999999993
2014-04-01,896.0,892.2,892.2,-119.20000000000005,-74.89999999999986
2014-05-01,934.1,930.3,930.3,-103.0,-58.09999999999991
2014-06-02,951.0,947.1,947.1,-166.30000000000007,-120.79999999999995
2014-07-01,1002.1,998.7,998.7,-258.30000000000007,-211.89999999999998
2014-08-01,957.9,954.3,954.3,-277.69999999999993,-230.4999999999999
2014-09-02,974.4,970.4,970.4,-332.29999999999995,-284.79999999999984
2014-10-01,888.2,883.7,883.7,-273.20000000000005,-225.5999999999999
2014-11-03,858.7,854.9,854.9,-160.79999999999995,-112.59999999999991
2014-12-01,800.1,796.1,796.1,-112.60000000000002,-63.89999999999998
2015-01-02,794.3,789.8,789.8,-193.69999999999993,-145.29999999999984
2015-02-02,776.2,771.7,771.7,-201.10000000000002,-153.0999999999999
2015-03-02,782.6,778.3,778.3,-200.0,-151.9999999999999
2015-04-01,773.0,768.6,768.6,-160.39999999999998,-112.59999999999991
2015-05-01,827.3,822.8,822.8,-149.79999999999995,-102.99999999999989
2015-06-01,780.8,776.5,776.5,-108.5,-62.399999999999864
2015-07-01,740.4,736.0,736.0,-50.60000000000002,-5.199999999999818
2015-08-03,676.6,672.3,672.3,-22.199999999999932,22.500000000000227
2015-09-01,638.1,633.5,633.5,48.299999999999955,91.60000000000014
2015-10-01,610.5,606.1,606.1,98.29999999999995,140.0000000000001
2015-11-02,694.1,689.6,689.6,-3.0,36.90000000000009
2015-12-01,683.5,679.3,679.3,67.0,105.10000000000002
2016-01-04,596.1,592.0,592.0,170.5,206.69999999999993
2016-02-01,570.6,566.3,566.3,156.30000000000007,190.4999999999999
2016-03-01,578.3,574.1,574.1,153.29999999999995,185.4999999999999
2016-04-01,608.2,604.7,604.7,92.89999999999998,123.49999999999989
2016-05-02,673.0,669.4,669.4,6.5,35.59999999999991
2016-06-01,668.0,664.3,664.3,-7.5,20.099999999999795
2016-07-01,685.4,681.8,681.8,-18.899999999999977,7.299999999999727
2016-08-01,650.1,646.9,646.9,18.5,43.69999999999959
