trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-04-01,163.9,163.4,163.4,-4.849999999999994,0.7499999999999858
2011-05-02,162.7,162.2,162.2,-6.849999999999994,-1.2000000000000028
2011-06-01,152.85,152.35,152.35,-18.150000000000006,-12.500000000000014
2011-07-01,155.7,155.1,155.1,-8.75,-3.200000000000003
2011-08-01,146.85,146.25,146.25,-0.8000000000000114,4.749999999999986
2011-09-01,130.4,129.8,129.8,20.799999999999983,26.449999999999974
2011-10-03,111.95,111.5,111.5,44.44999999999999,50.39999999999998
2011-11-01,127.8,127.3,127.3,32.89999999999999,38.99999999999996
2011-12-01,126.7,126.2,126.2,30.10000000000001,36.29999999999997
2012-01-03,133.05,132.6,132.6,35.70000000000002,42.04999999999998
2012-02-01,142.25,141.8,141.8,34.04999999999998,40.54999999999998
2012-03-01,148.6,148.15,148.15,27.900000000000006,34.5
2012-04-02,158.55,158.0,158.0,22.599999999999994,29.19999999999999
2012-05-01,155.35,154.85,154.85,30.0,36.64999999999998
2012-06-01,134.2,133.7,133.7,64.05000000000001,70.89999999999998
2012-07-02,146.35,145.75,145.75,48.75,55.599999999999966
2012-08-01,145.45,144.75,144.75,62.55000000000001,69.19999999999999
2012-09-04,150.6,149.85,149.85,45.349999999999994,51.74999999999997
2012-10-01,155.95,155.3,155.3,44.44999999999999,50.74999999999997
2012-11-01,160.2,159.6,159.6,45.75,51.94999999999999
2012-12-03,156.3,155.7,155.7,57.900000000000006,63.99999999999997
2013-01-02,168.3,167.7,167.7,49.25,55.299999999999926
2013-02-01,175.85,175.3,175.3,29.19999999999999,35.299999999999926
2013-03-01,176.05,175.5,175.5,39.099999999999994,45.249999999999915
2013-04-01,180.6,180.05,180.05,43.25,49.44999999999993
2013-05-01,184.85,184.15,184.15,35.0,41.099999999999966
2013-06-03,197.75,197.15,197.15,25.299999999999983,31.44999999999996
2013-07-01,194.5,194.0,194.0,33.849999999999994,40.14999999999995
2013-08-01,207.3,206.8,206.8,14.549999999999983,21.049999999999926
2013-09-03,195.2,194.65,194.65,38.599999999999994,45.299999999999955
2013-10-01,199.75,199.25,199.25,29.0,35.99999999999997
2013-11-01,205.35,204.85,204.85,33.25,40.64999999999998
2013-12-02,213.6,213.05,213.05,28.25,35.849999999999994
2014-01-02,216.95,216.35,216.35,29.849999999999994,37.5
2014-02-03,204.5,203.9,203.9,28.799999999999983,36.349999999999994
2014-03-03,214.6,214.0,214.0,30.400000000000006,38.05000000000001
2014-04-01,223.3,222.7,222.7,17.0,24.849999999999994
2014-05-01,219.15,218.5,218.5,23.69999999999999,31.649999999999977
2014-06-02,222.45,221.8,221.8,23.5,31.599999999999994
2014-07-01,227.85,227.15,227.15,18.94999999999999,27.25
2014-08-01,221.35,220.6,220.6,29.900000000000006,38.35000000000002
2014-09-02,233.25,232.45,232.45,-6.949999999999989,1.5000000000000284
2014-10-01,228.25,227.35,227.35,-1.799999999999983,6.650000000000034
2014-11-03,238.1,237.35,237.35,6.050000000000011,14.55000000000004
2014-12-01,241.3,240.65,240.65,6.449999999999989,15.100000000000023
2015-01-02,246.2,245.7,245.7,-12.649999999999977,-3.69999999999996
2015-02-02,232.7,232.0,232.0,-16.69999999999999,-7.749999999999943
2015-03-02,244.4,243.6,243.6,-26.299999999999983,-17.299999999999926
2015-04-01,239.7,238.95,238.95,-12.799999999999983,-3.549999999999926
2015-05-01,242.2,241.4,241.4,-6.950000000000017,2.350000000000051
2015-06-01,245.3,244.4,244.4,-7.200000000000017,2.1000000000000227
2015-07-01,246.1,245.2,245.2,-18.5,-9.199999999999989
2015-08-03,250.5,249.7,249.7,-14.599999999999994,-5.200000000000017
2015-09-01,225.5,224.6,224.6,19.05000000000001,28.44999999999999
2015-10-01,225.55,224.75,224.75,11.300000000000011,20.799999999999983
2015-11-02,243.4,242.6,242.6,-0.8499999999999943,8.549999999999983
2015-12-01,247.1,246.3,246.3,34.75,44.0
2016-01-04,233.05,232.35,232.35,56.599999999999994,65.69999999999999
2016-02-01,215.3,214.45,214.45,72.30000000000001,80.79999999999998
2016-03-01,217.3,216.3,216.3,93.5,101.29999999999998
2016-04-01,226.15,225.3,225.3,65.94999999999999,73.09999999999997
2016-05-02,234.45,233.55,233.55,57.55000000000001,63.85000000000002
2016-06-01,237.2,236.3,236.3,52.55000000000001,58.10000000000008
2016-07-01,226.7,225.8,225.8,82.05000000000001,86.9500000000001
2016-08-01,235.1,234.2,234.2,76.69999999999999,80.90000000000012
