trade_date,spot,f2m,f1y,ret1yl,roll1y
2005-02-01,44.82,45.04,42.85,22.18,13.859999999999985
2005-03-01,50.11,49.77,46.55,15.900000000000006,5.539999999999985
2005-04-01,56.51,57.26,55.4,11.440000000000005,2.519999999999996
2005-05-03,50.52,51.09,50.94,22.950000000000003,16.029999999999987
2005-06-01,53.27,53.95,53.62,15.770000000000003,8.809999999999981
2005-07-01,57.54,58.48,58.98,14.530000000000008,8.439999999999984
2005-08-01,60.44,61.38,62.92,12.969999999999999,8.259999999999984
2005-09-01,67.72,67.91,67.49,1.6600000000000108,-4.690000000000012
2005-10-03,62.8,63.52,64.36,-3.9099999999999966,-9.350000000000009
2005-11-01,58.37,58.79,60.15,-1.1700000000000017,-7.070000000000007
2005-12-01,56.15,57.06,59.74,4.880000000000003,-0.30000000000000426
2006-01-03,61.35,61.7,64.55,-4.109999999999999,-9.450000000000003
2006-02-01,65.03,65.7,68.23,-11.510000000000005,-17.660000000000004
2006-03-01,62.45,63.12,66.71,-4.599999999999994,-9.920000000000002
2006-04-03,66.84,67.12,68.45,0.28999999999999204,-7.750000000000014
2006-05-01,73.89,74.43,75.09,-8.090000000000003,-16.080000000000013
2006-06-01,69.39,70.29,72.1,-3.030000000000001,-9.390000000000015
2006-07-03,73.51,74.11,75.13,-2.5,-9.270000000000024
2006-08-01,75.89,75.76,77.54,-2.190000000000012,-9.210000000000036
2006-09-01,69.15,70.22,74.09,-0.6800000000000068,-4.660000000000039
2006-10-02,60.45,61.85,67.3,10.340000000000003,9.709999999999951
2006-11-01,58.98,60.49,66.38,23.340000000000003,24.80999999999996
2006-12-01,64.62,65.3,69.95,19.849999999999994,21.189999999999948
2007-01-02,60.44,61.6,66.2,31.64,34.519999999999946
2007-02-01,56.72,57.62,62.22,27.22,31.249999999999943
2007-03-01,62.11,62.85,67.06,33.42,38.129999999999946
2007-04-02,68.74,68.56,69.97,30.200000000000003,32.25999999999995
2007-05-01,67.0,67.42,70.78,39.72,44.419999999999945
2007-06-01,69.07,69.29,71.87,56.150000000000006,60.48999999999997
2007-07-02,72.63,73.51,74.63,66.03999999999999,69.40999999999997
2007-08-01,75.35,75.47,73.87,50.31,50.28999999999998
2007-09-03,73.41,73.04,70.9,38.50999999999999,36.23999999999998
2007-10-01,77.64,77.49,75.15,20.179999999999993,16.159999999999982
2007-11-01,89.72,89.29,84.02,-23.54,-32.340000000000025
2007-12-03,89.8,89.37,87.15,-39.18000000000001,-47.40000000000002
2008-01-02,97.84,97.59,93.26,-46.35000000000001,-59.01000000000002
2008-02-01,89.44,89.11,87.91,-44.089999999999996,-56.84
2008-03-03,100.48,100.15,98.84,-56.63,-71.55000000000001
2008-04-01,100.17,99.9,96.96,-48.519999999999996,-66.29
2008-05-01,110.5,110.3,106.9,-54.050000000000004,-73.64
2008-06-02,128.02,128.41,128.78,-60.81,-77.33000000000001
2008-07-01,140.67,141.46,143.63,-74.83999999999999,-89.41
2008-08-01,124.18,125.52,128.99,-55.44000000000001,-67.92999999999999
2008-09-01,109.41,110.81,115.56,-47.83,-58.06999999999999
2008-10-01,95.33,96.75,103.2,-34.010000000000005,-41.879999999999995
2008-11-03,60.48,62.52,73.38,3.1700000000000017,0.970000000000006
2008-12-01,47.97,50.05,64.02,15.329999999999998,17.510000000000005
2009-01-02,46.91,49.8,62.53,17.590000000000003,20.60000000000001
2009-02-02,43.82,45.55,54.41,18.700000000000003,18.9
2009-03-02,42.21,43.16,50.28,26.61,25.42
2009-04-01,48.44,49.6,59.05,24.960000000000008,26.930000000000007
2009-05-01,52.85,53.94,63.23,25.71,28.070000000000007
2009-06-01,67.97,68.61,73.44,-0.730000000000004,-3.239999999999995
