trade_date,spot,f2m,f1y,ret1yl,roll1y
1980-06-02,2276.0,2320.0,2550.0,-942.0,-1324.0
1980-07-01,2199.0,2266.0,2537.0,-886.0,-1248.0
1980-08-01,2144.0,2205.0,2450.0,-415.0,-733.0
1980-09-02,2061.0,2123.0,2366.0,-271.0,-632.0
1980-10-01,2155.0,2233.0,2441.0,-249.0,-689.0
1980-11-03,2095.0,2179.0,2370.0,-390.0,-839.0
1980-12-01,1933.0,1950.0,2152.0,-172.0,-662.0
1981-01-05,2051.0,2080.0,2270.0,-128.0,-611.0
1981-02-02,1870.0,1920.0,2135.0,-261.0,-675.0
1981-03-02,1922.0,1962.0,2190.0,-303.0,-719.0
1981-04-01,2048.0,2098.0,2284.0,-624.0,-1048.0
1981-05-01,1847.0,1921.0,2152.0,-446.0,-787.0
1981-06-01,1608.0,1696.0,1983.0,-548.0,-695.0
1981-07-01,1651.0,1642.0,1903.0,-491.0,-724.0
1981-08-03,2035.0,2138.0,2264.0,-851.0,-1156.0
1981-09-01,2095.0,2217.0,2395.0,-1013.0,-1201.0
1981-10-01,2192.0,2268.0,2378.0,-810.0,-1090.0
1981-11-02,1980.0,2049.0,2143.0,-765.0,-1066.0
1981-12-01,1980.0,1990.0,2110.0,-699.0,-1061.0
1982-01-04,2142.0,2148.0,2217.0,-594.0,-1095.0
1982-02-01,1874.0,1929.0,2087.0,-269.0,-667.0
1982-03-01,1887.0,1903.0,2045.0,-280.0,-690.0
1982-04-01,1660.0,1696.0,1884.0,-155.0,-524.0
1982-05-03,1706.0,1656.0,1825.0,78.0,-399.0
1982-06-01,1435.0,1486.0,1715.0,284.0,-107.0
1982-07-01,1412.0,1452.0,1677.0,450.0,53.0
1982-08-02,1413.0,1470.0,1660.0,711.0,279.0
1982-09-01,1382.0,1482.0,1657.0,336.0,-56.0
1982-10-01,1568.0,1642.0,1810.0,183.0,-176.0
1982-11-01,1378.0,1475.0,1645.0,297.0,15.0
1982-12-01,1411.0,1505.0,1656.0,548.0,312.0
1983-01-03,1623.0,1664.0,1804.0,904.0,681.0
1983-02-01,1818.0,1830.0,1880.0,623.0,343.0
1983-03-01,1765.0,1806.0,1906.0,641.0,496.0
1983-04-04,1729.0,1768.0,1875.0,655.0,643.0
1983-05-02,1903.0,1928.0,2009.0,576.0,534.0
1983-06-01,1999.0,2041.0,2143.0,474.0,477.0
1983-07-01,2127.0,2184.0,2298.0,-73.0,-18.0
1983-08-01,2371.0,2416.0,2400.0,-437.0,-514.0
1983-09-01,1993.0,2027.0,2115.0,385.0,434.0
1983-10-03,1993.0,2015.0,2095.0,64.0,322.0
1983-11-01,1942.0,1971.0,2079.0,214.0,556.0
1983-12-01,2204.0,2221.0,2255.0,-47.0,298.0
1984-01-03,2708.0,2687.0,2572.0,-547.0,-271.0
1984-02-01,2503.0,2459.0,2358.0,-66.0,151.0
1984-03-01,2547.0,2460.0,2420.0,-287.0,-123.0
1984-04-02,2530.0,2559.0,2473.0,-95.0,29.0
1984-05-01,2585.0,2603.0,2485.0,-112.0,196.0
1984-06-01,2617.0,2634.0,2393.0,-317.0,163.0
1984-07-02,2225.0,2272.0,2283.0,-283.0,522.0
1984-08-01,1963.0,1975.0,2060.0,0.0,839.0
1984-09-04,2500.0,2305.0,2285.0,-151.0,334.0
1984-10-01,2159.0,2132.0,2175.0,100.0,551.0
1984-11-01,2293.0,2233.0,2226.0,-119.0,151.0
1984-12-03,2208.0,2107.0,2068.0,73.0,114.0
1985-01-02,2025.0,2054.0,2010.0,297.0,289.0
1985-02-01,2292.0,2319.0,2133.0,-25.0,-186.0
1985-03-01,2133.0,2156.0,2027.0,-15.0,-148.0
1985-04-01,2378.0,2180.0,2073.0,-212.0,-558.0
1985-05-01,2373.0,2095.0,2028.0,-278.0,-912.0
1985-06-03,2076.0,2050.0,2063.0,-341.0,-983.0
1985-07-01,2000.0,2052.0,2060.0,-310.0,-968.0
1985-08-01,2060.0,2114.0,2201.0,-282.0,-856.0
1985-09-03,2134.0,2204.0,2288.0,-206.0,-766.0
1985-10-01,2275.0,2346.0,2403.0,-420.0,-1002.0
1985-11-01,2107.0,2203.0,2310.0,-433.0,-902.0
1985-12-02,2141.0,2214.0,2333.0,-509.0,-942.0
1986-01-02,2307.0,2345.0,2412.0,-523.0,-1007.0
1986-02-03,2108.0,2160.0,2272.0,-450.0,-871.0
1986-03-03,2012.0,2049.0,2160.0,-306.0,-736.0
1986-04-01,1861.0,1911.0,2057.0,-135.0,-511.0
1986-05-01,1750.0,1812.0,1985.0,-30.0,-346.0
1986-06-02,1722.0,1785.0,1930.0,-67.0,-389.0
1986-07-01,1750.0,1799.0,1955.0,18.0,-272.0
1986-08-01,1919.0,1972.0,2085.0,-138.0,-440.0
1986-09-02,2082.0,2148.0,2253.0,-317.0,-579.0
1986-10-01,1983.0,2016.0,2092.0,-263.0,-519.0
1986-11-03,1877.0,1926.0,2023.0,-191.0,-394.0
1986-12-01,1824.0,1861.0,1964.0,-109.0,-308.0
1987-01-05,1889.0,1923.0,2015.0,-175.0,-352.0
1987-02-02,1822.0,1867.0,1980.0,-235.0,-368.0
1987-03-02,1854.0,1885.0,1993.0,-395.0,-534.0
1987-04-01,1922.0,1951.0,2057.0,-482.0,-632.0
1987-05-01,1955.0,1996.0,2105.0,-533.0,-643.0
1987-06-01,1863.0,1891.0,2020.0,-409.0,-503.0
1987-07-01,1973.0,1995.0,2074.0,-504.0,-643.0
1987-08-03,1947.0,1965.0,2076.0,-609.0,-709.0
1987-09-01,1936.0,1934.0,2025.0,-838.0,-968.0
1987-10-01,1829.0,1846.0,1958.0,-826.0,-954.0
1987-11-02,1832.0,1871.0,1998.0,-664.0,-754.0
1987-12-01,1855.0,1856.0,1982.0,-563.0,-641.0
1988-01-04,1840.0,1862.0,1991.0,-452.0,-547.0
1988-02-01,1745.0,1777.0,1893.0,-409.0,-474.0
1988-03-01,1598.0,1636.0,1768.0,-209.0,-160.0
1988-04-04,1575.0,1579.0,1698.0,-299.0,-123.0
1988-05-02,1572.0,1604.0,1718.0,-468.0,-205.0
1988-06-01,1611.0,1628.0,1741.0,-602.0,-291.0
1988-07-01,1570.0,1581.0,1625.0,-403.0,-177.0
1988-08-01,1467.0,1475.0,1570.0,-313.0,-47.0
1988-09-01,1187.0,1223.0,1268.0,-145.0,76.0
1988-10-03,1132.0,1148.0,1262.0,-254.0,37.0
1988-11-01,1334.0,1322.0,1380.0,-406.0,-193.0
1988-12-01,1419.0,1461.0,1485.0,-549.0001,-343.00019999999995
1989-01-03,1539.0,1528.0,1538.0,-609.0,-419.0002999999999
1989-02-01,1484.0,1424.0,1363.0,-402.0001,-348.0003999999999
1989-03-01,1559.0,1423.0,1370.0,-297.0,-368.0003999999999
1989-04-03,1399.0,1339.0,1311.0,-148.0,-235.0003999999999
1989-05-01,1250.0,1218.0,1242.0,58.0,-23.0003999999999
1989-06-01,1139.0,1166.0,1250.0,97.0,78.9996000000001
1989-07-03,1222.0,1241.0,1315.0,-31.0,-60.0003999999999
1989-08-01,1257.0,1288.0,1332.0,-108.0,-161.0003999999999
1989-09-01,1123.0,1138.0,1200.0,90.0,27.9996000000001
1989-10-02,1008.0,1018.0,1106.0,134.0,65.9996000000001
1989-11-01,974.0,989.0001,1060.0,101.0,-17.0003999999999
1989-12-01,935.9999,927.0001,985.9999,231.00009999999997,30.99980000000005
1990-01-02,929.0,934.0,1005.0,141.0,-79.00009999999997
1990-02-01,960.9999,958.0,1031.0,100.0,-161.0
1990-03-01,1073.0,1054.0,1120.0,-35.0,-360.0
1990-04-02,1163.0,1177.0,1243.0,-109.0,-456.0
1990-05-01,1300.0,1324.0,1385.0,-381.0,-740.0
1990-06-01,1347.0,1367.0,1445.0,-430.0,-771.0
1990-07-02,1284.0,1309.0,1420.0,-528.0,-839.0
1990-08-01,1224.0,1266.0,1371.0,-336.0,-660.0
1990-09-04,1290.0,1332.0,1465.0,-380.0,-688.0
1990-10-01,1240.0,1288.0,1409.0,-199.0,-514.0
1990-11-01,1161.0,1222.0,1368.0,-164.0,-446.0
1990-12-03,1217.0,1254.0,1397.0,-219.0,-529.0
1991-01-02,1146.0,1186.0,1357.0,-104.0,-394.0
1991-02-01,1131.0,1169.0,1334.0,-191.0,-487.0
1991-03-01,1085.0,1121.0,1271.0,-189.0,-503.0
1991-04-01,1134.0,1165.0,1287.0,-328.0,-667.0
1991-05-01,1004.0,1023.0,1156.0,-255.0,-604.0
1991-06-03,1015.0,1043.0,1178.0,-300.0,-661.0
1991-07-01,892.0,941.0,1090.0,-175.99990000000003,-518.9998
1991-08-01,1035.0,1089.0,1209.0,-132.0,-494.99980000000005
1991-09-03,1085.0,1128.0,1252.0,-252.0,-626.9998
1991-10-01,1210.0,1263.0,1388.0,-375.0,-739.9998
1991-11-01,1204.0,1266.0,1396.0,-435.9999,-785.9997000000001
1991-12-02,1178.0,1226.0,1357.0,-375.0,-721.9997000000001
1992-01-02,1253.0,1291.0,1413.0,-483.0,-837.9997000000001
1992-02-03,1143.0,1182.0,1316.0,-396.0,-728.9997000000001
1992-03-02,1082.0,1110.0,1261.0,-352.0,-668.9997000000001
1992-04-01,959.0,999.0,1159.0,-254.0,-552.9996000000001
1992-05-01,901.0,943.0,1111.0,-211.0,-489.9997000000001
1992-06-01,878.0,922.9999,1089.0,-211.0,-482.9996000000001
1992-07-01,914.0001,959.0,1110.0,-194.0,-468.9997000000001
1992-08-03,1077.0,1136.0,1275.0,-316.0,-566.9998
1992-09-01,1000.0,1044.0,1184.0,-197.0,-443.99980000000005
1992-10-01,1013.0,1065.0,1185.0,25.0,-278.99980000000005
1992-11-02,960.0001,1006.0,1130.0,-18.0,-302.9999
1992-12-01,982.0,1019.0,1120.0,167.0,-147.99990000000003
1993-01-04,930.0,959.0,1070.0,95.0,-192.99990000000003
1993-02-01,920.0,949.0,1072.0,-17.0,-295.9999
1993-03-01,909.0,939.9999,1048.0,90.0,-207.99990000000003
1993-04-01,905.0,935.0001,1046.0,102.0,-179.0
1993-05-03,900.0,935.9999,1061.0,76.0,-185.99990000000003
1993-06-01,878.0,910.9999,1030.0,344.0,101.0
1993-07-01,916.0,939.0001,1028.0,278.0,2.999900000000025
1993-08-02,959.0,1000.0,1090.0,382.0,122.0
1993-09-01,987.0,1076.0,1187.0,138.0,-53.0
1993-10-01,1210.0,1241.0,1295.0,7.0,-257.0
1993-11-01,1112.0,1156.0,1218.0,91.0,-175.0
1993-12-01,1287.0,1299.0,1353.0,-140.0,-446.0
1994-01-03,1165.0,1197.0,1290.0,4.0,-249.0
1994-02-01,1055.0,1090.0,1210.0,150.0,-60.0
1994-03-01,1138.0,1154.0,1261.0,140.0,-97.0
1994-04-01,1148.0,1179.0,1270.0,36.0,-214.0
1994-05-02,1137.0,1145.0,1273.0,118.0,-110.0
1994-06-01,1374.0,1399.0,1512.0,-152.0,-367.0
1994-07-01,1306.0,1333.0,1456.0,-176.0,-376.0
1994-08-01,1472.0,1513.0,1614.0,-353.0,-552.0
1994-09-01,1325.0,1372.0,1482.0,-160.0,-331.0
1994-10-03,1302.0,1356.0,1468.0,-199.0,-331.0
1994-11-01,1309.0,1353.0,1461.0,-148.0,-276.0
1994-12-01,1213.0,1231.0,1326.0,-34.0,-193.0
1995-01-03,1294.0,1313.0,1409.0,-138.0,-284.0
1995-02-01,1360.0,1390.0,1473.0,-213.0,-365.0
1995-03-01,1401.0,1429.0,1499.0,-262.0,-422.0
1995-04-03,1306.0,1329.0,1426.0,-118.0,-244.0
1995-05-01,1391.0,1388.0,1496.0,-121.0,-258.0
1995-06-01,1360.0,1382.0,1484.0,-128.0,-262.0
1995-07-05,1280.0,1298.0,1405.0,-1.0,-131.0
1995-08-01,1261.0,1289.0,1385.0,-42.0,-187.0
1995-09-01,1322.0,1339.0,1444.0,-152.0,-309.0
1995-10-02,1269.0,1305.0,1400.0,-40.0,-215.0
1995-11-01,1313.0,1349.0,1440.0,-95.0,-268.0
1995-12-01,1292.0,1299.0,1387.0,-39.0,-247.0
1996-01-02,1271.0,1294.0,1399.0,-6.0,-226.0
1996-02-01,1260.0,1283.0,1380.0,-57.0,-284.0
1996-03-01,1237.0,1253.0,1358.0,-98.0,-330.0
1996-04-01,1308.0,1327.0,1412.0,100.0,-188.0
1996-05-01,1375.0,1388.0,1431.0,-51.0,-396.0
1996-06-03,1356.0,1375.0,1440.0,9.0,-306.0
1996-07-01,1404.0,1436.0,1495.0,163.0,-162.0
1996-08-01,1343.0,1381.0,1470.0,47.0,-237.0
1996-09-03,1292.0,1336.0,1426.0,246.0,-40.0
1996-10-01,1360.0,1390.0,1469.0,209.0,-92.0
1996-11-01,1345.0,1384.0,1453.0,125.0,-175.0
1996-12-02,1348.0,1400.0,1478.0,51.0,-228.0
1997-01-02,1393.0,1415.0,1488.0,108.0,-184.0
1997-02-03,1323.0,1352.0,1453.0,111.0,-158.0
1997-03-03,1260.0,1315.0,1424.0,160.0,-79.0
1997-04-01,1512.0,1540.0,1615.0,11.0,-254.0
1997-05-01,1380.0,1391.0,1493.0,179.0,-68.0
1997-06-02,1449.0,1485.0,1583.0,57.0,-158.0
1997-07-01,1658.0,1685.0,1798.0,-244.0,-443.0
