trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-01-03,1684,1707,1784,313.0,197.0
2007-02-01,1641,1676,1759,567.0,491.0
2007-03-01,1803,1828,1903,873.0,785.0
2007-04-02,1835,1864,1942,340.0,271.0
2007-05-01,1834,1861,1946,671.0,605.0
2007-06-01,1883,1909,1988,802.0,785.0
2007-07-02,2051,2075,2143,1132.0,1115.0
2007-08-01,1917,1952,2023,973.0,1017.0
2007-09-04,1795,1816,1885,779.0,819.0
2007-10-01,2030,1993,2015,496.0,453.0
2007-11-01,1974,1981,2030,-61.0,-89.0
2007-12-03,2030,2031,2061,103.0,34.0
2008-01-02,2097,2098,2126,414.0,346.0
2008-02-01,2326,2355,2361,359.0,306.0
2008-03-03,2776,2789,2767,-554.0,-628.0
2008-04-01,2282,2313,2329,289.0,305.0
2008-05-01,2617,2588,2561,-237.0,-292.0
2008-06-02,2790,2803,2762,-121.0,-193.0
2008-07-01,3275,3252,3191,-687.0,-828.0
2008-08-01,2996,3019,3017,-82.0,-168.0
2008-09-02,2664,2663,2662,160.0,37.0
2008-10-01,2511,2530,2564,528.0,432.0
2008-11-03,1969,1992,2067,1183.0,1127.0
2008-12-01,2164,2162,2123,1230.0,1015.0
2009-01-02,2540,2532,2453,803.0,522.0
2009-02-02,2720,2726,2627,525.0,208.0
2009-03-02,2213,2192,2170,692.0,387.0
2009-04-01,2618,2617,2601,389.0,60.0
2009-05-01,2324,2340,2397,836.0,563.0
2009-06-01,2641,2667,2704,286.0,-2.0
2009-07-01,2504,2531,2564,477.0,184.0
2009-08-03,2935,2972,3004,78.0,-198.0
2009-09-01,2822,2849,2878,-126.0,-407.0
2009-10-01,3092,3116,3129,-346.0,-645.0
2009-11-02,3250,3293,3276,-517.0,-828.0
2009-12-01,3353,3371,3344,-586.0,-932.0
2010-01-04,3256,3278,3251,-216.0,-562.0
2010-02-01,3152,3196,3243,70.0,-175.0
2010-03-01,2862,2891,2961,659.0,463.0
2010-04-01,2990,3023,3096,-85.0,-198.0
2010-05-03,3233,3254,3299,-8.0,-145.0
2010-06-01,2990,3018,3086,-133.0,-226.0
2010-07-01,3041,3060,3098,57.0,-62.0
2010-08-02,3082,3111,3172,-217.0,-307.0
2010-09-01,2752,2778,2830,245.0,138.0
2010-10-01,2783,2808,2865,-290.0,-397.0
2010-11-01,2759,2802,2876,-276.0,-360.0
2010-12-01,2758,2780,2908,-621.0,-662.0
2011-01-03,3035,3052,3165,-1050.0,-1100.0
2011-02-01,3313,3316,3331,-1106.0,-1271.0
2011-03-01,3620,3573,3482,-1116.0,-1468.0
2011-04-01,3011,3028,3101,-914.0,-1103.0
2011-05-02,3291,3298,3346,-1027.0,-1262.0
2011-06-01,2953,2968,3052,-989.0,-1185.0
2011-07-01,3155,3178,3223,-933.0,-1149.0
2011-08-01,2955,2989,3052,-651.0,-830.0
2011-09-01,3075,3105,3136,-585.0,-776.0
2011-10-03,2575,2612,2670,-220.0,-355.0
2011-11-01,2600,2633,2684,-264.0,-387.0
2011-12-01,2287,2298,2351,168.0,45.0
2012-01-03,2115,2135,2206,55.0,-35.0
2012-02-01,2225,2259,2346,-141.0,-166.0
2012-03-01,2366,2384,2411,-329.0,-396.0
2012-04-02,2187,2215,2269,-85.0,-107.0
2012-05-01,2319,2331,2354,61.0,4.0
2012-06-01,2063,2067,2128,118.0,97.0
2012-07-02,2290,2305,2325,-166.0,-216.0
2012-08-01,2401,2411,2447,-146.0,-179.0
2012-09-04,2551,2559,2586,-168.0,-211.0
2012-10-01,2450,2464,2501,133.0,105.0
2012-11-01,2420,2433,2466,185.0,163.0
2012-12-03,2519,2524,2534,279.0,228.0
2013-01-02,2261,2246,2279,357.0,313.0
2013-02-01,2205,2205,2248,666.0,626.0
2013-03-01,2082,2092,2135,783.0,741.0
2013-04-01,2184,2200,2232,711.0,666.0
2013-05-01,2415,2421,2437,485.0,414.0
2013-06-03,2246,2249,2268,801.0,724.0
2013-07-01,2159,2168,2206,913.0,861.0
2013-08-01,2301,2310,2337,870.0,818.0
2013-09-03,2418,2427,2442,723.0,691.0
2013-10-01,2634,2637,2620,552.0,511.0
2013-11-01,2651,2662,2634,227.0,216.0
2013-12-02,2813,2814,2755,141.0,105.0
2014-01-02,2636,2642,2617,310.0,319.0
2014-02-03,2914,2926,2876,-204.0,-192.0
2014-03-03,2918,2926,2908,98.0,145.0
2014-04-01,2943,2959,2957,-209.0,-114.0
2014-05-01,2922,2934,2945,-68.0,62.0
2014-06-02,3069,3072,3053,0.0,111.0
2014-07-01,3119,3117,3110,166.0,291.0
2014-08-01,3207,3184,3117,49.0,100.0
2014-09-02,3165,3145,3088,53.0,79.0
2014-10-01,3172,3142,3072,33.0,27.0
2014-11-03,2861,2856,2846,449.0,493.0
2014-12-01,2896,2891,2858,479.0,495.0
2015-01-02,2927,2911,2856,268.0,248.0
2015-02-02,2672,2677,2654,214.0,231.0
2015-03-02,3006,2990,2894,39.0,-36.0
2015-04-01,2748,2738,2702,179.0,157.0
2015-05-01,2877,2869,2821,396.0,343.0
2015-06-01,3053,3049,3010,36.0,-12.0
2015-07-01,3276,3267,3225,-230.0,-271.0
2015-08-03,3166,3181,3170,-244.0,-211.0
2015-09-01,3141,3130,3100,-203.0,-196.0
