trade_date,spot,f2m,f1y,ret1yl,roll1y
2008-09-01,24.95,26.05,26.05,-11.280000000000001,-14.52
2008-10-01,22.83,23.84,23.84,-10.62,-12.869999999999994
2008-11-03,18.25,18.88,18.88,-4.34,-6.2599999999999945
2008-12-01,15.53,16.21,16.21,-2.7200000000000006,-4.319999999999995
2009-01-02,15.1,15.38,16.11,-3.1999999999999993,-3.989999999999993
2009-02-02,11.01,11.01,11.69,0.8800000000000008,-0.1399999999999917
2009-03-02,9.95,9.95,10.49,2.6999999999999993,1.3900000000000077
2009-04-01,11.9,11.9,12.87,0.11000000000000121,-0.909999999999993
2009-05-01,14.15,14.4,15.08,0.7400000000000002,-0.3799999999999919
2009-06-01,14.93,15.17,15.82,-0.7699999999999996,-1.7299999999999898
2009-07-01,13.13,13.24,13.75,1.4299999999999997,0.40000000000000924
2009-08-03,14.37,14.41,14.85,-0.41999999999999993,-1.54999999999999
2009-09-01,14.77,14.79,15.18,0.16000000000000014,-1.0599999999999898
2009-10-01,13.22,13.52,13.52,1.8399999999999999,0.48000000000000753
2009-11-02,14.54,14.9,14.9,-0.21000000000000085,-1.3599999999999923
2009-12-01,13.49,13.69,13.69,1.1500000000000004,0.1200000000000081
2010-01-04,12.91,13.09,13.69,0.5200000000000014,0.20000000000000817
2010-02-01,12.57,12.72,13.16,1.4800000000000004,1.0700000000000092
2010-03-01,13.19,13.33,13.78,1.5,1.160000000000009
2010-04-01,12.98,13.04,13.54,3.210000000000001,2.9000000000000092
2010-05-04,15.82,15.87,16.32,0.48999999999999844,-0.059999999999991616
2010-06-01,15.05,15.09,15.51,1.0000000000000018,0.2600000000000069
2010-07-01,15.18,15.25,15.57,-2.460000000000001,-3.2599999999999927
2010-08-02,14.43,14.49,14.82,-2.9399999999999995,-3.7299999999999915
2010-09-01,15.34,15.39,15.7,-2.8999999999999986,-3.679999999999991
2010-10-01,15.36,15.51,15.65,-5.5600000000000005,-6.38999999999999
2010-11-01,14.69,14.77,15.0,-5.15,-5.849999999999991
2010-12-01,14.84,14.91,15.1,-7.17,-7.8599999999999905
