trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-09-01,0.51,0.52,0.5,-0.10999999999999999,-0.09999999999999998
2015-10-01,0.54,0.53,0.5,-0.12,-0.13
2015-11-02,0.63,0.63,0.54,-0.17000000000000004,-0.24
2015-12-01,0.6,0.6,0.55,-0.26000000000000006,-0.3
2016-01-04,0.49,0.49,0.47,-0.20999999999999996,-0.21999999999999997
2016-02-01,0.39,0.39,0.36,-0.07999999999999996,-0.09999999999999998
2016-03-01,0.38,0.37,0.35,-0.06999999999999995,-0.08999999999999997
2016-04-01,0.39,0.39,0.39,-0.12,-0.12
2016-05-02,0.43,0.42,0.42,-0.18,-0.19
2016-06-01,0.4,0.4,0.4,-0.18000000000000002,-0.19000000000000003
2016-07-01,0.38,0.38,0.38,-0.17,-0.18000000000000002
2016-08-01,0.4,0.4,0.42,-0.21,-0.20000000000000004
