trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-03-01,47.75,57.75,73.75,-19.0,-64.75
2011-04-01,45.75,53.5,66.25,-8.75,-51.75
2011-05-02,34.75,48.75,68.25,-14.75,-39.0
2011-06-01,50.0,59.0,64.5,-6.25,-37.75
2011-07-01,34.5,50.25,57.75,-42.5,-54.75
2011-08-01,34.75,45.25,56.0,12.5,-10.0
2011-09-01,38.5,34.5,61.25,-8.0,-10.25
2011-10-03,37.0,48.0,55.0,-13.25,-13.0
2011-11-01,50.0,47.5,61.75,0.0,0.0
2011-12-01,54.5,54.5,63.5,0.0,6.0
2012-01-03,57.25,57.25,65.25,-19.5,-14.5
2012-02-01,56.75,57.0,62.0,-11.25,-9.0
2012-03-01,54.75,56.5,73.25,-53.5,-44.25
2012-04-02,57.5,59.5,66.75,-30.25,-56.0
2012-05-01,53.5,55.75,66.25,-54.5,-89.0
2012-06-01,58.25,56.75,63.75,-61.25,-143.0
2012-07-02,15.25,39.25,56.5,-45.0,-118.0
2012-08-01,68.5,60.25,54.25,-8.75,-133.0
2012-09-04,53.25,42.0,77.5,37.0,-120.75
2012-10-01,41.75,46.75,69.75,1.0,-121.5
2012-11-01,61.75,50.5,61.25,-1.0,-138.5
2012-12-03,63.5,63.5,53.75,15.0,-145.5
2013-01-02,45.75,45.75,59.5,9.5,-171.0
2013-02-01,50.75,57.25,68.75,5.25,-152.75
2013-03-01,19.75,47.25,68.5,2.25,-99.25
2013-04-01,36.5,50.75,62.75,-30.0,-103.75
2013-05-01,11.75,54.0,61.25,-14.0,-50.0
2013-06-03,2.5,28.0,60.5,-26.5,-5.0
2013-07-01,11.5,31.25,64.25,-33.25,0.75
2013-08-01,45.5,109.25,76.5,-49.0,-33.0
2013-09-03,114.5,71.75,91.25,153.75,106.5
2013-10-01,70.75,62.25,76.0,38.25,83.5
2013-11-01,60.25,62.75,74.5,91.0,109.75
2013-12-02,68.75,112.25,69.25,66.0,108.0
2014-01-02,69.0,50.75,69.5,63.75,101.5
2014-02-03,74.0,54.75,69.75,26.75,80.5
2014-03-03,70.75,48.0,72.0,33.25,91.25
2014-04-01,32.75,32.5,68.75,9.25,103.5
2014-05-01,47.25,40.5,71.5,-1.75,85.5
2014-06-02,34.0,41.75,67.25,39.0,129.5
2014-07-01,31.0,47.0,74.75,36.0,143.5
2014-08-01,27.5,100.25,82.25,41.75,188.5
2014-09-02,245.0,138.25,82.25,31.75,33.25
2014-10-01,114.25,141.25,81.75,4.75,34.0
2014-11-03,165.5,131.0,87.25,6.25,11.5
2014-12-01,135.25,183.0,83.25,-11.5,-15.5
2015-01-02,133.25,94.25,68.0,-24.25,0.75
2015-02-02,96.5,78.5,77.75,-24.0,-4.75
2015-03-02,105.25,81.0,82.75,-32.25,-40.25
2015-04-01,78.0,73.0,77.0,-17.25,-30.75
2015-05-01,69.75,68.75,75.0,3.25,-9.75
2015-06-01,106.25,107.5,91.25,41.0,7.25
2015-07-01,110.75,98.5,93.0,-29.75,-45.25
2015-08-03,124.0,124.5,92.5,-26.5,-72.75
2015-09-01,114.0,109.75,101.5,-17.5,-59.75
2015-10-01,86.5,91.75,82.25,-18.75,-64.0
2015-11-02,93.5,94.5,86.75,-6.75,-56.75
2015-12-01,71.75,77.25,81.75,-7.25,-37.0
2016-01-04,43.75,57.0,71.5,0.25,-6.5
2016-02-01,53.75,59.25,70.0,9.75,2.0
2016-03-01,50.5,53.25,68.75,6.5,5.25
2016-04-01,59.75,60.5,70.5,13.5,6.0
2016-05-02,78.25,77.75,81.5,1.75,-12.25
2016-06-01,132.25,112.5,84.5,1.5,-65.25
2016-07-01,63.25,68.0,69.5,16.25,-18.25
2016-08-01,66.0,81.5,109.0,-17.75,-11.0
