trade_date,spot,f2m,f1y,ret1yl,roll1y
1971-03-01,27.0,27.7,28.05,9.77,3.429999999999996
1971-04-01,27.33,27.63,29.1,11.399999999999999,6.75
1971-05-03,27.96,28.48,31.3,11.599999999999998,9.2
1971-06-01,27.4,28.95,31.4,8.050000000000004,7.130000000000003
1971-07-01,26.9,28.86,30.3,9.499999999999996,15.379999999999999
1971-08-02,30.86,31.53,30.25,-0.9899999999999984,9.590000000000003
1971-09-01,30.3,31.0,30.0,-0.879999999999999,11.910000000000004
1971-10-01,31.57,32.21,30.87,-1.7200000000000024,12.970000000000002
1971-11-01,31.65,32.43,30.68,-1.2399999999999984,15.620000000000005
1971-12-01,33.28,33.45,30.6,2.299999999999997,18.42
1972-01-03,37.65,37.33,32.25,3.8500000000000014,18.470000000000006
1972-02-01,36.0,35.72,32.15,5.759999999999998,21.86
1972-03-01,37.82,37.55,31.92,7.3799999999999955,21.379999999999995
1972-04-03,40.5,40.12,32.37,10.510000000000005,22.209999999999994
1972-05-01,42.9,42.6,32.35,19.85,29.389999999999993
1972-06-01,39.45,33.6,31.8,19.499999999999996,32.639999999999986
1972-07-05,39.8,33.05,30.52,25.279999999999998,31.93999999999999
1972-08-01,29.26,28.03,28.53,35.22,43.27999999999999
1972-09-01,29.12,27.52,28.6,61.99999999999999,71.99999999999997
1972-10-02,29.15,27.35,28.9,59.1,73.46999999999997
1972-11-01,29.44,29.25,28.88,39.120000000000005,57.57999999999997
1972-12-01,32.9,31.85,29.98,49.56999999999999,66.87999999999997
1973-01-02,36.1,35.85,32.14,54.61,73.97999999999996
1973-02-01,37.91,37.68,32.97,41.129999999999995,62.01999999999996
1973-03-01,39.3,39.1,36.46,35.74,58.69999999999996
1973-04-02,42.88,42.24,39.26,24.940000000000005,48.51999999999997
1973-05-01,52.2,51.2,46.35,19.15,41.459999999999965
1973-06-01,51.3,50.3,46.0,9.450000000000003,32.27999999999997
1973-07-02,55.8,56.2,54.5,6.5,37.17999999999997
1973-08-01,63.75,60.79,54.65,-0.04999999999999716,29.029999999999973
1973-09-04,90.6,84.9,64.0,-14.25,-4.65000000000002
1973-10-01,88.0,81.8,61.5,-13.829999999999998,-10.13000000000001
1973-11-01,68.0,66.6,54.95,-11.400000000000006,-2.450000000000017
1973-12-03,79.55,75.4,59.75,-18.9,-19.05000000000002
1974-01-02,86.75,84.0,63.2,-24.75,-32.23000000000001
1974-02-01,74.1,73.9,65.85,-25.859999999999992,-21.740000000000002
1974-03-01,72.2,70.6,60.4,-20.299999999999997,-20.839999999999996
1974-04-01,64.2,62.6,57.2,-13.96,-11.900000000000006
1974-05-01,65.5,64.53,57.0,-12.049999999999997,-13.759999999999998
1974-06-03,55.45,50.6,52.6,-8.649999999999999,-6.329999999999998
1974-07-01,61.0,55.2,55.85,-9.700000000000003,-15.729999999999997
1974-08-01,54.6,53.62,55.65,-5.789999999999999,-12.669999999999995
1974-09-03,49.75,50.05,54.8,-2.6999999999999957,-6.859999999999992
1974-10-01,47.67,49.67,54.7,1.2999999999999972,-1.029999999999994
1974-11-01,43.55,44.5,49.25,2.1000000000000014,-1.29999999999999
1974-12-02,40.85,40.28,44.4,10.550000000000004,4.550000000000011
1975-01-02,38.45,39.4,43.35,18.799999999999997,11.580000000000005
1975-02-03,39.99,40.9,45.8,15.150000000000006,9.290000000000006
1975-03-03,40.1,40.7,45.45,17.22,10.740000000000002
1975-04-01,43.24,43.91,47.5,11.200000000000003,3.920000000000009
1975-05-01,44.95,45.6,49.8,14.0,7.18
1975-06-02,43.95,45.15,47.9,20.229999999999997,12.36
1975-07-01,46.15,47.4,50.95,37.2,30.430000000000007
1975-08-01,49.86,50.16,52.73,20.270000000000003,12.610000000000007
1975-09-02,52.1,52.55,54.5,21.599999999999994,14.299999999999997
1975-10-01,56.0,57.74,58.5,21.400000000000006,15.920000000000002
1975-11-03,51.35,52.75,54.55,28.269999999999996,24.22999999999999
1975-12-01,54.95,56.95,56.6,21.93,16.939999999999984
1976-01-02,62.15,62.65,57.7,15.5,5.849999999999987
1976-02-03,60.95,62.02,59.35,14.009999999999998,6.809999999999988
1976-03-01,62.67,62.98,59.8,17.60000000000001,10.359999999999992
1976-04-01,58.7,59.5,59.65,20.35,16.83999999999999
1976-05-03,63.8,64.6,65.1,11.550000000000011,9.319999999999993
1976-06-01,68.13,69.08,66.9,0.28999999999999204,-4.240000000000009
1976-07-01,88.15,88.36,76.5,-5.349999999999994,-18.580000000000013
1976-08-02,73.0,72.47,67.25,-12.64,-12.750000000000014
1976-09-01,76.1,74.83,69.3,-16.949999999999996,-18.23000000000001
1976-10-01,79.9,80.9,71.75,-19.54,-24.140000000000015
1976-11-01,82.82,83.62,67.8,-17.159999999999997,-28.42
1976-12-01,78.53,79.09,67.25,-15.869999999999997,-23.479999999999997
1977-01-03,73.2,74.1,67.1,-12.879999999999995,-15.14
1977-02-01,73.36,73.2,66.2,-10.790000000000006,-14.180000000000007
1977-03-01,77.4,77.8,69.5,-14.100000000000001,-19.500000000000014
1977-04-01,80.0,79.87,70.7,-15.060000000000002,-22.960000000000015
1977-05-02,76.65,77.22,69.8,-12.399999999999999,-19.090000000000018
1977-06-01,67.19,66.42,66.21,-7.179999999999993,-9.100000000000016
1977-07-01,71.15,64.14,63.6,-6.649999999999999,-18.05000000000002
1977-08-01,54.61,54.2,57.95,3.989999999999995,-6.08000000000002
1977-09-01,52.35,53.05,56.65,7.0,-4.130000000000017
1977-10-03,52.21,53.0,54.9,9.199999999999996,-4.830000000000027
1977-11-01,50.64,51.53,54.05,13.490000000000009,-1.3000000000000256
1977-12-01,51.38,51.77,54.8,13.100000000000009,-3.8300000000000196
1978-01-03,54.22,55.19,58.2,9.179999999999993,-10.740000000000023
1978-02-01,55.41,56.52,59.7,3.299999999999997,-17.40000000000002
1978-03-01,55.4,56.9,60.65,0.10000000000000142,-20.830000000000013
1978-04-03,55.64,56.75,61.9,-2.769999999999996,-24.010000000000012
1978-05-01,57.4,59.07,63.5,-1.7000000000000028,-24.210000000000015
1978-06-01,59.03,61.17,65.25,-1.8900000000000006,-24.340000000000018
1978-07-03,56.95,59.5,64.95,-2.6500000000000057,-21.920000000000016
1978-08-01,61.94,63.55,65.15,-1.8000000000000043,-25.44000000000002
1978-09-01,63.65,65.64,65.8,-2.1299999999999955,-25.810000000000016
1978-10-02,64.1,66.37,66.6,-1.3999999999999915,-23.85000000000001
1978-11-01,67.54,70.58,66.59,1.75,-22.220000000000013
1978-12-01,67.9,71.84,66.1,2.75,-19.100000000000023
1979-01-02,67.38,69.44,65.2,9.950000000000003,-11.16000000000001
1979-02-01,63.0,65.3,64.19,22.019999999999996,4.639999999999986
1979-03-01,60.75,63.57,66.47,18.810000000000002,8.049999999999983
1979-04-02,59.13,61.35,65.7,17.42,10.259999999999991
1979-05-01,61.8,63.53,65.45,18.450000000000003,12.050000000000004
1979-06-01,63.36,64.1,65.6,8.090000000000003,4.119999999999997
1979-07-02,62.3,64.43,66.65,11.25,11.279999999999994
1979-08-01,63.35,63.94,67.8,20.950000000000003,25.810000000000002
1979-09-04,63.67,64.78,68.0,27.22,35.08
1979-10-01,65.2,65.54,69.3,17.75,28.039999999999992
1979-11-01,68.34,68.41,69.95,19.17,25.86
1979-12-03,68.85,71.67,72.0,15.170000000000002,22.92
1980-01-02,75.15,76.85,76.05,18.60000000000001,23.97
1980-02-01,86.21,86.42,78.9,9.649999999999991,7.939999999999998
1980-03-03,85.28,85.35,78.25,8.25,5.560000000000002
1980-04-01,83.12,81.66,75.1,10.27000000000001,5.019999999999996
1980-05-01,83.9,81.79,76.0,8.599999999999994,0.4299999999999784
1980-06-02,73.69,72.54,75.6,9.120000000000005,8.079999999999984
1980-07-01,77.9,75.3,76.9,7.530000000000001,5.279999999999987
1980-08-01,88.75,86.22,81.2,-7.980000000000004,-13.830000000000013
1980-09-02,95.22,93.67,85.75,-18.22,-29.55000000000001
1980-10-01,87.05,88.5,83.75,-19.349999999999994,-27.590000000000003
1980-11-03,89.12,89.67,82.85,-17.14999999999999,-27.340000000000003
1980-12-01,87.17,90.12,83.66,-22.209999999999994,-31.14
1981-01-02,94.65,95.22,85.7,-20.28,-33.88
1981-02-02,88.55,90.02,84.25,-18.849999999999994,-28.529999999999994
1981-03-02,86.5,88.14,82.25,-18.78,-28.940000000000005
1981-04-01,85.37,86.95,84.25,-18.739999999999995,-25.869999999999997
1981-05-01,84.6,85.17,83.66,-16.159999999999997,-23.709999999999987
1981-06-01,84.72,81.87,83.6,-19.14,-27.90999999999999
1981-07-01,84.43,78.88,81.1,-13.549999999999997,-30.619999999999997
1981-08-03,73.22,74.25,79.8,-11.179999999999993,-27.40999999999999
1981-09-01,67.53,69.06,75.9,-11.700000000000003,-27.209999999999987
1981-10-01,64.4,64.83,73.0,-11.299999999999997,-27.04999999999999
1981-11-02,65.7,67.75,73.95,-10.07,-27.75999999999999
1981-12-01,61.45,63.63,69.67,-7.020000000000003,-24.96
1982-01-04,65.42,66.72,72.35,-6.519999999999996,-26.39
1982-02-01,65.4,67.4,74.0,-8.349999999999994,-26.820000000000007
1982-03-01,63.47,65.21,73.05,-1.75,-18.680000000000007
1982-04-01,65.51,67.69,74.2,0.45000000000000284,-15.450000000000017
1982-05-03,67.5,69.11,75.85,-5.739999999999995,-19.100000000000023
1982-06-01,64.46,67.7,73.8,1.4200000000000017,-10.100000000000023
1982-07-01,67.55,71.07,76.6,0.05000000000001137,-9.800000000000011
1982-08-02,68.62,70.72,75.9,4.299999999999997,-3.90000000000002
1982-09-01,64.2,66.2,72.65,7.0,0.8599999999999852
1982-10-01,61.7,63.72,67.28,8.219999999999999,-0.05000000000001137
1982-11-01,63.88,66.15,69.05,11.469999999999999,2.9299999999999855
1982-12-01,62.65,65.47,66.87,9.629999999999995,1.2299999999999898
1983-01-03,65.83,67.4,69.5,5.819999999999993,-3.6000000000000227
1983-02-01,65.65,67.09,69.1,8.219999999999999,-1.2500000000000284
1983-03-01,71.3,71.12,69.25,9.120000000000005,-4.300000000000011
1983-04-04,74.65,73.95,73.6,8.740000000000009,-3.8200000000000074
1983-05-02,70.11,70.87,73.25,8.299999999999997,-0.45000000000000284
1983-06-01,75.22,76.5,79.7,5.209999999999994,-1.0799999999999983
1983-07-01,76.65,76.75,79.5,-5.099999999999994,-7.280000000000001
1983-08-01,80.2,81.41,76.7,-10.219999999999999,-15.810000000000002
1983-09-01,79.65,80.91,77.6,-13.579999999999998,-17.280000000000015
1983-10-03,75.5,77.38,75.0,-10.650000000000006,-12.970000000000027
1983-11-01,80.52,81.7,74.8,-6.6299999999999955,-12.450000000000031
1983-12-01,76.5,79.79,74.87,-9.700000000000003,-11.67000000000003
1984-01-03,75.32,76.72,73.2,-7.159999999999997,-7.090000000000018
1984-02-01,77.32,77.21,73.0,-8.269999999999996,-9.91000000000001
1984-03-01,78.37,78.33,74.75,-10.64,-12.980000000000018
1984-04-02,82.34,82.02,77.4,-9.440000000000012,-13.300000000000026
1984-05-01,81.55,81.19,77.8,-10.049999999999997,-11.550000000000026
1984-06-01,84.91,80.45,79.26,-16.320000000000007,-17.82000000000002
1984-07-02,74.4,71.56,75.0,-14.700000000000003,-12.870000000000026
1984-08-01,66.48,67.25,70.55,-10.649999999999999,-8.860000000000028
1984-09-04,64.02,65.45,69.8,-11.25,-6.930000000000028
