trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-07-02,72.0,62.5,44.0,-19.0,-19.25
2007-08-01,60.0,52.0,44.0,-21.25,-20.0
2007-09-04,51.0,45.0,45.0,-23.0,-20.75
2007-10-01,41.5,40.5,43.5,-24.25,-17.75
2007-11-01,43.5,44.5,42.0,-23.7,-20.7
2007-12-03,42.75,41.0,40.0,-22.5,-19.2
2008-01-02,40.0,35.0,37.5,-21.75,-19.7
2008-02-01,29.5,28.0,38.0,-22.0,-13.7
2008-03-03,24.25,25.0,40.0,-24.0,-10.45
2008-04-01,26.0,26.0,37.0,-18.275,-10.474999999999998
2008-05-01,26.0,29.5,37.0,-15.5,-8.974999999999998
2008-06-02,29.25,29.0,35.0,-9.225000000000001,-6.949999999999999
2008-07-01,25.0,26.0,35.0,-6.0,-0.22499999999999787
2008-08-01,22.75,23.75,31.5,-2.0,1.8250000000000028
2008-09-02,22.0,19.75,28.5,1.5,3.575000000000003
2008-10-01,19.25,18.25,26.5,8.5,10.025000000000002
2008-11-03,18.3,17.75,29.25,4.5,7.725000000000001
2008-12-01,17.5,17.25,27.5,9.25,8.975000000000001
2009-01-02,15.75,15.5,24.0,13.75,9.975000000000001
2009-02-02,16.0,16.5,26.0,7.75,4.975000000000001
2009-03-02,16.0,17.75,26.0,9.75,14.225000000000001
2009-04-01,18.725,20.0,28.0,6.0,15.25
2009-05-01,21.5,24.0,29.0,6.0,16.25
2009-06-01,25.775,26.275,31.75,1.75,12.725000000000001
2009-07-01,29.0,30.7,31.0,5.25,14.0
2009-08-03,29.5,30.0,31.0,5.0,15.2
2009-09-01,30.0,29.05,30.0,6.25,16.2
2009-10-01,35.0,36.0,31.0,5.0,9.25
2009-11-02,33.75,35.75,34.775,1.9750000000000014,13.0
2009-12-01,36.75,38.25,37.725,0.17499999999999716,13.399999999999999
2010-01-04,37.75,38.25,33.5,5.200000000000003,14.100000000000001
2010-02-01,33.75,27.0,30.5,13.0,22.1
2010-03-01,35.75,32.0,31.0,20.5,12.850000000000001
2010-04-01,34.0,32.5,26.0,20.5,1.4500000000000028
2010-05-03,35.0,35.25,26.05,22.45,0.45000000000000284
2010-06-01,33.5,32.25,24.75,27.75,5.450000000000003
2010-07-01,36.25,36.0,35.0,18.975,-1.0749999999999957
2010-08-02,36.0,35.25,33.0,23.5,2.250000000000007
2010-09-01,36.25,37.0,33.0,23.0,0.7500000000000071
2010-10-01,36.0,35.25,32.0,27.6,6.3500000000000085
2010-11-01,36.75,36.5,36.0,25.4,10.95000000000001
2010-12-01,37.9,38.5,37.5,27.5,13.050000000000011
2011-01-03,38.7,40.0,36.5,30.525000000000006,13.875000000000014
2011-02-01,43.5,52.0,43.5,25.5,10.375000000000014
2011-03-01,51.5,55.9,42.5,15.5,6.125000000000014
2011-04-01,46.5,47.0,37.0,21.9,23.42500000000001
2011-05-02,48.5,49.25,36.0,17.5,21.92500000000001
2011-06-01,52.5,56.5,40.25,10.5,25.42500000000001
2011-07-01,53.975,53.175,39.75,11.5,29.60000000000001
2011-08-01,56.5,56.5,42.0,11.0,26.275000000000006
2011-09-01,56.0,55.0,43.05,13.700000000000003,26.775000000000006
2011-10-03,59.6,55.3,44.0,17.75,23.425000000000004
2011-11-01,61.4,61.5,51.5,11.475000000000001,16.300000000000004
2011-12-01,65.0,66.0,52.0,11.100000000000001,12.125000000000007
2012-01-03,67.025,69.0,40.0,23.475,14.575000000000003
2012-02-01,69.0,62.75,38.5,24.0,16.625
2012-03-01,58.0,51.0,37.9,22.1,23.9
2012-04-02,58.9,53.5,37.95,19.375,17.300000000000004
2012-05-01,53.5,44.0,38.0,20.0,19.275000000000006
2012-06-01,50.75,49.6,38.05,19.950000000000003,11.775000000000006
2012-07-02,51.25,53.0,38.5,17.75,8.125000000000007
2012-08-01,53.0,56.75,52.25,6.399999999999999,9.775000000000006
2012-09-04,56.75,60.5,53.0,5.0,9.175000000000004
2012-10-01,61.75,64.0,52.25,5.75,8.925000000000004
2012-11-01,62.975,63.775,52.75,4.25,9.850000000000001
2012-12-03,63.1,60.0,53.25,5.5,11.375
2013-01-02,63.475,60.45,42.0,16.5,8.399999999999999
2013-02-01,62.5,57.475,42.0,20.725,9.400000000000006
2013-03-01,60.0,56.025,42.0,21.975,9.975000000000009
2013-04-01,57.325,56.025,42.0,24.25,11.925000000000004
2013-05-01,58.0,58.75,48.0,20.5,14.950000000000003
2013-06-03,58.0,58.25,48.0,18.325000000000003,14.025000000000006
2013-07-01,56.25,57.0,42.0,24.0,18.025000000000006
2013-08-01,58.65,58.6,45.05,23.700000000000003,22.32500000000001
2013-09-03,58.0,57.0,47.0,18.875,21.80000000000001
2013-10-01,58.0,57.1,49.0,15.5,22.55000000000001
2013-11-01,57.0,57.9,50.5,9.0,23.150000000000013
2013-12-02,58.75,58.0,50.025,7.975000000000001,24.42500000000001
2014-01-02,58.5,59.675,43.525,10.475000000000001,26.92500000000001
2014-02-03,62.725,60.875,42.025,11.975000000000001,29.750000000000007
2014-03-03,63.975,63.0,48.025,1.2250000000000014,28.900000000000006
2014-04-01,66.25,63.5,53.0,-7.875,23.075000000000003
2014-05-01,68.5,68.0,52.5,-7.149999999999999,21.225
2014-06-02,66.325,64.0,52.0,-9.049999999999997,21.85
2014-07-01,66.0,62.8,52.0,-13.75,16.575000000000003
2014-08-01,68.75,67.0,51.925,-17.449999999999996,7.975000000000001
2014-09-02,65.875,62.75,52.0,-23.5,3.6000000000000014
2014-10-01,64.5,59.0,45.0,-20.4,-2.424999999999997
2014-11-03,59.5,55.875,48.0,-23.275,-5.199999999999996
2014-12-01,58.0,51.0,46.0,-22.525,-11.524999999999995
2015-01-02,54.0,48.125,40.0,-17.025,-16.349999999999994
2015-02-02,54.0,47.0,39.25,-15.175,-19.999999999999996
