trade_date,spot,f2m,f1y,ret1yl,roll1y
2009-02-02,2.1501,2.2030000000000003,2.386,-0.2884000000000002,-0.5624000000000002
2009-03-02,2.1827,2.2358,2.4305,-0.3405,-0.5831
2009-04-01,2.1922,2.2455,2.4176,-0.3330000000000002,-0.5788000000000002
2009-05-01,2.1339,2.1751,2.3274,-0.3414999999999999,-0.6012000000000004
2009-06-01,2.1599,2.2041,2.3606,-0.42289999999999983,-0.6666000000000003
2009-07-01,2.1952,2.2461,2.4257,-0.4275,-0.6267000000000003
2009-08-03,2.1138,2.1472,2.2769,-0.29389999999999983,-0.5412999999999999
2009-09-01,2.1632,2.2009,2.3205,-0.37470000000000003,-0.6241999999999996
2009-10-01,2.2054,2.2415,2.3721,-0.3559000000000001,-0.5892999999999997
2009-11-02,2.237,2.2726,2.3951,-0.39939999999999976,-0.6352
2009-12-01,2.2736,2.3088,2.4303,-0.4698,-0.7000000000000002
2010-01-04,2.1497,2.186,2.3167,-0.2174999999999998,-0.4273
2010-02-01,2.0976,2.131,2.252,-0.055199999999999694,-0.2661
2010-03-01,2.09,2.1239,2.2449,-0.015699999999999825,-0.2180000000000002
2010-04-01,2.0846,2.1199,2.2419,-0.03939999999999966,-0.23460000000000014
2010-05-03,1.9859,2.0183,2.1373,0.13389999999999969,-0.06640000000000046
2010-06-01,1.9377,1.9672,2.0698,0.22849999999999993,0.01139999999999941
2010-07-01,1.9982,2.0299,2.139,0.2218,0.010599999999999277
2010-08-02,1.983,2.0127,2.1143,0.3174000000000001,0.09399999999999942
2010-09-01,1.9458,1.9768,2.0782,0.38780000000000037,0.16059999999999985
2010-10-01,2.0162,2.0461,2.1468,0.37780000000000014,0.1456999999999995
2010-11-01,1.9957,2.0243,2.117,0.36819999999999986,0.12389999999999946
2010-12-01,1.9605,1.9856,2.0763,0.39380000000000015,0.12309999999999977
2011-01-03,2.0992,2.124,2.2111,0.2847999999999997,-0.014400000000000635
2011-02-01,2.1968,2.2221,2.3057,0.03520000000000012,-0.29690000000000083
2011-03-01,2.2292,2.2584,2.3607,-0.015499999999999847,-0.3445000000000005
2011-04-01,2.2025,2.237,2.3414,0.06919999999999993,-0.2675000000000005
2011-05-02,2.2712,2.3011,2.4,-0.05489999999999995,-0.4139000000000004
2011-06-01,2.2983,2.3306,2.4354,-0.1160000000000001,-0.4839000000000002
2011-07-01,2.3608,2.3952,2.5072,-0.19540000000000024,-0.5727000000000002
2011-08-01,2.4317,2.4663,2.5774,-0.3546999999999998,-0.7402000000000002
2011-09-01,2.466,2.5001,2.5967,-0.3040999999999996,-0.7045000000000003
2011-10-03,2.5246,2.5574,2.6589,-0.3241999999999998,-0.7197
2011-11-01,2.4852,2.5347,2.6769,-0.34799999999999986,-0.6865000000000001
2011-12-01,2.4701,2.5198,2.6630000000000003,-0.3257000000000003,-0.6444000000000001
2012-01-03,2.4959,2.5506,2.7208,-0.35139999999999993,-0.6149999999999998
2012-02-01,2.3409,2.3857,2.5144,-0.11320000000000041,-0.4030999999999998
2012-03-01,2.3452,2.3895,2.5216,-0.1762999999999999,-0.44620000000000015
2012-04-02,2.4106,2.4573,2.5932,-0.24880000000000013,-0.49630000000000063
2012-05-01,2.3451,2.3922,2.5321,-0.15219999999999967,-0.37870000000000026
2012-06-01,2.3194,2.3704,2.5172,-0.05030000000000001,-0.24260000000000037
2012-07-02,2.3118,2.3537,2.477,0.06770000000000032,-0.13929999999999998
2012-08-01,2.2227,2.2572,2.361,0.23409999999999975,0.0028999999999999027
2012-09-04,2.2926,2.3254,2.431,0.2896000000000001,0.04590000000000005
2012-10-01,2.3347,2.3679,2.4753,0.2814000000000001,0.019899999999999807
2012-11-01,2.3289,2.3598,2.4614,0.2815000000000003,-0.0025999999999997137
2012-12-03,2.3373,2.3639,2.4524,0.3157000000000001,-0.0004999999999997229
2013-01-02,2.3694,2.399,2.4923,0.5216999999999996,0.1892999999999998
2013-02-01,2.4012,2.4289,2.5158,0.6099999999999999,0.23409999999999975
2013-03-01,2.3453,2.3734,2.4646,0.6135000000000002,0.18779999999999974
2013-04-01,2.3444,2.3745,2.4734,0.5422000000000002,0.06740000000000013
2013-05-01,2.3799,2.4036,2.4873,0.4659,-0.0781000000000005
2013-06-03,2.4669,2.5,2.6093,0.26239999999999997,-0.2889000000000004
2013-07-01,2.5447,2.5839,2.7106,0.24590000000000023,-0.30740000000000034
2013-08-01,2.5951,2.6422,2.7981,0.09190000000000031,-0.44010000000000016
2013-09-03,2.7206,2.7734,2.9534,-0.0928,-0.6050000000000004
2013-10-01,2.7567,2.8044,2.9668,-0.03100000000000014,-0.5733000000000001
2013-11-01,2.7429,2.7885,2.9394,-0.11839999999999984,-0.6961000000000004
2013-12-02,2.7681,2.8187,2.9911,-0.2203999999999997,-0.7851000000000004
2014-01-02,3.014,3.0788,3.2898,-0.4283999999999999,-0.9405999999999999
2014-02-03,3.1258,3.208,3.4624,-0.6785000000000001,-1.1247999999999996
2014-03-03,3.0781,3.165,3.4330000000000003,-0.6075000000000004,-1.0034999999999994
2014-04-01,3.0156,3.0933,3.3349,-0.4793000000000003,-0.8909999999999996
2014-05-01,2.9532,3.0192,3.2192,-0.14739999999999975,-0.5997999999999992
2014-06-02,2.8717,2.9303,3.1121,-0.1654,-0.6598999999999995
2014-07-01,2.9565,3.0115,3.1884,-0.14470000000000027,-0.6686999999999999
2014-08-01,2.89,2.9471,3.1260000000000003,-0.043800000000000505,-0.5904000000000003
2014-09-02,2.8606,2.9208,3.1121,0.20530000000000026,-0.35119999999999996
2014-10-01,2.9358,3.0053,3.2268,0.23830000000000018,-0.31599999999999984
2014-11-03,2.821,2.8801,3.064,0.08639999999999981,-0.5476999999999999
2014-12-01,2.7707,2.8216,2.9924,0.09520000000000017,-0.5869
2015-01-02,2.8614,2.9211,3.1093,0.17539999999999978,-0.5186999999999999
2015-02-02,2.7839,2.8341,2.9904,0.2594999999999996,-0.5115000000000003
2015-03-02,2.8255,2.8925,3.0866,0.11460000000000026,-0.6437000000000004
2015-04-01,2.8556,2.9207,3.117,0.17300000000000004,-0.6103000000000001
2015-05-01,3.0718,3.1543,3.3941,-0.12069999999999981,-0.8712
2015-06-01,2.9467,3.0263,3.2663,0.032399999999999984,-0.7274999999999996
2015-07-01,3.0437,3.1254,3.386,-0.0979000000000001,-0.8478999999999992
2015-08-03,3.0822,3.1647,3.4259,-0.04049999999999976,-0.783199999999999
2015-09-01,3.3174,3.4149,3.7238,-0.39380000000000015,-1.0753999999999992
2015-10-01,3.4651,3.5664,3.8938,-0.4449000000000001,-1.0845999999999996
2015-11-02,3.1504,3.2362,3.5097,-0.01949999999999985,-0.6972999999999994
