trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-07-02,1531.0,1544.0,1581.5,-295.25,-331.0
2007-08-01,1470.0,1482.0,1516.0,-255.75,-285.0
2007-09-04,1489.5,1503.0,1535.5,-259.0,-278.0
2007-10-01,1556.5,1567.5,1597.0,-428.5,-441.0
2007-11-01,1515.75,1525.5,1553.25,-583.75,-590.0
2007-12-03,1475.5,1485.0,1507.5,-691.75,-692.5
2008-01-02,1458.5,1466.5,1484.5,-559.0,-555.0
2008-02-01,1397.0,1400.25,1406.5,-585.25,-587.5
2008-03-03,1332.0,1334.0,1336.75,-631.25,-631.75
2008-04-01,1370.5,1371.25,1372.75,-563.5,-561.25
2008-05-01,1411.5,1413.5,1423.0,-547.0,-531.0
2008-06-02,1385.5,1387.0,1396.75,-457.75,-436.0
2008-07-01,1286.25,1288.25,1300.25,-381.0,-350.5
2008-08-01,1260.25,1262.0,1271.0,-270.25,-236.75
2008-09-02,1276.5,1278.0,1288.0,-291.5,-251.0
2008-10-01,1168.5,1170.25,1174.75,-147.25,-106.0
2008-11-03,969.5,968.25,969.25,69.75,111.0
2008-12-01,815.75,814.5,811.5,297.0,337.75
2009-01-02,925.5,923.25,916.5,212.25,252.0
2009-02-02,821.25,818.0,812.25,274.0,316.25
2009-03-02,705.5,702.25,696.75,417.75,461.75
2009-04-01,809.25,805.5,798.5,375.25,418.75
2009-05-01,876.0,872.0,865.25,333.25,378.0
2009-06-01,939.0,934.5,924.5,145.0,186.5
2009-07-01,919.25,915.0,906.0,115.75,158.25
2009-08-03,1000.75,996.25,987.0,134.75,177.0
2009-09-01,996.5,992.0,981.5,100.25,141.5
2009-10-01,1027.5,1022.75,1013.5,128.75,171.5
2009-11-02,1039.0,1034.25,1024.5,158.5,201.25
2009-12-01,1108.5,1103.5,1091.0,113.5,153.75
2010-01-04,1128.75,1124.0,1114.5,150.75,194.25
2010-02-01,1086.25,1081.5,1070.5,232.25,274.5
2010-03-01,1114.5,1109.75,1098.0,203.0,244.75
2010-04-01,1173.75,1168.75,1158.25,169.5,212.5
2010-05-03,1198.5,1194.0,1182.75,175.0,218.0
2010-06-01,1069.5,1065.25,1054.75,257.25,302.0
2010-07-01,1021.75,1017.25,1009.75,325.0,373.5
2010-08-02,1121.75,1117.0,1104.25,175.5,219.25
2010-09-01,1081.75,1076.75,1063.0,138.25,181.75
2010-10-01,1142.25,1137.0,1123.75,-37.5,7.0
2010-11-01,1183.0,1177.75,1163.25,61.25,105.75
2010-12-01,1204.5,1199.5,1186.25,57.25,104.0
2011-01-03,1265.25,1260.25,1247.75,24.25,72.5
2011-02-01,1302.75,1297.75,1285.0,34.75,83.0
2011-03-01,1301.0,1296.0,1283.0,91.5,140.25
2011-04-01,1327.75,1322.5,1309.0,103.5,152.5
2011-05-02,1357.75,1352.5,1338.5,62.0,111.25
2011-06-01,1312.0,1306.75,1292.0,-18.0,31.75
2011-07-01,1334.75,1329.5,1316.0,41.5,94.0
2011-08-01,1279.75,1274.0,1260.5,110.0,163.5
2011-09-01,1201.25,1195.5,1179.0,227.0,279.0
2011-10-03,1086.25,1079.75,1062.5,374.5,426.25
2011-11-01,1224.5,1218.5,1201.5,221.75,274.75
