trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-07-02,915.9,925.4,952.7,-132.0,-164.10000000000014
2007-08-01,862.9,872.3,899.6,-97.39999999999998,-121.90000000000009
2007-09-04,873.4,882.2,909.5,-102.20000000000005,-119.9000000000002
2007-10-01,903.6,913.7,939.2,-213.20000000000005,-224.00000000000023
2007-11-01,890.3,897.2,922.7,-353.5,-364.70000000000005
2007-12-03,859.1,866.1,891.6,-431.90000000000003,-440.1000000000001
2008-01-02,853.9,863.6,887.3,-341.0,-341.7000000000001
2008-02-01,825.2,827.5,842.5,-345.9,-353.00000000000006
2008-03-03,789.4,791.4,806.6,-381.8,-384.70000000000005
2008-04-01,805.5,806.5,821.5,-328.9,-328.6
2008-05-01,851.4,852.4,867.4,-309.79999999999995,-306.5
2008-06-02,874.3,875.5,890.5,-298.20000000000005,-291.70000000000005
2008-07-01,820.7,822.5,839.6,-257.20000000000005,-244.0000000000001
2008-08-01,802.2,804.2,821.1,-182.30000000000007,-165.30000000000018
2008-09-02,807.3,808.7,826.0,-185.89999999999998,-165.10000000000002
2008-10-01,726.0,733.3,748.3,-77.59999999999991,-49.59999999999991
2008-11-03,569.2,573.2,591.5,68.10000000000002,105.39999999999998
2008-12-01,459.7,460.1,468.3,225.49999999999994,255.2
2009-01-02,546.3,546.3,556.3,179.4000000000001,213.40000000000015
2009-02-02,496.6,494.6,504.6,206.69999999999993,240.7
2009-03-02,424.8,422.4,432.4,316.30000000000007,350.1
2009-04-01,492.6,490.6,486.6,309.19999999999993,329.5999999999999
2009-05-01,557.6,555.6,551.6,281.6,302.0
2009-06-01,592.3,589.5,585.5,155.5,175.10000000000002
2009-07-01,582.4,580.4,574.4,131.39999999999998,148.60000000000002
2009-08-03,638.8,636.8,630.8,141.0,158.20000000000005
2009-09-01,640.1,637.9,631.9,113.0,130.0
2009-10-01,670.7,668.7,662.7,138.89999999999998,156.19999999999993
2009-11-02,659.6,657.5,651.5,176.39999999999998,193.5999999999999
2009-12-01,693.8,691.3,685.3,183.20000000000005,199.89999999999998
2010-01-04,735.7,733.7,727.7,188.19999999999993,205.4999999999999
2010-02-01,711.3,709.1,703.1,233.60000000000002,251.10000000000002
2010-03-01,748.7,746.1,740.1,207.0,224.30000000000007
2010-04-01,795.8,793.8,787.8,206.70000000000005,224.60000000000014
2010-05-03,833.2,831.2,825.2,182.29999999999995,200.4000000000001
2010-06-01,741.0,739.4,733.4,241.10000000000002,259.8000000000002
2010-07-01,705.8,703.8,697.8,294.1,313.4000000000002
2010-08-02,771.8,769.8,763.8,170.5,189.10000000000014
2010-09-01,744.9,742.6,736.6,123.19999999999993,141.70000000000005
2010-10-01,801.6,799.6,793.6,-53.5,-30.999999999999886
2010-11-01,827.9,825.9,819.9,43.60000000000002,66.10000000000014
2010-12-01,868.5,865.9,859.9,19.100000000000023,41.000000000000114
2011-01-03,915.9,913.5,907.7,-22.700000000000045,-0.29999999999984084
2011-02-01,936.7,934.3,928.4,23.399999999999977,45.30000000000007
2011-03-01,947.1,944.5,938.8,47.90000000000009,69.80000000000007
2011-04-01,994.5,992.3,986.7,9.899999999999977,32.30000000000007
