trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-02-02,305.0,302.0,312.25,-134.75,-88.5
2015-03-02,277.0,270.0,272.0,-58.25,-26.0
2015-04-01,251.0,245.0,246.0,-47.5,-12.25
2015-05-01,276.0,273.0,247.0,-43.0,-29.25
2015-06-01,292.5,289.0,274.0,-85.25,-55.0
2015-07-01,283.0,280.0,271.5,-88.5,-50.25
2015-08-03,268.0,267.0,261.5,-82.75,-40.5
2015-09-01,263.25,262.75,268.0,-79.5,-26.25
2015-10-01,246.5,243.5,237.0,-50.5,-8.0
2015-11-02,257.5,254.5,256.0,-59.75,-11.75
2015-12-01,241.5,239.0,237.5,-23.75,20.0
2016-01-04,237.0,233.5,232.5,-4.25,35.25
2016-02-01,177.5,176.25,175.0,73.75,112.5
2016-03-01,213.75,203.75,187.5,53.0,66.75
2016-04-01,198.5,190.0,180.0,38.75,52.75
2016-05-02,204.0,195.0,187.5,-2.0,6.75
2016-06-01,188.75,184.25,182.5,-1.0,9.5
2016-07-01,183.0,181.0,178.5,1.5,8.75
2016-08-01,178.75,178.0,183.0,4.5,18.5
