trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-02-02,608.75,608.75,578.75,32.5,-20.0
2015-03-02,667.5,665.0,632.5,-10.0,-67.5
2015-04-01,598.75,593.0,587.5,132.5,96.25
2015-05-01,611.25,611.25,613.75,67.5,45.5
2015-06-01,647.5,647.5,657.5,-6.25,-15.75
2015-07-01,632.5,632.0,653.0,-40.5,-35.75
2015-08-03,563.75,563.75,582.5,16.25,23.75
2015-09-01,527.5,527.5,555.0,96.25,112.5
2015-10-01,590.0,590.0,582.5,81.25,71.25
2015-11-02,577.5,577.5,580.0,103.75,110.0
2015-12-01,562.5,572.5,588.75,136.25,168.75
2016-01-04,578.75,600.0,587.5,150.0,180.0
2016-02-01,611.25,611.25,590.0,140.0,187.5
2016-03-01,622.5,622.5,597.5,77.5,147.5
2016-04-01,720.0,713.75,682.5,-30.0,33.75
2016-05-02,681.25,676.25,665.0,-42.5,78.75
2016-06-01,651.25,647.5,627.5,10.0,132.5
2016-07-01,612.5,607.5,608.75,11.25,167.5
2016-08-01,598.75,598.75,603.75,40.0,211.25
