trade_date,spot,f2m,f1y,ret1yl,roll1y
2013-11-01,693.0,693.0,693.0,-199.75,-199.75
2013-12-02,578.75,578.75,578.75,-36.5,-36.5
2014-01-02,609.5,609.5,609.5,-87.0,-87.0
2014-02-03,648.0,648.0,648.0,-21.5,-21.5
2014-03-03,729.75,729.75,729.75,-153.0,-153.0
2014-04-01,654.25,654.25,654.25,-123.75,-123.75
2014-05-01,659.5,659.5,659.5,-98.75,-98.75
2014-06-02,616.0,616.0,616.0,-75.5,-75.5
2014-07-01,726.25,726.25,726.25,-245.75,-245.75
2014-08-01,724.5,724.5,724.5,-356.25,-356.25
2014-09-01,738.25,738.25,738.25,-357.75,-357.75
2014-10-01,592.0,592.0,592.0,-220.25,-220.25
2014-11-03,493.25,493.25,493.25,-77.0,-77.0
2014-12-01,542.25,542.25,542.25,-153.25,-153.25
2015-01-02,522.5,522.5,522.5,-132.0,-132.0
2015-02-02,626.5,626.5,626.5,-220.75,-220.75
2015-03-02,576.75,576.75,576.75,-53.25,-53.25
2015-04-01,530.5,530.5,530.5,27.0,27.0
2015-05-01,560.75,560.75,560.75,144.25,144.25
2015-06-01,540.5,540.5,540.5,91.75,91.75
2015-07-01,480.5,480.5,480.5,324.0,324.0
2015-08-03,368.25,368.25,368.25,488.5,488.5
2015-09-01,380.5,380.5,380.5,347.0,347.0
2015-10-01,371.75,371.75,371.75,348.0,348.0
2015-11-02,416.25,416.25,416.25,283.0,283.0
2015-12-01,389.0,389.0,389.0,186.25,186.25
2016-01-04,390.5,390.5,390.5,212.5,212.5
2016-02-01,405.75,405.75,405.75,259.75,259.75
2016-03-01,523.5,523.5,523.5,116.0,116.0
2016-04-01,557.5,557.5,557.5,85.5,85.5
2016-05-02,705.0,705.0,705.0,-99.0,-99.0
2016-06-01,632.25,632.25,632.25,-3.25,-3.25
2016-07-01,804.5,804.5,804.5,-204.0,-204.0
2016-08-01,856.75,856.75,856.75,-219.5,-219.5
