trade_date,spot,f2m,f1y,ret1yl,roll1y
1999-06-01,268.2,268.8,278.8,-6.300000000000011,-14.700000000000017
1999-07-02,264.1,264.4,272.8,11.099999999999966,-2.842170943040401e-14
1999-08-02,256.2,256.4,264.0,12.899999999999977,-0.2000000000000739
1999-09-01,253.9,255.0,260.5,16.5,0.6999999999998749
1999-10-01,303.7,304.5,321.9,-48.799999999999955,-53.2000000000001
1999-11-01,290.4,291.5,299.9,-36.0,-50.000000000000114
1999-12-01,288.9,290.3,302.8,-34.10000000000002,-44.10000000000008
2000-01-04,282.7,283.7,294.0,-25.600000000000023,-38.40000000000009
2000-02-01,282.5,284.0,298.0,-29.5,-38.7000000000001
2000-03-01,291.5,293.3,305.8,-40.60000000000002,-50.600000000000136
2000-04-03,277.6,285.2,299.3,-43.70000000000002,-45.50000000000014
2000-05-01,273.2,274.8,288.0,-23.600000000000023,-25.100000000000165
2000-06-01,272.5,273.9,289.7,-23.30000000000001,-21.200000000000188
2000-07-05,283.9,285.3,298.9,-29.5,-29.0000000000002
2000-08-01,276.9,278.6,293.6,-26.200000000000045,-23.30000000000021
2000-09-01,277.0,278.3,291.0,-19.399999999999977,-18.300000000000153
2000-10-02,273.1,274.8,288.9,3.3000000000000114,6.799999999999812
2000-11-01,263.9,265.4,277.5,2.1999999999999886,4.6999999999998465
2000-12-01,268.7,270.3,283.6,-6.7000000000000455,-2.400000000000176
2001-01-02,268.4,270.0,280.5,-1.6000000000000227,0.6999999999998465
2001-02-01,268.5,269.6,279.3,6.699999999999989,8.999999999999858
2001-03-01,265.2,266.2,274.3,23.69999999999999,25.09999999999988
2001-04-02,255.6,256.0,263.3,39.89999999999998,40.499999999999886
2001-05-01,264.4,264.8,270.3,38.80000000000001,37.49999999999994
2001-06-01,266.4,267.2,272.7,54.0,53.19999999999999
2001-07-02,269.4,270.1,275.5,38.5,37.80000000000001
2001-08-01,267.4,268.2,274.1,29.899999999999977,30.10000000000008
2001-09-04,271.6,272.3,277.5,35.89999999999998,35.5
2001-10-01,292.2,292.7,295.0,25.899999999999977,22.600000000000023
2001-11-01,279.7,280.7,282.9,35.900000000000034,33.00000000000006
2001-12-03,276.9,277.7,280.5,37.10000000000002,35.2000000000001
2002-01-02,278.9,279.2,282.0,64.10000000000002,62.100000000000136
2002-02-01,286.0,286.3,290.1,80.69999999999999,79.60000000000014
2002-03-01,298.0,298.4,302.0,47.19999999999999,45.90000000000015
2002-04-01,303.2,303.7,309.7,24.600000000000023,26.100000000000136
2002-05-01,309.1,309.4,314.1,28.0,28.100000000000136
2002-06-03,326.7,327.2,333.2,32.80000000000001,34.40000000000015
2002-07-01,314.0,314.4,318.8,32.599999999999966,32.500000000000114
2002-08-01,304.0,304.6,308.6,37.5,37.300000000000125
2002-09-03,313.4,313.9,317.3,55.89999999999998,55.100000000000136
2002-10-01,320.9,321.4,325.4,58.900000000000034,59.100000000000136
2002-11-01,318.8,319.2,322.1,54.89999999999998,54.10000000000008
2002-12-02,317.6,318.0,321.7,81.0,81.30000000000001
2003-01-02,346.1,346.5,349.6,74.79999999999995,74.39999999999998
2003-02-03,370.8,371.2,375.1,23.599999999999966,23.999999999999943
2003-03-03,349.2,349.3,352.4,46.900000000000034,46.299999999999955
2003-04-01,334.3,334.7,338.0,89.80000000000001,89.49999999999994
2003-05-01,342.1,342.4,345.5,41.5,40.7999999999999
2003-06-02,366.0,366.5,370.0,24.600000000000023,24.299999999999898
2003-07-01,351.4,351.7,354.6,41.39999999999998,40.39999999999992
2003-08-01,346.1,346.6,351.1,40.599999999999966,41.2999999999999
2003-09-02,373.2,373.3,377.8,31.0,31.099999999999966
2003-10-01,384.3,384.6,388.5,31.0,30.299999999999955
2003-11-03,377.0,377.1,381.1,46.19999999999999,44.80000000000001
2003-12-01,402.7,403.2,408.8,45.19999999999999,45.00000000000006
2004-01-05,424.4,424.8,429.8,-1.1000000000000227,-2.3999999999999204
2004-02-02,398.7,399.0,404.3,16.5,14.800000000000125
2004-03-01,399.3,399.6,404.1,28.799999999999955,25.60000000000008
2004-04-01,427.8,428.3,434.0,-8.100000000000023,-10.599999999999909
2004-05-03,387.0,387.5,393.3,36.19999999999999,33.10000000000008
2004-06-01,394.6,395.0,403.2,12.100000000000023,10.800000000000068
2004-07-01,396.0,396.4,404.1,23.69999999999999,21.200000000000102
2004-08-02,391.7,392.4,401.4,30.5,29.000000000000057
2004-09-01,408.8,409.3,417.4,24.900000000000034,21.600000000000023
2004-10-01,419.5,420.4,430.1,36.0,34.00000000000006
2004-11-01,427.3,428.2,437.3,21.5,18.200000000000045
2004-12-01,454.0,454.9,467.7,34.80000000000001,34.30000000000001
2005-01-03,428.7,429.7,441.7,89.00000000000006,86.90000000000003
2005-02-01,420.8,421.8,435.5,133.89999999999998,132.7
2005-03-01,432.9,433.9,447.3,116.19999999999999,113.5
2005-04-01,425.9,427.1,443.0,146.39999999999998,145.10000000000002
2005-05-02,429.5,430.5,444.6,212.89999999999998,208.30000000000007
2005-06-01,415.3,416.4,431.2,196.40000000000003,190.90000000000003
2005-07-01,427.8,428.8,443.7,183.59999999999997,176.29999999999995
2005-08-01,431.9,433.3,450.6,195.69999999999993,189.7999999999999
2005-09-01,442.3,443.5,458.9,165.5,155.99999999999983
2005-10-03,466.1,467.7,487.7,110.00000000000006,104.49999999999983
2005-11-01,458.8,460.6,480.0,136.60000000000002,129.59999999999985
2005-12-01,502.5,504.3,527.9,116.80000000000007,113.09999999999997
2006-01-03,530.7,532.5,555.2,71.89999999999998,66.19999999999993
2006-02-01,569.4,571.6,599.4,58.0,56.89999999999998
2006-03-01,563.5,565.8,591.5,70.79999999999995,67.19999999999993
2006-04-03,589.4,591.9,622.2,43.5,44.19999999999993
2006-05-01,657.5,660.2,692.8,-18.399999999999977,-15.400000000000091
2006-06-01,627.6,630.5,665.3,5.900000000000091,11.100000000000023
2006-07-05,627.3,629.7,662.4,-5.899999999999977,-3.199999999999932
2006-08-01,646.3,649.2,684.3,-20.699999999999932,-15.399999999999864
2006-09-01,624.4,626.6,656.7,25.799999999999955,25.000000000000227
2006-10-02,597.7,600.4,631.4,115.80000000000007,115.9000000000002
2006-11-01,616.6,619.3,648.5,142.20000000000005,139.80000000000018
2006-12-01,644.7,647.6,680.9,107.39999999999998,109.0
2007-01-03,627.1,629.8,659.9,197.10000000000002,194.5
2007-02-01,657.4,660.1,694.1,214.60000000000002,215.60000000000002
2007-03-01,662.3,665.1,695.0,286.5,283.70000000000005
2007-04-02,665.7,668.4,701.5,181.39999999999998,181.79999999999995
2007-05-01,674.4,677.3,708.0,140.89999999999998,139.29999999999995
2007-06-01,671.2,674.0,708.6,184.29999999999995,187.39999999999986
2007-07-02,656.5,659.2,689.6,252.89999999999998,252.4999999999999
2007-08-01,663.6,666.9,699.4,209.60000000000002,212.5999999999999
2007-09-04,682.5,685.2,714.3,90.70000000000005,90.99999999999989
2007-10-01,747.2,750.6,783.6,97.10000000000002,103.09999999999991
2007-11-01,790.7,793.7,824.0,-98.60000000000002,-95.40000000000009
2007-12-03,788.3,792.0,820.7,-46.10000000000002,-42.19999999999993
2008-01-02,857.0,860.0,888.0,-9.200000000000045,-4.0
2008-02-01,908.7,911.2,932.8,-26.09999999999991,-25.5
2008-03-03,981.5,984.2,1003.5,-64.5,-63.39999999999998
2008-04-01,882.9,885.4,904.9,21.200000000000045,24.000000000000114
2008-05-01,848.9,850.9,870.6,17.0,21.40000000000009
2008-06-02,892.9,894.9,918.8,59.80000000000007,69.80000000000007
2008-07-01,942.5,944.5,969.3,-28.299999999999955,-16.09999999999991
2008-08-01,909.0,911.0,936.5,20.100000000000023,34.70000000000016
