trade_date,spot,f2m,f1y,ret1yl,roll1y
1983-08-01,89.2,88.73,87.91,0.04999999999999716,5.720019999999948
1983-09-01,89.59,88.97,88.28,-0.3200000000000074,5.26001999999994
1983-10-03,90.06,89.7,88.95,-0.6300000000000097,5.030019999999936
1983-11-01,90.03,89.59,88.75999,1.0800100000000015,6.51001999999994
1983-12-01,90.06,89.57999000000002,88.71,1.8400000000000034,7.130019999999945
1984-01-03,89.56,89.22,88.42,2.0600000000000023,7.610009999999974
1984-02-01,89.98,89.57999000000002,88.65,2.1299999999999955,7.750009999999975
1984-03-01,89.68,89.15,88.2,1.9599999999999937,7.529999999999987
1984-04-02,88.73,88.23,87.23,2.9299999999999926,8.829999999999984
1984-05-01,88.53,87.98,86.86,4.310000000000002,10.179999999999993
1984-06-01,88.27,86.82,85.42,6.959999999999994,11.849999999999994
1984-07-02,86.91,86.09,85.14,6.900000000000006,11.909999999999997
1984-08-01,87.96,87.56,86.72,4.969989999999996,10.159990000000008
1984-09-04,87.96,87.46,86.6,5.240000000000009,10.389990000000026
1984-10-01,88.32,88.03,87.22,4.599999999999994,9.819990000000018
1984-11-01,89.84,89.46,88.25999,3.8100099999999912,8.629990000000006
1984-12-03,90.55,90.02,88.79,3.069999999999993,7.549990000000008
1985-01-02,90.48,89.88,88.58,3.6200000000000045,7.46999000000001
1985-02-01,90.78,90.28,88.88,3.240000000000009,6.610000000000014
1985-03-01,90.16,89.28,88.02,4.260000000000005,6.970000000000013
1985-04-01,90.16,89.52,88.42,4.609999999999999,6.640000000000015
1985-05-01,91.17,90.42,89.06,4.1200000000000045,5.13000000000001
1985-06-03,92.38,91.89,90.68,2.1799999999999926,2.840010000000021
1985-07-01,92.04,91.57,90.47,2.980000000000004,3.4700100000000162
1985-08-01,91.68999,91.21,90.02,3.5200000000000102,3.5500200000000177
1985-09-03,91.84,91.53,90.42,3.8399900000000002,3.6400100000000037
1985-10-01,91.82,91.45,90.34,3.6899999999999977,3.1000100000000117
1985-11-01,92.07,91.85,90.77,3.3500000000000085,2.7000100000000202
1985-12-02,91.86,91.82,91.07999,2.8300100000000015,2.4900100000000123
1986-01-02,92.2,92.07999,91.32999,2.6200100000000077,2.0400100000000094
1986-02-03,92.12,92.04,91.42,2.280000000000001,1.75
1986-03-03,92.28,92.48,92.11,1.480000000000004,1.3200000000000074
1986-04-01,93.03,93.04,92.66,0.6300000000000097,0.36000000000001364
1986-05-01,93.18,93.18999,92.57999,-0.0599899999999991,-0.5199899999999928
1986-06-02,92.86,92.67,91.87,0.8499999999999943,0.3400100000000066
1986-07-01,93.45,93.34,92.55,0.12000000000000455,0.06001000000000545
1986-08-01,93.54,93.54,92.98,-0.38000000000000966,0.06000999999999124
1986-09-02,94.25999,94.28,93.68999,-1.0199899999999928,-0.15998000000000445
1986-10-01,94.03,93.9,92.93999,-1.549989999999994,-0.5299700000000058
1986-11-03,94.12,94.11,93.25999,-0.9699899999999957,0.5300399999999996
1986-12-01,93.91,94.02,93.52,-1.25,0.9300400000000053
1987-01-02,93.95,93.95,93.42,-1.0100000000000051,1.1500499999999931
1987-02-02,93.7,93.78,93.43999,-0.5099899999999877,2.1400600000000054
1987-03-02,93.59,93.7,93.43999,-0.27998999999999796,2.7400599999999997
1987-04-01,93.29,93.25999,92.82999,-0.27998999999999796,2.6800599999999974
1987-05-01,92.52,92.18999,91.68999,0.6700100000000049,3.550049999999999
1987-06-01,92.72,92.17,91.50999,0.7800100000000043,3.370050000000006
1987-07-01,92.67,92.4,91.79,0.2799999999999869,3.1400500000000022
1987-08-03,92.6,92.17,91.39,0.11999000000000137,2.7100400000000207
1987-09-01,92.67,92.00999,91.18,0.1699999999999875,2.360040000000012
1987-10-01,91.39,91.00999,90.36,0.8599999999999994,3.3700400000000172
1987-11-02,92.29,92.07,91.04,0.36999999999999034,2.160030000000006
1987-12-01,92.27,92.25999,91.37,-0.5700000000000074,1.150030000000001
1988-01-04,92.41,92.18999,91.27,-0.7600099999999941,0.5100100000000083
1988-02-01,92.93,92.75,91.93,-1.470000000000013,-0.20999000000000478
1988-03-01,93.16,93.02,92.25,-2.519999999999996,-1.3199900000000042
1988-04-04,92.55,92.23,91.47,-1.9500000000000028,-0.7399900000000059
1988-05-02,92.36,91.93999,91.32,-1.3999999999999915,-0.34999000000000535
1988-06-01,92.29,91.8,91.17,-0.6400000000000006,-0.12000000000001876
1988-07-01,92.07,91.74,91.27,0.23000000000000398,0.21999999999998465
1988-08-01,91.50999,91.2,90.89,0.9399899999999946,0.5799999999999699
1988-09-01,91.35,90.82999,90.59,0.5699999999999932,-0.669990000000027
1988-10-03,91.22,91.34,90.87,0.1599999999999966,-1.4400000000000261
1988-11-01,91.41,91.61,91.24,0.4100000000000108,-1.15000000000002
1988-12-01,90.8,91.0,90.7,0.9399999999999977,-0.7600000000000193
1989-01-03,90.50999,90.43999,90.31,1.5999999999999943,-0.5899900000000287
1989-02-01,90.46,90.43,90.49,1.1700000000000017,-1.0200000000000244
1989-03-01,89.73,89.41,89.97,1.6200000000000045,-0.3400000000000176
1989-04-03,89.52,89.4,89.93,1.3999899999999883,-0.6200100000000219
1989-05-01,89.92,89.95,90.28,0.8499999999999943,-1.2300100000000214
