trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-07-02,110.95,111.8,107.5,4.674999999999997,-15.349999999999994
2007-08-01,116.975,117.4,112.25,3.375,-18.724999999999994
2007-09-04,118.9,119.05,114.8,-3.0249999999999915,-26.14999999999999
2007-10-01,115.075,114.95,113.5,-9.950000000000003,-30.349999999999994
2007-11-01,108.625,108.3,112.5,-12.799999999999997,-27.924999999999983
2007-12-03,108.05,108.8,111.5,-21.875,-37.22499999999998
2008-01-02,104.425,106.5,108.8,-13.200000000000003,-27.09999999999998
2008-02-01,105.45,109.375,110.5,-16.5,-27.57499999999999
2008-03-03,101.675,104.95,110.75,-19.299999999999997,-23.749999999999986
2008-04-01,99.125,101.35,104.1,-10.799999999999997,-16.97499999999998
2008-05-01,104.95,107.275,108.25,-10.799999999999997,-17.07499999999999
2008-06-02,113.7,114.725,112.75,-12.575000000000003,-21.77499999999999
2008-07-01,112.175,113.825,116.25,-12.474999999999994,-15.774999999999991
2008-08-01,115.625,117.7,118.0,-16.0,-17.749999999999986
2008-09-02,111.775,111.725,113.0,-16.0,-16.799999999999983
2008-10-01,103.55,103.6,106.8,-11.849999999999994,-10.47499999999998
2008-11-03,99.7,99.175,101.0,-5.875,-6.374999999999986
2008-12-01,89.625,89.85,94.0,-0.5250000000000057,1.0750000000000028
2009-01-02,95.6,95.525,99.25,-3.375,-2.549999999999997
2009-02-02,94.0,95.325,97.325,0.3999999999999915,0.375
2009-03-02,91.45,92.35,97.8,4.299999999999997,6.674999999999997
2009-04-01,93.3,93.95,97.65,12.724999999999994,12.449999999999989
2009-05-01,97.45,98.45,98.25,15.150000000000006,9.649999999999991
2009-06-01,100.175,100.325,99.7,9.774999999999991,0.7499999999999858
2009-07-01,103.775,102.175,98.0,14.599999999999994,0.9999999999999716
2009-08-03,102.0,101.975,102.15,10.449999999999989,1.1249999999999574
2009-09-01,97.0,96.8,101.75,12.125,7.349999999999952
2009-10-01,94.95,94.925,99.875,11.924999999999997,6.149999999999949
2009-11-02,95.125,95.575,99.0,11.349999999999994,4.024999999999935
2009-12-01,93.475,93.75,97.8,20.60000000000001,13.924999999999955
2010-01-04,95.875,96.325,99.4,21.849999999999994,13.849999999999952
2010-02-01,97.725,99.675,101.6,25.875,16.89999999999995
2010-03-01,102.1,103.65,103.95,24.950000000000003,14.474999999999952
2010-04-01,110.375,112.7,107.0,31.099999999999994,15.224999999999952
2010-05-03,113.4,116.65,111.5,19.55000000000001,6.1749999999999545
2010-06-01,109.475,108.9,107.8,16.075000000000003,2.3999999999999773
2010-07-01,112.6,112.65,109.7,30.77499999999999,14.22499999999998
2010-08-02,112.6,112.625,111.0,25.82499999999999,9.549999999999969
2010-09-01,113.875,114.85,115.25,17.5,2.3249999999999744
2010-10-01,111.8,112.275,114.6,26.400000000000006,13.599999999999966
2010-11-01,110.35,110.6,115.3,27.549999999999997,15.524999999999977
2010-12-01,118.4,119.2,119.75,26.349999999999994,6.32499999999996
2011-01-03,121.25,123.025,124.25,22.42500000000001,2.59999999999998
2011-02-01,127.475,128.9,127.0,28.849999999999994,4.574999999999974
2011-03-01,128.9,130.625,130.0,28.57499999999999,4.924999999999969
2011-04-01,138.1,139.4,136.1,13.425000000000011,-14.800000000000026
2011-05-02,131.05,134.825,134.55,15.625,-5.700000000000031
2011-06-01,123.875,124.95,126.0,31.375,8.424999999999969
2011-07-01,140.475,141.55,138.6,11.050000000000011,-16.12500000000003
2011-08-01,136.825,138.725,140.6,-0.8249999999999886,-24.349999999999994
2011-09-01,132.75,132.775,137.95,7.050000000000011,-14.5
2011-10-03,141.0,142.85,147.8,-3.125,-24.99999999999997
2011-11-01,142.85,147.5,148.4,-3.75,-25.974999999999966
2011-12-01,146.1,148.35,152.25,-6.650000000000006,-25.32499999999996
2012-01-03,146.675,149.425,152.9,-1.700000000000017,-20.674999999999983
2012-02-01,155.85,158.225,159.1,-9.900000000000006,-31.799999999999983
2012-03-01,158.575,161.775,161.5,-19.94999999999999,-42.724999999999966
2012-04-02,149.525,149.425,154.5,-8.974999999999994,-29.099999999999966
2012-05-01,150.175,154.2,158.0,-18.5,-38.02499999999998
2012-06-01,157.375,158.675,163.0,-18.57499999999999,-45.49999999999997
2012-07-02,149.65,152.725,158.7,-7.474999999999994,-31.74999999999997
2012-08-01,139.775,141.125,152.6,1.1500000000000057,-18.37499999999997
2012-09-04,145.0,146.95,157.5,-0.32499999999998863,-22.32499999999996
2012-10-01,144.675,145.625,158.0,6.400000000000006,-14.749999999999972
2012-11-01,144.65,146.35,156.5,7.0,-16.32499999999999
2012-12-03,145.6,148.225,158.4,6.949999999999989,-13.699999999999989
2013-01-02,151.2,153.9,164.0,3.0,-15.349999999999994
2013-02-01,149.2,152.125,163.95,4.050000000000011,-9.649999999999977
2013-03-01,141.55,144.15,158.5,13.275000000000006,4.300000000000011
2013-04-01,145.525,147.675,157.7,18.75,6.300000000000011
2013-05-01,139.5,148.725,152.9,31.049999999999983,21.650000000000006
2013-06-03,144.425,146.5,153.25,44.32499999999999,33.04999999999998
2013-07-01,151.225,153.325,157.25,58.525000000000006,45.5
2013-08-01,153.75,157.25,160.2,60.07500000000002,48.349999999999994
2013-09-03,157.175,159.1,159.6,60.650000000000006,48.77499999999998
