trade_date,spot,f2m,f1y,ret1yl,roll1y
2010-11-01,1350.6,1352.5,1360.8,351.0,344.39999999999964
2010-12-01,1387.3,1388.3,1400.2,335.0999999999999,330.99999999999955
2011-01-03,1422.9,1425.1,1436.1,164.4000000000001,157.09999999999945
2011-02-01,1339.6,1340.3,1348.6,398.5,386.4999999999993
2011-03-01,1431.2,1432.7,1440.8,281.4000000000001,268.2999999999993
2011-04-01,1428.1,1428.9,1437.2,240.29999999999995,225.3999999999994
2011-05-02,1557.1,1558.4,1565.6,96.80000000000018,79.89999999999964
2011-06-01,1542.4,1543.2,1549.8,70.70000000000005,51.69999999999959
2011-07-01,1482.6,1483.7,1491.6,106.10000000000014,87.89999999999986
2011-08-01,1619.0,1620.4,1627.9,-24.200000000000045,-43.600000000000136
2011-09-01,1826.7,1829.1,1837.5,-143.9000000000001,-161.4000000000001
2011-10-03,1656.0,1657.7,1666.6,113.90000000000009,96.19999999999982
2011-11-01,1711.8,1713.9,1723.0,-7.5,-25.700000000000045
2011-12-01,1735.3,1739.8,1752.8,-33.200000000000045,-45.200000000000045
2012-01-03,1600.5,1603.2,1614.7,74.09999999999991,61.799999999999955
2012-02-01,1747.1,1749.5,1761.6,-92.19999999999982,-103.69999999999982
2012-03-01,1722.2,1725.0,1737.3,-165.0,-174.69999999999982
2012-04-02,1677.5,1679.7,1690.6,-90.59999999999991,-101.19999999999982
2012-05-01,1662.4,1664.7,1675.1,-228.89999999999986,-238.5999999999999
2012-06-01,1620.5,1622.1,1632.9,-221.20000000000005,-230.29999999999973
2012-07-02,1597.7,1599.9,1610.2,-354.5,-362.0999999999999
2012-08-01,1603.7,1605.1,1615.2,-304.20000000000005,-311.79999999999995
2012-09-04,1693.6,1696.0,1706.5,-294.79999999999995,-299.39999999999986
2012-10-01,1780.5,1783.3,1793.5,-507.5,-509.89999999999986
2012-11-01,1715.5,1717.7,1727.7,-414.5,-414.9999999999998
2012-12-03,1719.6,1721.1,1731.5,-509.20000000000005,-508.5999999999997
2013-01-02,1688.8,1691.0,1701.1,-475.89999999999986,-472.9999999999998
2013-02-01,1669.4,1670.6,1680.3,-419.89999999999986,-416.89999999999986
2013-03-01,1572.3,1574.0,1581.0,-230.70000000000005,-228.20000000000005
2013-04-01,1600.0,1600.9,1608.7,-329.10000000000014,-325.20000000000005
2013-05-01,1446.2,1447.6,1453.8,-170.39999999999986,-167.0999999999999
2013-06-03,1411.7,1411.9,1418.1,-174.39999999999986,-171.0999999999999
2013-07-01,1255.7,1256.9,1262.8,63.799999999999955,67.70000000000005
2013-08-01,1311.0,1310.8,1316.0,-22.40000000000009,-19.799999999999955
2013-09-03,1411.7,1412.0,1417.6,-153.29999999999995,-150.5
2013-10-01,1286.0,1286.1,1290.5,-75.90000000000009,-74.90000000000009
2013-11-01,1313.2,1314.0,1317.4,-147.60000000000014,-147.70000000000027
2013-12-02,1222.3,1221.9,1225.8,-7.7999999999999545,-8.600000000000136
2014-01-02,1225.2,1225.9,1229.6,-43.399999999999864,-43.799999999999955
2014-02-03,1260.4,1259.9,1263.1,13.100000000000136,10.800000000000182
2014-03-03,1350.3,1350.6,1353.5,-145.29999999999995,-148.29999999999973
2014-04-01,1279.6,1280.0,1282.5,-74.40000000000009,-78.39999999999986
2014-05-01,1283.4,1283.6,1284.7,-110.20000000000005,-115.5
2014-06-02,1243.7,1244.0,1246.1,-57.799999999999955,-62.80000000000018
2014-07-01,1326.6,1327.0,1329.6,-160.29999999999995,-164.80000000000018
2014-08-01,1293.6,1294.1,1297.9,-208.5,-212.4000000000001
2014-09-02,1264.3,1265.0,1268.9,-129.60000000000014,-132.30000000000018
2014-10-01,1214.6,1215.5,1218.9,-104.70000000000005,-107.5
2014-11-03,1169.8,1170.6,1174.1,-38.19999999999982,-39.59999999999991
2014-12-01,1218.0,1218.1,1220.8,-157.0,-160.0
2015-01-02,1186.2,1187.1,1190.5,-115.29999999999995,-116.40000000000009
2015-02-02,1276.2,1276.9,1280.6,-152.69999999999982,-153.4000000000001
2015-03-02,1208.2,1209.2,1213.4,17.399999999999864,18.09999999999991
2015-04-01,1208.1,1208.2,1212.4,9.799999999999955,9.900000000000091
2015-05-01,1174.5,1175.5,1180.2,115.59999999999991,115.90000000000009
2015-06-01,1188.3,1188.7,1194.0,17.90000000000009,16.90000000000032
2015-07-01,1169.3,1170.4,1176.7,162.29999999999995,160.60000000000036
2015-08-03,1089.4,1089.0,1094.1,257.3000000000002,250.50000000000045
2015-09-01,1139.3,1139.8,1144.8,168.79999999999995,158.60000000000036
2015-10-01,1114.2,1113.7,1117.5,191.5,176.10000000000036
2015-11-02,1135.9,1136.8,1140.6,147.4000000000001,129.20000000000027
2015-12-01,1063.8,1063.5,1068.3,98.60000000000014,77.20000000000027
2016-01-04,1075.2,1075.8,1080.8,81.20000000000005,58.100000000000136
2016-02-01,1127.9,1128.0,1131.0,74.59999999999991,46.799999999999955
2016-03-01,1230.8,1231.5,1235.8,14.200000000000045,-14.299999999999955
2016-04-01,1222.2,1223.5,1230.1,20.700000000000045,-7.5
2016-05-02,1295.8,1298.1,1307.5,-52.0,-78.29999999999995
2016-06-01,1211.9,1214.7,1227.4,39.59999999999991,15.999999999999773
2016-07-01,1339.0,1342.5,1366.8,-147.5999999999999,-159.20000000000005
2016-08-01,1351.4,1355.2,1384.9,-112.30000000000018,-118.40000000000032
