trade_date,spot,f2m,f1y,ret1yl,roll1y
2004-03-01,62.3,62.125,56.25,19.0,31.549999999999997
2004-04-01,65.3,67.7,59.6,10.550000000000004,21.325000000000003
2004-05-03,75.225,74.85,63.0,16.075000000000003,14.27500000000002
2004-06-01,76.55,76.175,64.575,6.875,6.600000000000023
2004-07-01,78.75,76.375,63.45,2.8499999999999943,0.025000000000019895
2004-08-02,78.5,70.35,58.7,10.899999999999991,1.450000000000017
2004-09-01,66.8,64.375,51.475,10.574999999999996,7.525000000000013
2004-10-01,74.75,68.675,52.0,16.224999999999994,4.8500000000000085
2004-11-01,69.175,69.175,53.5,7.350000000000001,0.20000000000000995
2004-12-01,78.95,75.9,56.8,6.550000000000004,-11.375
2005-01-03,76.7,77.2,59.0,5.650000000000006,-15.474999999999994
2005-02-01,73.625,75.125,60.8,-4.574999999999996,-23.624999999999993
2005-03-01,75.25,77.2,58.8,3.9000000000000057,-23.07499999999999
2005-04-01,70.15,78.6,60.95,-2.8000000000000043,-26.775
2005-05-02,79.075,77.425,59.75,8.474999999999994,-24.400000000000013
2005-06-01,71.45,70.3,60.35,9.249999999999993,-15.700000000000024
2005-07-01,66.3,66.05,61.9,10.975000000000001,-7.4250000000000185
2005-08-01,69.6,59.525,59.9,8.699999999999996,-13.150000000000027
2005-09-01,62.05,60.525,50.25,16.299999999999997,-10.400000000000027
2005-10-03,68.225,65.0,61.75,2.5,-18.200000000000017
2005-11-01,60.85,65.15,54.05,10.350000000000009,-10.100000000000016
2005-12-01,63.35,67.95,57.95,3.174999999999997,-14.450000000000017
2006-01-03,64.65,67.95,57.45,2.049999999999997,-16.075000000000017
2006-02-01,56.225,62.025,52.9,11.824999999999996,-3.1750000000000185
2006-03-01,62.7,68.9,57.95,8.174999999999997,-5.425000000000026
2006-04-03,58.15,65.375,56.5,8.525000000000006,-5.57500000000001
2006-05-01,68.225,66.875,60.25,15.799999999999997,-7.375000000000007
2006-06-01,69.6,68.6,62.25,12.625,-10.750000000000007
2006-07-03,72.875,70.775,62.0,8.474999999999994,-19.700000000000024
2006-08-01,68.6,61.275,61.75,10.575000000000003,-15.07500000000001
2006-09-01,66.55,64.35,56.0,11.075000000000003,-27.85000000000001
2006-10-02,64.25,60.45,55.95,2.1999999999999957,-39.00000000000002
2006-11-01,64.4,67.275,60.0,-7.75,-50.25000000000002
2006-12-01,61.125,64.425,64.25,-9.549999999999997,-49.30000000000001
2007-01-03,59.5,63.55,64.6,-7.424999999999997,-48.42500000000002
2007-02-01,64.725,67.7,66.375,-6.5,-53.000000000000014
2007-03-01,66.125,75.925,71.6,-12.799999999999997,-59.30000000000001
2007-04-02,65.025,75.0,69.9,-13.900000000000006,-62.27500000000002
2007-05-01,76.05,75.525,74.0,-1.4500000000000028,-56.425000000000026
2007-06-01,74.875,75.15,74.9,1.4249999999999972,-50.55000000000001
2007-07-02,70.475,69.875,71.7,-0.7999999999999972,-51.175
2007-08-01,72.325,74.575,72.1,9.475000000000009,-42.349999999999994
2007-09-04,67.075,69.4,66.0,3.549999999999997,-39.925
2007-10-01,58.15,59.55,68.3,-0.5750000000000028,-30.9
2007-11-01,52.25,59.9,66.7,-12.300000000000004,-32.175000000000004
2007-12-03,54.7,61.225,65.6,-6.874999999999993,-30.150000000000006
