trade_date,spot,f2m,f1y,ret1yl,roll1y
1995-09-01,1.334,1.3355,1.1695,-0.20299999999999996,-0.20399990000000012
1995-10-02,1.315,1.3055,1.1865,-0.29900000000000015,-0.2584999000000002
1995-11-01,1.3265,1.2885,1.161,-0.22499999999999998,-0.2254999000000001
1995-12-01,1.3225,1.2965,1.149,-0.09299999999999997,-0.12999990000000006
1996-01-02,1.234,1.211,1.117,-0.07099999999999995,-0.054499899999999935
1996-02-01,1.186,1.1740000000000002,1.0605,-0.022499999999999964,-0.024499899999999686
1996-03-01,1.1805,1.167,1.062,0.09499999999999997,0.10150010000000043
1996-04-01,1.151,1.1455,1.068,0.0605,0.10100010000000048
1996-05-01,1.229,1.2215,1.095,0.014000000000000012,0.01000010000000029
1996-06-03,1.161,1.1365,1.0395,0.13049999999999984,0.1350001000000003
1996-07-01,0.8945,0.8945,0.8805,0.241,0.32700010000000035
1996-08-01,0.93,0.9244999,0.894,0.17549999999999988,0.25350010000000023
1996-09-03,0.9665,0.9625,0.923,0.03249999999999997,0.09450000000000025
1996-10-01,0.8875,0.882,0.8669998999999999,0.08600010000000002,0.1595000000000003
1996-11-01,0.936,0.9265,0.871,0.035999899999999974,0.052499900000000266
1996-12-02,1.056,1.033,0.9259999,-0.11149989999999999,-0.16699999999999982
1997-01-02,1.046,1.033,0.9395,-0.1775,-0.23949999999999994
1997-02-03,1.038,1.0245,0.945,-0.15900000000000003,-0.2270000000000001
1997-03-03,1.157,1.145,0.9975,-0.21150000000000013,-0.3620000000000002
1997-04-01,1.1285,1.1165,0.9985,-0.2370000000000001,-0.3770000000000002
1997-05-01,1.109,1.1055,0.9819999,-0.13599990000000006,-0.2905000000000002
1997-06-02,1.17,1.1715,1.0205,-0.26549999999999996,-0.45050000000000023
1997-07-01,1.1215,1.1075,0.9975,-0.2775000000000001,-0.44000000000000017
1997-08-01,1.0695,1.0725,0.9944999,-0.2494999,-0.38050000000000017
1997-09-02,0.9555,0.963,0.953,-0.18700000000000006,-0.24750000000000028
1997-10-01,0.953,0.96,0.957,-0.22799999999999987,-0.27200000000000013
1997-11-03,0.9069999,0.9044999,0.9044999,-0.18049989999999994,-0.2274999000000001
1997-12-01,0.8145,0.8215,0.8490000000000001,-0.15050000000000008,-0.16700000000000004
1998-01-02,0.762,0.7685,0.8155,-0.17100000000000004,-0.1675000000000001
1998-02-02,0.7859999999999999,0.7885,0.8220000000000001,-0.18000000000000005,-0.19200000000000006
1998-03-02,0.7859999999999999,0.7929999999999999,0.828,-0.21199999999999997,-0.21949999999999992
1998-04-01,0.7615,0.767,0.7959999,-0.17249989999999993,-0.18499999999999994
1998-05-01,0.846,0.8505,0.8325,-0.10849999999999993,-0.16849999999999976
1998-06-01,0.755,0.7595,0.775,-0.14350000000000007,-0.16949999999999976
1998-07-01,0.72,0.7235,0.745,0.007499999999999951,-0.012499999999999845
1998-08-03,0.745,0.75,0.768,-0.023499999999999965,-0.04549999999999965
1998-09-01,0.7659999999999999,0.7635,0.772,0.01999989999999996,-0.017500099999999574
1998-10-01,0.7290000000000001,0.7325,0.7559999999999999,0.0509999000000001,0.026499800000000295
1998-11-02,0.7240000000000001,0.728,0.757,0.044499999999999984,0.025499800000000294
1998-12-01,0.6985,0.7045,0.74,0.049000000000000044,0.03899980000000025
1999-01-04,0.6445,0.649,0.6920000000000001,0.1459999999999999,0.13949980000000028
1999-02-01,0.642,0.6459999999999999,0.6859999999999999,0.15100000000000013,0.13999980000000034
1999-03-01,0.616,0.6205,0.6555,0.13799989999999995,0.12049970000000021
1999-04-01,0.6235,0.6285,0.6635,0.134,0.1174997000000002
1999-05-03,0.7240000000000001,0.728,0.7565,0.03850000000000009,0.014499700000000115
1999-06-01,0.6315,0.635,0.6734998999999999,0.13350000000000006,0.12049960000000015
1999-07-01,0.7525,0.7559999999999999,0.779,0.034499999999999975,0.004999600000000215
1999-08-02,0.7445,0.748,0.7675,0.10199990000000003,0.0679995000000001
1999-09-01,0.7919999,0.7975,0.8175,0.07150000000000001,0.03949960000000008
1999-10-01,0.8069999,0.8109999999999999,0.8370000000000001,0.05799999999999994,0.03249970000000013
1999-11-01,0.8015,0.805,0.8375,-0.0045000000000000595,-0.022000299999999973
1999-12-01,0.789,0.7975,0.835,0.02449990000000002,0.01749960000000006
2000-01-04,0.838,0.8435,0.871,-0.05300000000000005,-0.06400040000000007
2000-02-01,0.8370000000000001,0.843,0.8759999999999999,-0.025999999999999912,-0.024000400000000144
2000-03-01,0.7934998999999999,0.7975,0.8255,-0.0045000000000000595,-0.0005002000000001727
2000-04-03,0.7975,0.8025,0.8290000000000001,-0.07400000000000007,-0.06800020000000018
2000-05-01,0.795,0.7975,0.8375,-0.0635,-0.04700020000000016
2000-06-01,0.8069999,0.8115,0.82,-0.0724999999999999,-0.08850000000000013
2000-07-05,0.8135,0.818,0.8145,-0.10249999999999992,-0.13050000000000006
2000-08-01,0.8694999,0.8735,0.8675,-0.1845000000000001,-0.2154999000000002
2000-09-01,0.889,0.8925,0.892,-0.21900000000000008,-0.24549990000000022
2000-10-02,0.895,0.897,0.8909999999999999,-0.24649999999999994,-0.27649990000000024
2000-11-01,0.833,0.836,0.8365,-0.21850000000000003,-0.2424999000000002
2000-12-01,0.8594999,0.8590000000000001,0.851,-0.1469999999999999,-0.1824998000000002
2001-01-02,0.818,0.8165,0.818,-0.16549999999999998,-0.1964998000000001
2001-02-01,0.85,0.8469999,0.8405,-0.10700010000000004,-0.15199990000000008
2001-03-01,0.821,0.8225,0.8270000000000001,-0.10050000000000003,-0.136
2001-04-02,0.755,0.7605,0.7785,-0.01750000000000007,-0.036999900000000085
2001-05-01,0.774,0.7794999,0.8009999,-0.07799990000000001,-0.09199990000000013
2001-06-01,0.7475,0.752,0.7825,-0.010000000000000009,-0.013500000000000179
2001-07-02,0.7120000000000001,0.7165,0.7515,0.01650000000000007,0.018999999999999795
2001-08-01,0.6829999999999999,0.6875,0.7215,-0.03949999999999998,-0.03649999999999998
2001-09-04,0.6729999999999999,0.6729999999999999,0.7045,-0.030000100000000085,-0.03250010000000003
2001-10-01,0.6445,0.648,0.6759999999999999,-0.0119999999999999,-0.01750010000000002
2001-11-01,0.618,0.6205,0.6475,0.07600000000000007,0.06849990000000006
2001-12-03,0.7040000000000001,0.7075,0.7340000000000001,0.022499999999999853,0.015499900000000011
2002-01-02,0.6525,0.6555,0.687,0.027000000000000024,0.024999900000000186
2002-02-01,0.7334999,0.7365,0.763,0.023499999999999965,0.017500000000000182
2002-03-01,0.7265,0.7294999,0.754,0.033499999999999974,0.026000000000000134
2002-04-01,0.7609999999999999,0.7645,0.7905,-0.06799999999999995,-0.07300009999999979
2002-05-01,0.723,0.726,0.7490000000000001,-0.024500100000000136,-0.03150009999999981
2002-06-03,0.7725,0.7755,0.7984998999999999,-0.010999899999999951,-0.018000099999999852
2002-07-01,0.768,0.7709999999999999,0.7925,-0.046499999999999986,-0.05450009999999994
2002-08-01,0.682,0.685,0.7115,0.10449999999999993,0.10199989999999981
2002-09-03,0.6744998999999999,0.6775,0.705,0.10450000000000004,0.10349999999999993
2002-10-01,0.664,0.6675,0.6945,0.124,0.12349999999999983
2002-11-01,0.7235,0.726,0.7485,0.18249989999999994,0.17799989999999977
2002-12-02,0.7565,0.7595,0.777,0.1785,0.16999989999999976
2003-01-02,0.7140000000000001,0.716,0.7375,0.3454999999999999,0.3409998999999996
2003-02-03,0.7865,0.789,0.8075,0.3350000000000001,0.3279998999999997
2003-03-03,0.7875,0.79,0.805,0.5895,0.5799998999999999
2003-04-01,0.7225,0.7244999,0.7435,0.6275,0.6214999000000001
2003-05-01,0.7244999,0.7275,0.7445,0.48349999999999993,0.4784999000000001
2003-06-02,0.7875,0.79,0.8034998999999999,0.48900010000000005,0.4834999000000001
2003-07-01,0.746,0.7485,0.763,0.45899999999999996,0.4569999000000001
2003-08-01,0.816,0.8185,0.815,0.4930000000000001,0.4734999000000003
2003-09-02,0.8095,0.812,0.8215,0.4534999999999999,0.4519999000000001
2003-10-01,0.8185,0.8205,0.8335,0.5744999999999999,0.5764999000000002
2003-11-03,0.9309999,0.933,0.9335,0.3819999999999999,0.3745000000000003
2003-12-01,0.9555,0.9575,0.9465,0.521,0.5120000000000002
2004-01-05,1.083,1.085,1.061,0.46250000000000013,0.45550000000000046
2004-02-02,1.1425,1.144,1.088,0.36299999999999977,0.3540000000000001
2004-03-01,1.3945,1.3969999999999998,1.281,0.1835,0.1519999999999999
2004-04-01,1.371,1.371,1.246,0.24649999999999994,0.20399999999999974
2004-05-03,1.228,1.2275,1.1005,0.39549999999999996,0.3584999999999998
2004-06-01,1.2925,1.2925,1.183,0.355,0.3564999999999998
2004-07-01,1.222,1.224,1.108,0.4284999999999999,0.47799999999999976
2004-08-02,1.308,1.3055,1.1515,0.552,0.5969999999999998
2004-09-01,1.275,1.277,1.148,0.5790000000000002,0.6915
2004-10-01,1.408,1.4069999999999998,1.185,0.649,0.6885000000000001
2004-11-01,1.3155,1.3075,1.1455,0.7505,0.8819999999999999
2004-12-01,1.4675,1.4545,1.227,0.9410000000000001,1.074
2005-01-03,1.5235,1.495,1.301,0.8670000000000002,1.0895000000000001
2005-02-01,1.4509999999999998,1.416,1.2675,0.9914999999999998,1.2860000000000003
2005-03-01,1.4645,1.4665,1.3159999999999998,0.9275000000000002,1.2320000000000002
2005-04-01,1.4925,1.4845,1.3365,1.2405,1.5385000000000002
2005-05-02,1.496,1.475,1.319,2.1340000000000003,2.432500000000001
2005-06-01,1.538,1.4855,1.2695,2.2989999999999995,2.5550000000000006
2005-07-01,1.5365,1.5005,1.2075,2.287,2.5275000000000007
2005-08-01,1.7035,1.663,1.3905,2.2424999999999997,2.5020000000000007
2005-09-01,1.727,1.706,1.435,2.04,2.3200000000000007
2005-10-03,1.834,1.794,1.517,1.9135,2.1475000000000004
2005-11-01,1.896,1.816,1.535,1.6955000000000002,1.8465000000000007
2005-12-01,2.168,2.0835,1.7365,1.4104999999999999,1.4005000000000003
2006-01-03,2.168,2.1065,1.789,0.8434999999999999,0.7929999999999999
2006-02-01,2.259,2.249,2.0405,0.4774999999999996,0.514
2006-03-01,2.2435,2.2445,2.063,0.6734999999999998,0.7255
2006-04-03,2.577,2.5475,2.3935,0.7805,0.8164999999999998
2006-05-01,3.4530000000000003,3.383,3.0255,0.5899999999999999,0.3474999999999995
2006-06-01,3.5685,3.471,3.1105,0.2919999999999998,-0.06100000000000061
2006-07-05,3.4945,3.4555,3.0855,0.44999999999999973,0.0459999999999996
2006-08-01,3.633,3.593,3.261,0.3340000000000001,-0.07150000000000056
2006-09-01,3.475,3.475,3.249,0.07349999999999968,-0.21600000000000086
2006-10-02,3.4305,3.4295,3.196,0.4849999999999999,0.18849999999999922
2006-11-01,3.2305,3.241,3.0945,0.2615000000000003,0.055999999999999384
2006-12-01,3.147,3.1555,3.1355,-0.07449999999999957,-0.15149999999999975
2007-01-03,2.6325,2.6445,2.639,0.4115000000000002,0.35200000000000053
2007-02-01,2.518,2.5305,2.456,0.8045,0.6795000000000007
2007-03-01,2.7365,2.7505,2.667,1.2640000000000002,1.1315000000000006
2007-04-02,3.174,3.179,2.9960000000000004,0.8299999999999996,0.6045000000000009
2007-05-01,3.6155,3.6255,3.382,0.3434999999999997,0.08700000000000041
2007-06-01,3.4025,3.405,3.1805,0.4285000000000001,0.2115000000000007
2007-07-02,3.5355,3.535,3.2845,0.6379999999999999,0.4070000000000007
2007-08-01,3.595,3.585,3.379,0.24949999999999983,0.05450000000000066
2007-09-04,3.3225,3.321,3.1685,0.15399999999999991,0.06100000000000061
2007-10-01,3.681,3.6875,3.5175,-0.7204999999999999,-0.808999999999999
2007-11-01,3.3560000000000003,3.3625,3.3225,-1.4849999999999999,-1.4339999999999995
2007-12-03,3.0610000000000004,3.07,3.0795,-1.476,-1.3690000000000002
2008-01-02,3.0505,3.0595,3.077,-1.633,-1.5230000000000004
2008-02-01,3.2605,3.273,3.2255,-1.8019999999999998,-1.7540000000000004
2008-03-03,3.931,3.9295,3.758,-2.2504999999999997,-2.3355000000000006
2008-04-01,3.826,3.8065,3.6695,-1.8240000000000003,-1.8995000000000006
2008-05-01,3.7255,3.7075,3.5695,-1.468,-1.566
2008-06-02,3.609,3.5965,3.5445,-1.2255000000000003,-1.2515000000000003
2008-07-01,3.9225,3.921,3.793,-1.4780000000000002,-1.5815000000000003
2008-08-01,3.6285,3.5785,3.4810000000000003,-0.7495000000000003,-0.8810000000000004
2008-09-02,3.3225,3.307,3.2395,-0.44300000000000006,-0.5670000000000004
2008-10-01,2.797,2.794,2.8085,-0.08300000000000018,-0.13700000000000068
2008-11-03,1.8375,1.84,1.881,1.0559999999999998,1.0249999999999992
2008-12-01,1.6035,1.6175,1.673,1.5305,1.5199999999999996
2009-01-02,1.444,1.4535,1.4935,1.8944999999999999,1.8679999999999997
2009-02-02,1.4235,1.431,1.479,1.5995,1.5779999999999998
2009-03-02,1.5075,1.513,1.5519999999999998,1.7810000000000004,1.7510000000000001
2009-04-01,1.8455,1.849,1.8845,1.6925,1.6525
2009-05-01,2.1015,2.103,2.0915,1.1870000000000003,1.0945
2009-06-01,2.319,2.319,2.32,0.734,0.6470000000000002
2009-07-01,2.315,2.3235,2.345,0.52,0.4530000000000003
2009-08-03,2.7315,2.7385,2.7430000000000003,0.6419999999999995,0.5585
2009-09-01,2.7965,2.8055,2.8110000000000004,0.6574999999999998,0.5795000000000003
2009-10-01,2.7255,2.7315,2.749,0.9344999999999999,0.8705000000000003
2009-11-02,2.937,2.945,2.9755,0.8030000000000004,0.7545000000000006
2009-12-01,3.2035,3.2135,3.258,0.6880000000000002,0.6570000000000005
2010-01-04,3.388,3.3985,3.4415,1.0100000000000002,0.9865000000000008
2010-02-01,3.0785,3.0835,3.1015,1.4385,1.391000000000001
2010-03-01,3.333,3.343,3.3765,1.1139999999999999,1.0850000000000009
2010-04-01,3.577,3.584,3.615,0.6364999999999998,0.6020000000000012
2010-05-03,3.2785,3.2855,3.3355,0.847,0.8315000000000015
2010-06-01,3.054,3.063,3.1180000000000003,0.9849999999999994,0.9780000000000015
2010-07-01,2.865,2.8715,2.9275,1.3644999999999996,1.3615000000000017
2010-08-02,3.385,3.3895,3.4225,0.9815,0.955500000000002
2010-09-01,3.4685,3.4725,3.4825,0.6600000000000001,0.6090000000000018
2010-10-01,3.6835,3.689,3.6815,-0.5415000000000001,-0.6114999999999977
2010-11-01,3.7785,3.785,3.7615,-0.2629999999999999,-0.3479999999999981
2010-12-01,3.946,3.9475,3.884,-0.3620000000000001,-0.48949999999999827
2011-01-03,4.4515,4.4555,4.3745,-0.8495000000000004,-0.9959999999999987
2011-02-01,4.54,4.547,4.499,-0.6604999999999999,-0.7704999999999993
