trade_date,spot,f2m,f1y,ret1yl,roll1y
2006-06-08,6.1720000000000015,6.454,8.241,-0.36300000000000043,-4.186
2006-07-05,5.765,6.0379999999999985,8.335,-1.5709990000000005,-4.744
2006-08-01,7.574,7.779,8.91,-2.558,-6.797000000000001
2006-09-01,5.877000000000002,8.057,8.772,-3.1429989999999988,-5.829999999999999
2006-10-02,5.643,7.422999999999999,8.298,-1.2480000000000002,-2.9419999999999993
2006-11-01,7.7120000000000015,8.207,8.942,-0.3049999999999997,-2.3910000000000027
2006-12-01,8.422,8.48,9.573001,-2.359,-4.389000000000002
2007-01-03,6.1629999999999985,6.325,8.795001,-0.9450009999999995,-1.516
2007-02-01,7.53,7.58,9.006,-1.266,-2.846
2007-03-01,7.2879999999999985,7.405,7.71,1.6360000000000001,-0.9829999999999988
2007-04-02,7.671,7.809,7.939000999999998,1.7849990000000018,-0.9330009999999991
2007-05-01,7.718,7.87,8.217,2.3439999999999994,-0.09100099999999944
2007-06-01,7.877999999999999,8.011001,8.51,3.4589999999999996,1.167999000000001
2007-07-02,6.764001,6.869,8.048,5.457000000000001,3.856999000000001
2007-08-01,6.352,6.564000999999998,8.353,1.0360010000000006,0.1930000000000005
2007-09-04,5.6290010000000015,6.5760000000000005,7.7690009999999985,-0.5080009999999984,-1.1050000000000022
2007-10-01,7.05,7.7970000000000015,8.343,-0.6150000000000002,-1.5700000000000003
2007-11-01,8.637,8.997001,9.344001,-2.5060010000000013,-3.5919999999999996
2007-12-03,7.214001,7.294,8.699,-2.0949999999999998,-2.29
2008-01-02,7.85,7.865,9.25,-3.279,-3.511
2008-02-01,7.74,7.775,8.749,-4.191999,-4.822998999999999
2008-03-03,9.346,9.408001,8.883001,-4.731001,-6.845999999999999
2008-04-01,9.724,9.81,8.774,-5.078999999999999,-7.694998999999999
2008-05-01,10.561,10.702,9.522,-5.976,-8.729999
2008-06-02,11.969,12.063,10.645,-6.396,-9.427
2008-07-01,13.505,13.57,11.943,-8.148,-11.447
2008-08-01,9.389001,9.494,9.819,-5.787999999999999,-7.179000999999998
2008-09-02,7.261,7.7189999999999985,8.546,-5.725,-6.4100009999999985
2008-10-01,7.728,8.02,8.715,-4.249,-5.821001
2008-11-03,6.837999999999999,7.085,8.238,-3.4139999999999997,-5.1420010000000005
2008-12-01,6.604,6.636,8.119,-3.357,-5.061001000000002
2009-01-02,5.971,5.994,7.639000999999999,-1.7550009999999983,-3.3570010000000012
2009-02-02,4.5570010000000005,4.604001,6.417000000000002,-0.9830000000000014,-2.327002000000002
2009-03-02,4.152,4.228,5.643,-0.9640000000000013,-2.6010010000000037
2009-04-01,3.695,3.83,5.517,-1.431,-2.728001000000004
2009-05-01,3.5460000000000003,3.679001,5.6370010000000015,-1.6370010000000015,-2.6210010000000037
2009-06-01,4.249,4.373,6.324,-2.0759999999999996,-3.0720010000000046
2009-07-01,3.795,3.944,6.058001,-1.2039999999999997,-1.956000000000004
2009-08-03,4.0310000000000015,4.285,6.231,-1.5299999999999994,-2.222000000000005
2009-09-01,2.821,3.868,5.7,-1.9380000000000002,-1.7190000000000047
2009-10-01,4.466,5.327000000000001,6.573,-2.7760000000000002,-2.579000000000005
2009-11-02,4.824,5.162000000000001,6.553,-2.721,-2.321000000000004
2009-12-01,4.762,4.845,6.597,-2.3280000000000003,-1.738000000000003
2010-01-04,5.884,5.841,6.949,-2.2989999999999995,-2.4060010000000034
2010-02-01,5.434,5.405,6.455,-2.1079999999999997,-2.266001000000003
2010-03-01,4.6789999999999985,4.746,5.495,-1.6219999999999999,-2.0330010000000014
2010-04-01,4.086,4.177,5.185,-0.8229999999999995,-0.9610010000000013
2010-05-03,4.0,4.1290010000000015,5.245,-0.5519999999999996,-0.5280010000000015
2010-06-01,4.248,4.316,5.174,-0.5449989999999989,-0.7809989999999987
2010-07-01,4.854001,4.88,5.316,-1.005,-1.674999999999999
2010-08-02,4.7010000000000005,4.723,5.143,-0.9550000000000001,-1.638
2010-09-01,3.762,4.059,4.745,-0.6950000000000003,-0.8170000000000006
2010-10-01,3.797,4.077,4.776,-1.1589999999999998,-1.104000000000001
2010-11-01,3.832,4.086,4.934,-1.153,-1.0060000000000007
2010-12-01,4.269,4.279001,5.2120000000000015,-1.5640000000000014,-1.4610000000000003
2011-01-03,4.65,4.614,5.309,-2.316,-2.513999
2011-02-01,4.347,4.3660000000000005,4.972,-2.5900000000000003,-2.8869990000000003
2011-03-01,3.873,3.95,4.577,-2.114,-2.465999
2011-04-01,4.362,4.437,4.93,-2.7779999999999996,-3.304999
2011-05-02,4.6930000000000005,4.763,5.066,-2.695,-3.4799990000000003
2011-06-01,4.6290010000000015,4.667,4.997,-2.671,-3.4880000000000018
2011-07-01,4.311,4.33,4.774,-1.9500000000000002,-2.695000000000002
2011-08-01,4.188,4.19,4.644,-1.4729999999999999,-2.2140000000000013
2011-09-01,4.05,4.166,4.612,-1.758,-2.391000000000001
2011-10-03,3.617,3.928,4.4030000000000005,-0.9230000000000005,-1.3620000000000005
2011-11-01,3.781,3.92,4.497,-0.798,-1.2680000000000007
2011-12-01,3.648,3.675,4.452,-0.8609999999999998,-1.2230000000000008
2012-01-03,2.9930000000000003,3.022,3.879,-0.6459999999999999,-0.9230000000000014
2012-02-01,2.382,2.535,3.417,-0.11599999999999966,-0.23700000000000143
2012-03-01,2.463,2.579,3.422,0.03400000000000025,-0.062000000000001165
2012-04-02,2.152,2.29,3.417,0.5979999999999999,0.8759999999999986
2012-05-01,2.371,2.468,3.4410000000000003,0.8850000000000002,1.0599999999999992
2012-06-01,2.326,2.387,3.3710000000000004,0.6199999999999997,0.8139989999999977
2012-07-02,2.824,2.832,3.576,0.0009999999999998899,-0.05500100000000252
2012-08-01,3.1710000000000003,3.1710000000000003,3.734,-0.347,-0.5800010000000029
2012-09-04,2.854,3.0,3.547,0.11899999999999977,-0.012001000000002815
2012-10-01,3.48,3.752,4.06,-0.4509999999999996,-0.6430010000000026
2012-11-01,3.699,3.818,4.252,-0.7389999999999999,-0.8420010000000029
2012-12-03,3.591,3.615,4.188,-0.19999999999999973,-0.21800100000000322
2013-01-02,3.233,3.255,3.971,0.3500009999999998,0.5009999999999968
2013-02-01,3.301,3.353,3.976,0.9290000000000003,1.0639999999999965
