trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-04-01,475.0,515.0,565.0,-85.0,-140.0
2015-05-01,462.0,490.0,549.0,11.0,-17.0
2015-06-01,464.0,498.0,530.0,85.0,48.0
2015-07-01,475.0,485.0,528.0,87.0,101.0
2015-08-03,477.0,492.0,516.0,77.0,107.0
2015-09-01,460.0,469.0,478.0,77.0,113.0
2015-10-01,419.0,410.0,444.0,52.0,129.0
2015-11-02,397.0,398.0,431.0,61.0,144.0
2015-12-01,380.0,379.0,425.0,140.0,217.0
2016-01-04,395.0,405.0,419.0,214.0,209.0
2016-02-01,402.0,404.0,421.0,199.0,203.0
2016-03-01,404.0,410.0,423.0,197.0,213.0
2016-04-01,480.0,490.0,490.0,150.0,148.0
2016-05-02,560.0,576.0,529.0,89.0,71.0
2016-06-01,615.0,585.0,525.0,50.0,2.0
2016-07-01,615.0,595.0,520.0,118.0,43.0
2016-08-01,593.0,581.0,542.0,78.0,20.0
