trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-10-01,225.0,222.2,208.8,-45.60000000000002,39.20000000000002
2007-11-01,224.8,219.2,208.8,-42.80000000000001,49.599999999999994
2007-12-03,218.8,213.0,205.6,-53.599999999999994,48.99999999999997
2008-01-02,210.4,204.6,198.2,-47.19999999999999,60.599999999999966
2008-02-01,205.2,198.0,186.4,-35.599999999999994,70.79999999999998
2008-03-03,188.2,178.2,168.4,-28.400000000000006,80.6
2008-04-01,186.6,177.2,161.8,-19.200000000000017,68.79999999999998
2008-05-01,187.0,176.4,157.0,-11.800000000000011,64.19999999999996
2008-06-02,174.8,163.8,170.0,-28.0,67.79999999999995
2008-07-01,174.8,163.8,170.0,-28.0,62.799999999999955
2008-08-01,174.8,163.8,170.0,-28.0,57.799999999999955
2008-09-02,165.2,154.4,144.8,3.1999999999999886,68.39999999999998
2008-10-01,163.2,153.0,144.8,7.199999999999989,66.79999999999998
2008-11-03,166.0,153.0,144.8,9.199999999999989,59.79999999999998
2008-12-01,152.0,142.0,144.8,10.199999999999989,60.79999999999998
2009-01-02,151.0,140.0,144.8,10.199999999999989,55.79999999999998
2009-02-02,150.8,140.0,144.8,10.199999999999989,48.99999999999997
2009-03-02,140.0,146.0,147.4,3.5999999999999943,48.99999999999997
2009-04-01,142.6,140.0,142.0,9.0,58.39999999999998
2009-05-01,145.2,140.0,138.0,17.19999999999999,63.39999999999998
2009-06-01,142.0,136.0,145.0,12.199999999999989,68.59999999999997
2009-07-01,142.0,136.0,145.0,17.0,72.59999999999997
2009-08-03,142.0,136.0,145.0,17.0,73.59999999999997
2009-09-01,148.0,144.8,143.0,15.199999999999989,63.99999999999994
2009-10-01,152.0,148.0,150.0,11.0,65.59999999999997
2009-11-02,154.0,155.0,152.0,9.199999999999989,67.79999999999995
2009-12-01,155.0,151.0,143.0,10.400000000000006,68.19999999999996
2010-01-04,155.0,151.0,143.0,11.0,66.19999999999996
2010-02-01,155.0,151.0,143.0,15.0,68.19999999999996
2010-03-01,151.0,145.0,141.8,11.799999999999983,69.79999999999995
2010-04-01,151.0,145.0,141.8,11.799999999999983,66.99999999999994
2010-05-03,155.2,150.0,141.8,11.799999999999983,59.99999999999994
2010-06-01,157.2,152.0,141.8,9.199999999999989,52.799999999999955
2010-07-01,162.0,155.0,148.0,3.8000000000000114,43.599999999999966
2010-08-02,162.0,155.8,150.0,3.0,38.599999999999966
2010-09-01,158.2,152.2,153.6,-2.5999999999999943,36.19999999999999
2010-10-01,161.0,153.0,153.8,-2.8000000000000114,31.399999999999977
2010-11-01,161.2,153.0,153.8,-2.8000000000000114,27.19999999999999
2010-12-01,153.4,152.0,152.0,-3.5999999999999943,27.19999999999999
