trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-04-02,656.0,661.0,661.0,9.0,-46.0
2012-05-01,640.0,645.0,645.0,28.0,-27.0
2012-06-01,567.0,572.0,572.0,117.0,62.0
2012-07-02,674.0,679.0,679.0,-23.0,-78.0
2012-08-01,792.0,797.0,797.0,-189.0,-244.0
2012-09-04,793.0,798.0,804.0,-225.0,-274.0
2012-10-01,738.0,743.0,743.0,-226.0,-281.0
2012-11-01,740.0,745.0,745.0,-269.0,-324.0
2012-12-03,742.0,747.0,747.0,-322.0,-377.0
2013-01-02,684.0,689.0,689.0,-281.0,-336.0
2013-02-01,735.0,740.0,740.0,-317.0,-372.0
2013-03-01,720.0,725.0,725.0,-275.0,-330.0
2013-04-01,670.0,675.0,675.0,-197.0,-252.0
2013-05-01,673.0,678.0,678.0,-194.0,-249.0
2013-06-03,689.0,694.0,694.0,-241.0,-296.0
2013-07-01,656.0,661.0,661.0,-242.0,-297.0
2013-08-01,608.0,613.0,613.0,-264.0,-319.0
2013-09-03,579.0,584.0,584.0,-230.0,-285.0
2013-10-01,517.0,522.0,522.0,-223.0,-278.0
2013-11-01,476.0,481.0,481.0,-134.0,-189.0
2013-12-02,425.0,430.0,430.0,-67.0,-122.0
2014-01-02,408.0,413.0,413.0,-37.0,-92.0
2014-02-03,423.0,428.0,428.0,-70.0,-125.0
2014-03-03,450.0,455.0,455.0,-79.0,-134.0
2014-04-01,478.0,483.0,483.0,-108.0,-163.0
2014-05-01,484.0,489.0,489.0,-131.0,-186.0
2014-06-02,453.0,458.0,458.0,-106.0,-161.0
2014-07-01,419.0,424.0,424.0,-18.0,-73.0
2014-08-01,349.0,354.0,354.0,1.0,-54.0
2014-09-02,354.0,359.0,359.0,-11.0,-66.0
2014-10-01,299.0,304.0,304.0,66.0,11.0
2014-11-03,347.0,352.0,352.0,11.0,-44.0
2014-12-01,363.0,368.0,368.0,-9.0,-64.0
2015-01-02,376.0,381.0,381.0,-37.0,-92.0
2015-02-02,358.0,363.0,363.0,-1.0,-56.0
2015-03-02,376.0,381.0,381.0,-38.0,-93.0
2015-04-01,375.0,380.0,380.0,-39.0,-94.0
2015-05-01,358.0,363.0,363.0,8.0,-47.0
2015-06-01,352.0,357.0,357.0,35.0,-20.0
2015-07-01,406.0,411.0,411.0,-77.0,-132.0
2015-08-03,355.0,360.0,360.0,-47.0,-102.0
2015-09-01,348.0,353.0,353.0,-58.0,-113.0
2015-10-01,370.0,375.0,375.0,-70.0,-125.0
2015-11-02,363.0,368.0,368.0,-48.0,-103.0
2015-12-01,359.0,364.0,364.0,-51.0,-106.0
2016-01-04,344.0,349.0,349.0,-19.0,-74.0
2016-02-01,362.0,367.0,367.0,-21.0,-76.0
2016-03-01,343.0,348.0,348.0,8.0,-47.0
2016-04-01,341.0,346.0,346.0,-5.0,-60.0
2016-05-02,371.0,376.0,376.0,-38.0,-93.0
2016-06-01,392.0,397.0,397.0,-48.0,-103.0
2016-07-01,334.0,339.0,339.0,12.0,-43.0
2016-08-01,313.0,318.0,318.0,24.0,-31.0
