trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-11-01,58750,58975,59425,-5200.0,-7075.0
2012-12-03,58025,58250,58700,-7400.0,-10175.0
2013-01-02,63475,63725,64125,-13450.0,-17150.0
2013-02-01,60300,60550,60950,-14700.0,-18350.0
2013-03-01,57200,57400,57800,-10250.0,-13900.0
2013-04-01,56025,56225,56625,-6350.0,-10000.0
2013-05-01,54925,55125,55525,-3475.0,-7125.0
2013-06-03,53925,54125,54525,-2800.0,-6450.0
2013-07-01,47075,47275,48600,5150.0,2425.0
2013-08-01,49100,49300,50625,5400.0,2675.0
2013-09-03,50925,51125,52450,10150.0,7425.0
2013-10-01,52625,52825,54150,-1175.0,-3900.0
2013-11-01,54225,55350,55750,-1210.0,-4235.0
2013-12-02,51300,52425,52825,-400.0,-2500.0
2014-01-02,50675,50875,51275,-2450.0,-4550.0
2014-02-03,46250,46450,46850,585.0,-1515.0
2014-03-03,47550,47750,48150,3285.0,1185.0
2014-04-01,50275,50475,50875,1765.0,-335.0
2014-05-01,52050,52250,52650,4235.0,2135.0
2014-06-02,51725,51925,52325,825.0,-1275.0
2014-07-01,53750,53950,54350,-870.0,-2970.0
2014-08-01,56025,56225,56625,-6330.0,-8430.0
2014-09-02,62600,62800,63200,-17305.0,-19405.0
2014-10-01,52975,53475,53875,-8410.0,-10210.0
2014-11-03,54540,54740,55140,-8960.0,-10760.0
2014-12-01,52425,52625,53025,-8415.0,-10215.0
2015-01-02,48825,49025,49425,-7025.0,-8825.0
2015-02-02,47435,47635,48035,-7515.0,-9315.0
2015-03-02,51435,51635,52035,-8035.0,-9835.0
2015-04-01,52640,52840,53240,-2850.0,-4650.0
2015-05-01,56885,57085,57485,-3260.0,-5060.0
2015-06-01,53150,53350,53750,-4645.0,-6445.0
2015-07-01,53480,53680,54080,-895.0,-2695.0
2015-08-03,50295,50495,50895,6005.0,5005.0
2015-09-01,45895,46095,46495,12590.0,12390.0
2015-10-01,45465,45665,46065,13635.0,13435.0
2015-11-02,46180,46380,46780,17470.0,17270.0
2015-12-01,44610,44810,45210,14790.0,14590.0
2016-01-04,42400,42600,43000,19000.0,18800.0
2016-02-01,40520,40720,41120,21880.0,21680.0
2016-03-01,44000,44200,44600,23320.0,23120.0
2016-04-01,50390,50590,50990,14505.0,14305.0
2016-05-02,54225,54425,54825,12070.0,11870.0
2016-06-01,49105,49305,49705,12730.0,12530.0
2016-07-01,53185,52585,52985,11420.0,10420.0
2016-08-01,56900,56300,56700,10310.0,8510.0
