trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-04-02,661.0,666.0,666.0,19.0,-36.0
2012-05-01,619.0,624.0,624.0,135.0,80.0
2012-06-01,589.0,594.0,594.0,136.0,81.0
2012-07-02,725.0,730.0,730.0,-62.0,-117.0
2012-08-01,831.0,836.0,836.0,-145.0,-200.0
2012-09-04,832.0,837.0,832.0,-154.0,-214.0
2012-10-01,845.0,850.0,850.0,-136.0,-191.0
2012-11-01,857.0,862.0,862.0,-149.0,-204.0
2012-12-03,851.0,856.0,856.0,-173.0,-228.0
2013-01-02,765.0,770.0,770.0,-150.0,-205.0
2013-02-01,784.0,789.0,789.0,-173.0,-228.0
2013-03-01,720.0,725.0,725.0,-42.0,-97.0
2013-04-01,685.0,690.0,690.0,43.0,-12.0
2013-05-01,759.0,764.0,764.0,5.0,-50.0
2013-06-03,730.0,735.0,735.0,-39.0,-94.0
2013-07-01,668.0,673.0,673.0,7.0,-48.0
2013-08-01,691.0,696.0,696.0,-92.0,-147.0
2013-09-03,678.0,683.0,683.0,-91.0,-146.0
2013-10-01,714.0,719.0,719.0,-197.0,-252.0
2013-11-01,713.0,718.0,718.0,-149.0,-204.0
2013-12-02,683.0,688.0,688.0,-59.0,-114.0
2014-01-02,620.0,625.0,625.0,-38.0,-93.0
2014-02-03,616.0,621.0,621.0,-112.0,-167.0
2014-03-03,683.0,688.0,688.0,-185.0,-240.0
2014-04-01,733.0,738.0,738.0,-189.0,-244.0
2014-05-01,769.0,774.0,774.0,-301.0,-356.0
2014-06-02,696.0,701.0,701.0,-214.0,-269.0
2014-07-01,680.0,685.0,685.0,-137.0,-192.0
2014-08-01,604.0,609.0,609.0,-148.0,-203.0
2014-09-02,592.0,597.0,597.0,-160.0,-215.0
2014-10-01,522.0,527.0,527.0,-68.0,-122.0
2014-11-03,569.0,574.0,574.0,-129.0,-183.0
2014-12-01,629.0,634.0,634.0,-214.0,-268.0
2015-01-02,587.0,592.0,592.0,-180.0,-234.0
2015-02-02,509.0,514.0,514.0,-89.0,-143.0
2015-03-02,503.0,508.0,508.0,-110.0,-164.0
2015-04-01,549.0,554.0,554.0,-129.0,-183.0
2015-05-01,473.0,478.0,478.0,-64.0,-118.0
2015-06-01,487.0,492.0,492.0,-90.0,-144.0
2015-07-01,548.0,553.0,553.0,-220.0,-274.0
2015-08-03,461.0,466.0,466.0,-131.0,-185.0
2015-09-01,437.0,441.0,441.0,-136.0,-191.0
2015-10-01,459.0,464.0,464.0,-152.0,-207.0
2015-11-02,445.0,450.0,450.0,-131.0,-186.0
2015-12-01,420.0,425.0,425.0,-119.0,-174.0
2016-01-04,412.0,417.0,417.0,-86.0,-141.0
2016-02-01,425.0,430.0,430.0,-67.0,-122.0
2016-03-01,398.0,403.0,403.0,-15.0,-70.0
2016-04-01,425.0,430.0,430.0,-85.0,-140.0
2016-05-02,414.0,419.0,419.0,-72.0,-127.0
2016-06-01,402.0,407.0,407.0,-38.0,-93.0
2016-07-01,333.0,338.0,338.0,152.0,97.0
2016-08-01,335.0,340.0,340.0,84.0,29.0
