trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-04-02,1373.0,1378.0,1378.0,10.0,-45.0
2012-05-01,1450.0,1455.0,1455.0,-37.0,-92.0
2012-06-01,1302.0,1307.0,1307.0,213.0,158.0
2012-07-02,1468.0,1473.0,1473.0,43.0,-12.0
2012-08-01,1647.0,1652.0,1652.0,-277.0,-332.0
2012-09-04,1737.0,1742.0,1803.0,-337.0,-331.0
2012-10-01,1513.0,1518.0,1518.0,-173.0,-228.0
2012-11-01,1516.0,1521.0,1521.0,-225.0,-280.0
2012-12-03,1420.0,1425.0,1425.0,-130.0,-185.0
2013-01-02,1377.0,1382.0,1382.0,-125.0,-180.0
2013-02-01,1456.0,1461.0,1461.0,-191.0,-246.0
2013-03-01,1438.0,1443.0,1443.0,-71.0,-126.0
2013-04-01,1388.0,1393.0,1393.0,47.0,-8.0
2013-05-01,1418.0,1423.0,1423.0,25.0,-30.0
2013-06-03,1520.0,1525.0,1525.0,-35.0,-90.0
2013-07-01,1516.0,1521.0,1521.0,-142.0,-197.0
2013-08-01,1375.0,1380.0,1380.0,-171.0,-226.0
2013-09-03,1466.0,1471.0,1471.0,-272.0,-327.0
2013-10-01,1345.0,1350.0,1350.0,-475.0,-530.0
2013-11-01,1296.0,1301.0,1301.0,-328.0,-383.0
2013-12-02,1295.0,1300.0,1300.0,-318.0,-373.0
2014-01-02,1257.0,1262.0,1262.0,-294.0,-349.0
2014-02-03,1270.0,1275.0,1275.0,-349.0,-404.0
2014-03-03,1372.0,1377.0,1377.0,-393.0,-448.0
2014-04-01,1440.0,1445.0,1445.0,-490.0,-545.0
2014-05-01,1448.0,1453.0,1453.0,-508.0,-563.0
2014-06-02,1490.0,1495.0,1495.0,-587.0,-642.0
2014-07-01,1379.0,1384.0,1384.0,-370.0,-425.0
2014-08-01,1209.0,1214.0,1214.0,-264.0,-319.0
2014-09-02,1199.0,1204.0,1204.0,-314.0,-369.0
2014-10-01,875.0,880.0,880.0,-48.0,-103.0
2014-11-03,973.0,978.0,978.0,-138.0,-193.0
2014-12-01,982.0,987.0,987.0,-131.0,-186.0
2015-01-02,968.0,973.0,973.0,-144.0,-199.0
2015-02-02,926.0,931.0,931.0,-82.0,-137.0
2015-03-02,984.0,989.0,989.0,-170.0,-225.0
2015-04-01,955.0,960.0,960.0,-85.0,-140.0
2015-05-01,945.0,950.0,950.0,34.0,-21.0
2015-06-01,908.0,913.0,913.0,128.0,73.0
2015-07-01,1014.0,1019.0,1019.0,92.0,37.0
2015-08-03,950.0,955.0,955.0,19.0,-36.0
2015-09-01,890.0,895.0,895.0,37.0,-18.0
2015-10-01,832.0,837.0,837.0,69.0,14.0
2015-11-02,840.0,845.0,845.0,82.0,27.0
2015-12-01,856.0,861.0,861.0,114.0,59.0
2016-01-04,829.0,834.0,834.0,108.0,53.0
2016-02-01,849.0,854.0,854.0,121.0,66.0
2016-03-01,819.0,824.0,824.0,159.0,104.0
2016-04-01,875.0,880.0,880.0,5.0,-50.0
2016-05-02,984.0,989.0,989.0,-101.0,-156.0
2016-06-01,1041.0,1046.0,1046.0,-178.0,-233.0
2016-07-01,1111.0,1116.0,1116.0,-200.0,-255.0
2016-08-01,974.0,979.0,979.0,-30.0,-85.0
