trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-04-02,645.0,650.0,650.0,-4.0,-59.0
2012-05-01,620.0,625.0,625.0,71.0,16.0
2012-06-01,591.0,596.0,596.0,92.0,37.0
2012-07-02,745.0,750.0,750.0,-130.0,-185.0
2012-08-01,853.0,858.0,858.0,-223.0,-278.0
2012-09-04,839.0,844.0,850.0,-246.0,-295.0
2012-10-01,844.0,849.0,849.0,-212.0,-267.0
2012-11-01,833.0,838.0,838.0,-204.0,-259.0
2012-12-03,818.0,823.0,823.0,-202.0,-257.0
2013-01-02,726.0,731.0,731.0,-154.0,-209.0
2013-02-01,745.0,750.0,750.0,-201.0,-256.0
2013-03-01,698.0,703.0,703.0,-93.0,-148.0
2013-04-01,646.0,651.0,651.0,21.0,-34.0
2013-05-01,696.0,701.0,701.0,-13.0,-68.0
2013-06-03,688.0,693.0,693.0,-81.0,-136.0
2013-07-01,620.0,625.0,625.0,-64.0,-119.0
2013-08-01,635.0,640.0,640.0,-124.0,-179.0
2013-09-03,604.0,609.0,609.0,-87.0,-142.0
2013-10-01,637.0,642.0,642.0,-198.0,-253.0
2013-11-01,634.0,639.0,639.0,-126.0,-181.0
2013-12-02,621.0,626.0,626.0,-49.0,-104.0
2014-01-02,577.0,582.0,582.0,-16.0,-71.0
2014-02-03,549.0,554.0,554.0,-74.0,-129.0
2014-03-03,610.0,615.0,615.0,-127.0,-182.0
2014-04-01,672.0,677.0,677.0,-164.0,-219.0
2014-05-01,688.0,693.0,693.0,-234.0,-289.0
2014-06-02,612.0,617.0,617.0,-143.0,-198.0
2014-07-01,561.0,566.0,566.0,-5.0,-60.0
2014-08-01,516.0,521.0,521.0,-63.0,-118.0
2014-09-02,522.0,527.0,527.0,-91.0,-146.0
2014-10-01,444.0,449.0,449.0,24.0,-31.0
2014-11-03,513.0,518.0,518.0,-44.0,-99.0
2014-12-01,577.0,582.0,582.0,-143.0,-198.0
2015-01-02,566.0,571.0,571.0,-138.0,-193.0
2015-02-02,480.0,485.0,485.0,-36.0,-91.0
2015-03-02,488.0,493.0,493.0,-76.0,-131.0
2015-04-01,513.0,518.0,518.0,-73.0,-128.0
2015-05-01,459.0,464.0,464.0,-11.0,-66.0
2015-06-01,474.0,479.0,479.0,-32.0,-87.0
2015-07-01,561.0,566.0,566.0,-145.0,-200.0
2015-08-03,458.0,463.0,463.0,-75.0,-130.0
2015-09-01,436.0,441.0,441.0,-91.0,-146.0
2015-10-01,473.0,478.0,478.0,-119.0,-174.0
2015-11-02,474.0,479.0,479.0,-99.0,-154.0
2015-12-01,439.0,444.0,444.0,-90.0,-145.0
2016-01-04,433.0,438.0,438.0,-60.0,-115.0
2016-02-01,449.0,454.0,454.0,-43.0,-98.0
2016-03-01,417.0,422.0,422.0,2.0,-53.0
2016-04-01,445.0,450.0,450.0,-50.0,-105.0
2016-05-02,453.0,458.0,458.0,-70.0,-125.0
2016-06-01,447.0,452.0,452.0,-36.0,-91.0
2016-07-01,421.0,426.0,426.0,111.0,56.0
2016-08-01,388.0,393.0,393.0,67.0,12.0
