trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-04-01,421.6,420.1,420.1,-26.30000000000001,-8.100000000000023
2011-05-02,426.6,425.1,425.1,-37.5,-19.100000000000023
2011-06-01,404.4,402.9,402.9,-55.299999999999955,-36.49999999999994
2011-07-01,417.5,415.8,415.8,-47.60000000000002,-28.5
2011-08-01,397.8,396.1,396.1,-30.100000000000023,-10.800000000000011
2011-09-01,366.3,364.5,364.5,4.699999999999989,24.099999999999966
2011-10-03,299.6,297.9,297.9,89.30000000000001,109.19999999999993
2011-11-01,352.4,350.7,350.7,34.80000000000001,55.299999999999955
2011-12-01,360.2,358.5,358.5,19.80000000000001,40.599999999999966
2012-01-03,362.7,361.1,361.1,43.799999999999955,65.19999999999993
2012-02-01,394.5,392.9,392.9,23.0,44.799999999999955
2012-03-01,393.2,391.5,391.5,13.899999999999977,36.09999999999991
2012-04-02,393.8,392.1,392.1,16.5,38.99999999999994
2012-05-01,387.6,385.7,385.7,23.600000000000023,46.099999999999966
2012-06-01,347.6,345.6,345.6,80.5,102.89999999999998
2012-07-02,368.2,366.3,366.3,41.099999999999966,63.30000000000001
2012-08-01,366.0,364.1,364.1,66.39999999999998,88.60000000000002
2012-09-04,369.2,367.0,367.0,61.80000000000001,83.70000000000005
2012-10-01,387.2,384.9,384.9,60.200000000000045,81.80000000000007
2012-11-01,385.5,383.5,383.5,77.0,98.60000000000002
2012-12-03,378.3,376.1,376.1,90.59999999999997,112.0
2013-01-02,404.9,402.9,402.9,81.80000000000001,103.20000000000005
2013-02-01,415.9,413.8,413.8,40.0,61.10000000000008
2013-03-01,405.4,403.4,403.4,92.70000000000005,113.70000000000016
2013-04-01,408.6,406.7,406.7,95.40000000000003,116.50000000000011
2013-05-01,409.3,407.4,407.4,92.70000000000005,113.90000000000009
2013-06-03,426.1,424.4,424.4,95.89999999999998,117.39999999999998
2013-07-01,407.4,405.5,405.5,120.0,142.10000000000002
2013-08-01,430.5,428.6,428.6,85.29999999999995,107.5
2013-09-03,428.8,426.8,426.8,104.80000000000001,127.10000000000002
2013-10-01,445.1,443.1,443.1,68.29999999999995,90.80000000000001
2013-11-01,460.5,458.5,458.5,48.69999999999999,71.5
2013-12-02,466.7,464.7,464.7,49.099999999999966,71.79999999999995
2014-01-02,484.7,482.9,482.9,32.200000000000045,55.0
2014-02-03,453.8,451.9,451.9,56.900000000000034,79.79999999999995
2014-03-03,496.1,494.1,494.1,53.60000000000002,76.69999999999993
2014-04-01,502.1,500.1,500.1,15.600000000000023,38.69999999999993
2014-05-01,500.1,498.1,498.1,43.0,66.0
2014-06-02,520.3,517.8,517.8,16.5,38.80000000000007
2014-07-01,525.5,523.5,523.5,-9.200000000000045,13.0
2014-08-01,513.9,511.8,511.8,-30.69999999999999,-8.699999999999932
2014-09-02,531.6,529.4,529.4,-85.29999999999995,-63.49999999999994
2014-10-01,511.4,509.1,509.1,-83.5,-61.7999999999999
2014-11-03,507.2,505.3,505.3,-24.30000000000001,-2.4999999999998863
2014-12-01,513.8,511.9,511.9,-26.299999999999955,-4.4999999999998295
2015-01-02,515.1,513.1,513.1,-61.10000000000002,-39.59999999999985
2015-02-02,508.8,506.6,506.6,-94.90000000000003,-73.89999999999986
2015-03-02,547.7,545.7,545.7,-92.30000000000007,-71.39999999999992
2015-04-01,515.7,513.8,513.8,-37.39999999999998,-16.299999999999955
2015-05-01,541.1,539.3,539.3,-40.099999999999966,-19.000000000000057
2015-06-01,534.3,532.4,532.4,-35.299999999999955,-14.300000000000011
2015-07-01,514.3,512.4,512.4,-22.69999999999999,-1.6999999999999886
2015-08-03,481.1,479.1,479.1,31.899999999999977,52.799999999999955
2015-09-01,444.1,441.9,441.9,72.80000000000007,93.30000000000001
2015-10-01,425.6,423.6,423.6,80.79999999999995,101.09999999999997
2015-11-02,481.0,479.1,479.1,11.699999999999989,31.600000000000023
2015-12-01,485.6,483.9,483.9,43.39999999999998,63.799999999999955
2016-01-04,452.0,450.3,450.3,79.59999999999997,99.69999999999993
2016-02-01,411.7,409.8,409.8,143.40000000000003,162.70000000000005
2016-03-01,453.4,451.3,451.3,111.99999999999994,130.50000000000006
2016-04-01,476.4,474.6,474.6,77.79999999999995,95.70000000000005
2016-05-02,499.2,497.4,497.4,64.30000000000007,81.10000000000008
2016-06-01,497.1,495.2,495.2,71.90000000000003,87.60000000000008
2016-07-01,489.7,487.8,487.8,87.69999999999999,102.2000000000001
2016-08-01,511.0,509.2,509.2,69.09999999999997,82.40000000000009
