trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-06-01,551.5,514.75,536.0,119.75,235.75
2012-07-02,652.25,655.75,618.75,-87.25,41.0
2012-08-01,800.5,800.5,686.5,-199.0,-117.5
2012-09-04,805.0,807.75,657.0,-181.75,-113.75
2012-10-01,756.75,760.0,631.25,-192.25,-111.75
2012-11-01,751.0,753.5,639.5,-212.25,-127.25
2012-12-03,754.75,754.25,647.5,-223.0,-141.5
2013-01-02,690.75,693.5,602.0,-181.5,-90.5
2013-02-01,736.0,737.75,602.5,-166.75,-126.25
2013-03-01,708.5,687.0,574.0,-103.5,-68.25
2013-04-01,642.25,626.75,552.5,-45.0,9.25
2013-05-01,646.75,573.0,576.0,-69.0,-16.25
2013-06-03,655.75,588.75,582.75,-117.25,-136.0
2013-07-01,531.5,501.25,527.25,-111.25,-122.0
2013-08-01,487.5,467.0,494.5,-142.0,-178.5
2013-09-03,475.25,488.0,511.5,-147.75,-185.25
2013-10-01,439.0,451.75,480.0,-158.75,-191.5
2013-11-01,427.25,437.5,466.75,-93.25,-127.5
2013-12-02,424.5,433.0,465.25,-75.5,-110.75
2014-01-02,420.5,429.0,459.0,-63.25,-100.75
2014-02-03,435.75,441.75,462.0,-92.25,-142.25
2014-03-03,470.5,474.75,490.5,-102.5,-160.75
2014-04-01,507.5,512.5,517.0,-135.25,-208.0
2014-05-01,507.0,502.5,519.0,-156.0,-229.5
2014-06-02,465.5,459.25,479.75,-127.5,-210.0
2014-07-01,416.0,422.75,447.75,-25.25,-102.5
2014-08-01,352.5,362.25,398.0,-31.5,-97.5
2014-09-02,363.75,376.5,405.75,-36.75,-106.5
2014-10-01,321.25,334.0,367.75,21.0,-42.75
2014-11-03,373.5,386.0,415.0,-38.5,-105.5
2014-12-01,389.75,398.25,427.0,-53.25,-120.75
2015-01-02,395.75,404.5,427.75,-76.25,-146.0
2015-02-02,369.75,377.75,409.0,-37.75,-97.5
2015-03-02,388.0,396.25,428.75,-73.0,-127.75
2015-04-01,381.75,390.0,423.25,-69.25,-119.5
2015-05-01,363.0,369.75,406.25,-14.5,-58.5
2015-06-01,352.25,358.25,392.25,21.5,-19.5
2015-07-01,422.5,431.75,435.75,-75.75,-138.75
2015-08-03,366.5,376.5,389.0,-63.25,-114.75
2015-09-01,369.0,380.25,393.25,-69.5,-117.75
2015-10-01,388.75,399.75,410.75,-64.75,-114.5
2015-11-02,376.5,385.25,402.0,-53.0,-98.0
2015-12-01,373.75,379.25,405.5,-63.0,-101.75
2016-01-04,351.5,357.5,387.0,-31.25,-68.25
2016-02-01,371.25,375.75,401.25,-33.0,-75.25
2016-03-01,355.75,360.25,387.0,-5.0,-49.0
2016-04-01,354.0,357.75,385.25,-17.5,-64.25
2016-05-02,391.75,392.25,413.5,-36.0,-96.0
2016-06-01,413.75,415.0,430.0,-59.5,-131.75
2016-07-01,360.0,367.0,406.75,-18.25,-66.75
2016-08-01,325.75,334.25,392.0,-29.5,-62.25
