trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-04-01,377.5,375.9,375.9,-0.7999999999999545,16.800000000000125
2011-05-02,385.1,383.5,383.5,-13.5,4.300000000000068
2011-06-01,362.4,360.8,360.8,-25.100000000000023,-7.099999999999909
2011-07-01,378.2,376.7,376.7,-25.30000000000001,-6.799999999999898
2011-08-01,343.1,341.7,341.7,12.199999999999989,30.900000000000034
2011-09-01,317.3,315.9,315.9,42.30000000000001,61.30000000000001
2011-10-03,282.3,280.5,280.5,85.0,104.0
2011-11-01,323.4,321.5,321.5,48.39999999999998,67.60000000000002
2011-12-01,336.3,334.4,334.4,31.600000000000023,51.0
2012-01-03,343.8,342.3,342.3,44.5,64.5
2012-02-01,364.6,363.1,363.1,40.69999999999999,61.0
2012-03-01,371.9,370.4,370.4,36.900000000000034,57.50000000000006
2012-04-02,375.1,373.3,373.3,37.89999999999998,58.5
2012-05-01,370.0,368.2,368.2,39.30000000000001,59.80000000000001
2012-06-01,335.7,333.7,333.7,101.90000000000003,122.10000000000002
2012-07-02,351.4,349.8,349.8,79.19999999999999,99.50000000000006
2012-08-01,353.9,352.2,352.2,105.5,125.60000000000008
2012-09-04,358.2,356.4,356.4,85.40000000000003,105.2000000000001
2012-10-01,365.5,363.4,363.4,102.40000000000003,121.7000000000001
2012-11-01,369.9,367.8,367.8,120.59999999999997,139.50000000000006
2012-12-03,366.0,363.9,363.9,136.40000000000003,154.7000000000001
2013-01-02,386.8,385.0,385.0,129.5,147.60000000000008
2013-02-01,403.8,402.0,402.0,83.10000000000002,101.10000000000014
2013-03-01,407.3,405.5,405.5,109.79999999999995,127.80000000000007
2013-04-01,411.2,409.5,409.5,116.0,134.2000000000001
2013-05-01,407.5,405.8,405.8,121.40000000000003,139.90000000000015
2013-06-03,435.6,433.9,433.9,107.20000000000005,126.00000000000011
2013-07-01,429.0,427.5,427.5,115.0,134.10000000000014
2013-08-01,457.7,456.2,456.2,60.00000000000006,79.50000000000017
2013-09-03,441.8,440.2,440.2,99.40000000000003,119.40000000000015
2013-10-01,465.8,464.1,464.1,56.19999999999993,76.60000000000008
2013-11-01,488.4,486.9,486.9,62.60000000000002,83.90000000000015
2013-12-02,500.3,498.7,498.7,61.69999999999999,83.60000000000014
2014-01-02,514.5,512.8,512.8,51.40000000000009,73.70000000000022
2014-02-03,485.1,483.3,483.3,68.59999999999997,91.2000000000001
2014-03-03,515.3,513.4,513.4,64.60000000000002,87.50000000000011
2014-04-01,525.5,523.5,523.5,28.600000000000023,51.70000000000016
2014-05-01,527.2,525.2,525.2,36.0,59.400000000000205
2014-06-02,541.1,539.3,539.3,19.100000000000023,42.80000000000018
2014-07-01,542.5,540.6,540.6,0.2999999999999545,24.40000000000009
2014-08-01,516.2,514.1,514.1,24.100000000000023,48.40000000000009
2014-09-02,539.6,537.5,537.5,-39.0,-14.399999999999864
2014-10-01,520.3,517.9,517.9,-22.299999999999955,2.5000000000002274
2014-11-03,549.5,547.3,547.3,-0.1999999999999318,24.80000000000024
2014-12-01,560.4,558.3,558.3,-10.099999999999909,15.200000000000216
2015-01-02,564.2,562.1,562.1,-41.10000000000002,-15.699999999999875
2015-02-02,551.9,549.7,549.7,-52.80000000000007,-27.49999999999983
2015-03-02,578.0,575.8,575.8,-46.59999999999991,-21.299999999999727
2015-04-01,552.1,549.8,549.8,4.7000000000000455,30.10000000000025
2015-05-01,561.2,559.1,559.1,3.2999999999999545,28.800000000000182
2015-06-01,558.4,556.1,556.1,1.3999999999999773,26.900000000000205
2015-07-01,540.9,538.6,538.6,22.199999999999932,47.70000000000016
2015-08-03,538.2,535.8,535.8,42.30000000000007,67.70000000000016
2015-09-01,498.5,495.9,495.9,88.30000000000007,113.4000000000002
2015-10-01,495.6,493.2,493.2,89.00000000000006,113.9000000000002
2015-11-02,547.1,544.7,544.7,20.299999999999955,44.800000000000125
2015-12-01,548.2,546.0,546.0,80.5,104.80000000000013
2016-01-04,521.0,518.9,518.9,106.80000000000007,130.6000000000002
2016-02-01,496.9,494.7,494.7,137.40000000000003,160.70000000000022
2016-03-01,529.2,526.8,526.8,141.5,164.10000000000014
2016-04-01,554.5,552.3,552.3,97.0,118.70000000000005
2016-05-02,562.4,560.1,560.1,100.5,121.10000000000002
2016-06-01,557.5,555.2,555.2,123.29999999999995,142.80000000000007
2016-07-01,560.8,558.5,558.5,127.60000000000002,146.00000000000023
2016-08-01,578.1,575.8,575.8,105.10000000000002,122.10000000000014
