trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-06-01,1344.25,1318.5,1234.75,297.75,392.0
2012-07-02,1494.25,1462.5,1355.5,80.75,194.25
2012-08-01,1638.75,1629.0,1337.0,-102.75,-44.0
2012-09-04,1768.25,1766.25,1382.0,4.75,11.0
2012-10-01,1560.25,1563.0,1329.25,-61.25,100.0
2012-11-01,1560.0,1533.5,1354.75,-103.25,84.5
2012-12-03,1453.75,1448.25,1322.25,-1.0,248.5
2013-01-02,1392.25,1384.25,1307.0,-37.0,268.5
2013-02-01,1474.25,1465.5,1338.25,-45.5,214.0
2013-03-01,1443.5,1427.25,1266.25,143.0,367.0
2013-04-01,1390.75,1372.25,1262.75,221.75,506.5
2013-05-01,1373.0,1319.25,1234.25,226.75,509.5
2013-06-03,1532.5,1458.25,1333.25,167.25,397.0
2013-07-01,1436.25,1296.25,1246.25,81.5,319.75
2013-08-01,1234.25,1192.5,1181.5,-108.0,271.5
2013-09-03,1386.75,1385.0,1212.75,-180.75,50.75
2013-10-01,1268.0,1270.0,1149.5,-232.75,44.75
2013-11-01,1251.5,1237.0,1151.25,-121.5,168.0
2013-12-02,1321.25,1306.0,1154.75,-137.75,67.0
2014-01-02,1270.0,1257.25,1138.5,-131.0,86.5
2014-02-03,1292.75,1278.25,1118.0,-158.5,-4.25
2014-03-03,1409.25,1381.5,1178.0,-164.25,-87.75
2014-04-01,1484.5,1457.25,1217.0,-227.25,-218.75
2014-05-01,1461.0,1399.75,1241.25,-276.5,-252.25
2014-06-02,1500.5,1427.0,1243.75,-317.75,-386.0
2014-07-01,1327.75,1183.75,1173.25,-132.5,-159.0
2014-08-01,1073.5,1058.5,1073.0,-128.0,-136.5
2014-09-02,1032.0,1039.75,1041.75,-167.75,-171.5
2014-10-01,916.75,925.0,942.25,-65.0,-50.0
2014-11-03,1029.75,1033.75,1020.25,-141.5,-156.75
2014-12-01,1017.0,1024.0,1003.0,-113.75,-132.25
2015-01-02,1007.5,1014.75,1002.5,-146.5,-151.25
2015-02-02,959.5,966.25,955.75,-75.0,-76.0
2015-03-02,1013.75,1017.75,995.25,-137.25,-147.75
2015-04-01,989.75,994.5,981.75,-63.5,-65.25
2015-05-01,964.75,959.0,958.25,85.5,82.25
2015-06-01,926.0,913.0,922.5,177.25,171.0
2015-07-01,1040.75,1032.75,1002.0,162.25,112.0
2015-08-03,945.0,935.5,915.25,66.0,32.25
2015-09-01,874.0,878.75,870.25,73.5,76.0
2015-10-01,877.25,880.75,883.5,89.5,103.25
2015-11-02,878.75,881.5,887.75,105.5,120.5
2015-12-01,889.25,891.5,912.0,117.75,142.5
2016-01-04,856.0,860.75,882.25,112.75,134.0
2016-02-01,880.75,882.25,896.0,140.75,147.25
2016-03-01,858.0,863.75,880.75,171.0,176.5
2016-04-01,918.25,926.0,938.25,0.0,0.25
2016-05-02,1043.75,1044.0,1009.75,-39.5,-96.5
2016-06-01,1099.75,1095.5,1032.25,-120.0,-211.5
2016-07-01,1164.25,1148.75,947.0,23.0,-225.5
2016-08-01,981.25,961.5,899.0,65.25,-67.25
