trade_date,spot,f2m,f1y,ret1yl,roll1y
1999-03-01,0.465,0.458,0.428,0.1345,0.18279999999999968
1999-04-01,0.573,0.5670000000000001,0.5,0.07100000000000006,0.08079999999999987
1999-05-03,0.586,0.5760000000000001,0.508,0.04049999999999998,0.04379999999999995
1999-06-01,0.564,0.555,0.4920000000000001,0.05399999999999994,0.05830000000000013
1999-07-01,0.5595,0.551,0.4855,0.064,0.06180000000000019
1999-08-02,0.5420001,0.5345,0.466,0.08649999999999997,0.0787998000000002
1999-09-01,0.5135,0.5065,0.4320000000000001,0.11269999999999986,0.09649980000000025
1999-10-01,0.52,0.5100001000000001,0.439,0.09700000000000003,0.07899980000000018
1999-11-01,0.5112,0.5054,0.4453,0.07270000000000004,0.06379990000000024
1999-12-01,0.52,0.5155,0.458,0.04549999999999993,0.038199900000000175
2000-01-03,0.544,0.539,0.4895,0.021999999999999964,0.02119990000000005
2000-02-01,0.5539999999999999,0.5489999999999999,0.501,0.006330000000000058,0.005029900000000254
2000-03-01,0.5625,0.5579999999999999,0.512,-0.054300000000000015,-0.05077009999999982
2000-04-03,0.5710000000000001,0.5665,0.529,-0.08000000000000002,-0.06807009999999991
2000-05-01,0.5485,0.5435,0.503,-0.08679999999999999,-0.07837009999999989
2000-06-01,0.546,0.5415,0.5025,-0.06863999999999992,-0.05811009999999994
2000-07-03,0.5495,0.5445001,0.508,-0.11599999999999999,-0.09871009999999991
2000-08-01,0.5525,0.5479999999999999,0.514,-0.1285,-0.10700999999999983
2000-09-01,0.5447,0.54,0.508,-0.14140000000000003,-0.11660999999999988
2000-10-02,0.536,0.532,0.4975,-0.128,-0.10520999999999986
2000-11-01,0.518,0.5145,0.4815,-0.07989999999999997,-0.05440999999999985
2000-12-01,0.5035,0.5,0.467,-0.040600000000000025,-0.012809999999999822
2001-01-02,0.5115,0.5085,0.477,-0.06348999999999999,-0.031599999999999795
2001-02-01,0.5073300000000001,0.5,0.467,-0.04650000000000004,-0.019629999999999925
2001-04-02,0.4577,0.4533,0.4199,0.007599999999999996,0.035570000000000046
2001-05-01,0.449,0.4445,0.4068,0.010800000000000032,0.03597000000000006
2001-06-01,0.4162,0.4111,0.3715,0.015900000000000025,0.039670000000000094
2001-07-02,0.43386,0.4246,0.3735,-0.02579999999999999,-0.017589999999999884
2001-08-01,0.392,0.3858,0.3398,-0.048130000000000006,-0.03451999999999994
2001-09-04,0.3855,0.3795,0.328,0.0028699999999999837,-0.023349999999999982
2001-10-01,0.3666,0.3621,0.316,-0.059250000000000025,-0.07569999999999999
2001-11-01,0.3695,0.3648,0.3135,-0.03915000000000002,-0.08575000000000005
2001-12-03,0.4016,0.3958,0.3422,-0.06720999999999999,-0.12766000000000005
2002-01-02,0.4264,0.4208,0.3671,-0.08429999999999999,-0.15326000000000006
2002-02-01,0.41351,0.4097,0.3515,-0.06788,-0.14275000000000004
2002-03-01,0.4205,0.4146,0.3639,-0.08324999999999999,-0.15390000000000004
2002-04-01,0.4275,0.4215,0.3756,-0.07737,-0.14447
2002-05-01,0.4176,0.412,0.3633,-0.017259999999999998,-0.09162999999999999
2002-06-03,0.3874,0.3822,0.3391,-0.0019000000000000128,-0.06613000000000002
2002-07-01,0.3477,0.3412,0.297,0.05119000000000001,-0.01264000000000004
2002-08-01,0.29167,0.32,0.2925,0.04471000000000003,0.028700000000000003
2002-09-03,0.33087,0.322,0.2734,0.06370000000000003,0.03053
2002-10-01,0.25675,0.277,0.223,0.11906999999999998,0.10595000000000004
2002-11-01,0.27435,0.2801,0.2488,0.10132,0.1198200000000001
2002-12-02,0.27499,0.2778,0.2425,0.09655000000000002,0.1173800000000001
2003-01-02,0.2828,0.2804,0.2447,0.09640000000000001,0.1152800000000001
2003-02-03,0.28362,0.281,0.2403,0.09972999999999999,0.11279000000000011
2003-03-03,0.28065,0.2759,0.2369,0.10629,0.11963000000000013
2003-04-01,0.29823,0.2971,0.2589,0.08490999999999999,0.09991000000000011
2003-05-01,0.34604,0.3363,0.2943,0.04529,0.04806000000000005
2003-06-02,0.3372,0.3292,0.2943,0.025280000000000025,0.03424000000000005
2003-07-01,0.34819,0.3454,0.313,0.008799999999999975,0.023350000000000037
2003-08-01,0.33721,0.3244,0.2944,0.03598000000000001,0.04032000000000002
2003-09-02,0.3371,0.3319,0.3054,0.03544999999999998,0.04387000000000002
2003-10-01,0.34207,0.3389,0.3164,0.033420000000000005,0.04612000000000005
2003-11-03,0.35012,0.3466,0.3238,0.026280000000000026,0.03658000000000006
2003-12-01,0.33905,0.3382,0.3163,0.049909999999999954,0.06374000000000002
2004-01-02,0.3411,0.3393,0.3213,0.04830000000000001,0.06573999999999997
2004-02-02,0.34003,0.3367,0.3145,0.06647999999999998,0.07998999999999995
2004-03-01,0.34319,0.3412,0.3192,0.06616,0.07895999999999992
2004-04-01,0.34381,0.3425,0.3165,0.05857000000000001,0.07381999999999994
2004-05-03,0.33959,0.3325,0.3083,0.08675,0.09977999999999987
2004-06-01,0.31958000000000003,0.3137,0.2786,0.1374100000000001,0.13540999999999997
2004-07-01,0.3218,0.3216,0.2851,0.1403600000000001,0.14717000000000008
2004-08-02,0.33038,0.3246,0.2844,0.13392000000000004,0.1357100000000001
2004-09-01,0.34085,0.3374,0.2976,0.12547000000000003,0.1263300000000001
2004-10-01,0.34982,0.3484,0.3085,0.13540000000000002,0.14011000000000007
2004-11-01,0.35008,0.3466,0.3068,0.13419999999999999,0.14023000000000008
2004-12-01,0.36621,0.3647,0.3243,0.12160000000000004,0.13612000000000013
2005-01-03,0.3696,0.366,0.33,0.0952,0.11522000000000021
2005-02-01,0.38098,0.3799,0.3403,0.10649999999999998,0.12524000000000018
2005-03-01,0.38536,0.3776,0.338,0.13029999999999997,0.14488000000000023
2005-04-01,0.37507,0.3720000000000001,0.3306,0.13440000000000002,0.14771000000000023
2005-05-02,0.39505,0.3933,0.3537,0.12169999999999997,0.13866000000000034
2005-06-01,0.4160100000000001,0.4056,0.366,0.0731,0.08365000000000022
2005-07-01,0.4254600000000001,0.421,0.3792,0.0806,0.08849000000000012
2005-08-01,0.41832,0.4162,0.3758,0.07699999999999996,0.08817000000000008
2005-09-01,0.42307,0.4177,0.3769,0.0877,0.09710000000000013
2005-10-03,0.4439,0.4392,0.4016,0.059199999999999975,0.07000000000000012
2005-11-01,0.441,0.4304,0.3924,0.07149999999999995,0.0742000000000001
2005-12-01,0.4459,0.4412,0.4028,0.05630000000000002,0.05680000000000007
2006-01-03,0.4252,0.4218,0.383,0.08450000000000002,0.08410000000000006
2006-02-01,0.4468,0.4432,0.404,0.07049999999999995,0.06900000000000006
2006-03-01,0.4683,0.4647,0.4251,0.04530000000000001,0.042700000000000016
2006-04-03,0.465,0.4614,0.4214,0.0655,0.061799999999999966
2006-05-01,0.4754,0.4714,0.4314,0.058499999999999996,0.05369999999999997
2006-06-01,0.4391,0.4351,0.3951,0.12980009999999997,0.12390009999999996
2006-07-03,0.4598,0.4558,0.4158,0.10449999999999998,0.09750009999999992
2006-08-01,0.4528,0.4488,0.4088,0.11820000000000003,0.10950009999999993
2006-09-01,0.4646,0.4617,0.4327,0.0796,0.08090009999999986
2006-10-02,0.4608,0.4579,0.4289,0.12169999999999997,0.12210009999999988
2006-11-01,0.4639,0.461,0.4320000000000001,0.13829999999999992,0.1381000999999999
2006-12-01,0.4591,0.4562,0.4272,0.12880009999999997,0.12780009999999992
2007-01-02,0.4675,0.4646,0.4356,0.12919999999999998,0.12730009999999992
2007-02-01,0.4745,0.4716,0.4426,0.12570000000000003,0.12320009999999998
2007-03-01,0.4704,0.4675,0.4385,0.15539999999999998,0.1528001
2007-04-02,0.4869,0.484,0.455,0.11489999999999995,0.11200009999999994
2007-05-01,0.4899,0.487,0.458,0.13909999999999995,0.1366000999999999
2007-06-01,0.5249001,0.522,0.493,0.11560000000000004,0.11469999999999991
2007-07-02,0.5203,0.518,0.5022,0.11580000000000001,0.1308999999999999
2007-08-01,0.527,0.5251,0.5083,0.12870000000000004,0.14549999999999996
2007-09-04,0.5123,0.5103,0.4939,0.10340000000000005,0.11960000000000004
2007-10-01,0.5506,0.5483,0.5282,-0.011399999999999966,0.0033999000000000112
2007-11-01,0.5703,0.5682001,0.5429999999999999,-0.08299999999999991,-0.07240010000000002
2007-12-03,0.5560001,0.5539999999999999,0.5314,-0.10880000000000001,-0.08810010000000007
2008-01-02,0.5648,0.5625,0.532,-0.10190000000000005,-0.08400010000000013
2008-02-01,0.5683,0.5655,0.5304,-0.10249999999999998,-0.08580010000000016
2008-03-03,0.5939,0.5913,0.5573,-0.1501,-0.13080010000000014
2008-04-01,0.5699,0.5666,0.5276,-0.09189999999999998,-0.0773001000000001
2008-05-01,0.5971,0.5926,0.5493,-0.09079999999999999,-0.08190010000000003
2008-06-02,0.6086,0.6035,0.5597,-0.049999899999999986,-0.04160000000000008
2008-07-01,0.618,0.6134,0.5684,-0.05390000000000006,-0.04700000000000004
2008-08-01,0.637,0.636,0.5875,-0.04500000000000004,-0.03750000000000009
2008-09-02,0.5973,0.5927001000000001,0.5518,-0.03025,-0.01660000000000017
2008-10-01,0.5168,0.5138,0.4837,0.0736,0.0981500999999999
2008-11-03,0.46,0.4505,0.4166,0.14784999999999998,0.1603000999999999
2008-12-01,0.4226,0.4152,0.3894,0.18825010000000003,0.20775019999999994
2009-01-02,0.4301,0.4239,0.4003,0.17805000000000004,0.19720020000000005
2009-02-02,0.4279,0.4238,0.3953,0.1402,0.15450019999999998
2009-03-02,0.4072,0.4036,0.3801,0.17169999999999996,0.18760019999999994
2009-04-01,0.4357,0.4326,0.4088,0.1533501,0.1692001999999999
2009-05-01,0.4585,0.4534,0.4275,0.14825010000000005,0.16030029999999995
2009-06-01,0.5097001,0.5054,0.47535,0.06650000000000006,0.07425020000000004
2009-07-01,0.5145,0.5094,0.4846,0.06865000000000004,0.08060020000000012
2009-08-03,0.5425,0.53935,0.5039,0.06384999999999996,0.0657002000000001
2009-09-01,0.52155,0.51845,0.48985,0.07945000000000002,0.0890002000000002
2009-10-01,0.5573,0.5561,0.52225,0.07010000000000005,0.0769002000000002
2009-11-02,0.56445,0.5581,0.5229,0.059799999999999964,0.0627502000000002
2009-12-01,0.5776501,0.574,0.5385,0.043950000000000045,0.04690010000000022
2010-01-04,0.57835,0.5742,0.53685,0.06679999999999997,0.06750000000000012
2010-02-01,0.5355,0.5353,0.5018,0.09534999999999993,0.10385000000000011
2010-03-01,0.5518,0.5484501,0.5114501,0.08749989999999996,0.09350000000000014
2010-04-01,0.5621501,0.55875,0.51735,0.09663999999999995,0.09899000000000013
2010-05-03,0.5757501,0.5716,0.5273,0.10831000000000002,0.10219980000000006
2010-06-01,0.54185,0.5378,0.50245,0.13050010000000012,0.13089990000000007
2010-07-01,0.55325,0.54955,0.5098,0.12829999999999997,0.12684989999999996
2010-08-02,0.56775,0.5638,0.52495,0.11165000000000003,0.11194990000000005
2010-09-01,0.5693,0.5656,0.52835,0.09060010000000007,0.09260000000000002
2010-10-01,0.59235,0.5885,0.55,-0.024099900000000063,-0.024699900000000108
2010-11-01,0.5827,0.57875,0.5421,0.029299999999999993,0.029350099999999935
2010-12-01,0.58245,0.5787001,0.53995,0.008000000000000007,0.005600099999999997
2011-01-03,0.60365,0.5995,0.56125,-0.019100000000000006,-0.02284989999999998
2011-02-01,0.59715,0.5928,0.54495,0.028200000000000003,0.01365010000000011
2011-03-01,0.59895,0.5948,0.55205,0.027449999999999974,0.017000000000000126
2011-04-01,0.6139899999999999,0.6154001,0.57095,-0.027999999999999914,-0.03523999999999983
2011-05-02,0.63561,0.634,0.59395,-0.07169999999999999,-0.07294989999999979
2011-06-01,0.6329501000000001,0.6267,0.58455,-0.09534999999999999,-0.10199999999999981
2011-07-01,0.6381,0.6333,0.5869001,-0.08675010000000005,-0.09949999999999981
2011-08-01,0.6366,0.6328,0.58865,-0.10215000000000002,-0.11389999999999989
2011-09-01,0.6189501000000001,0.61645,0.5894001,-0.10120009999999996,-0.09635009999999988
2011-10-03,0.5259001,0.52315,0.4954,-0.00385000000000002,-0.0002501999999998117
2011-11-01,0.5714,0.568,0.5378,-0.04699999999999993,-0.04815019999999981
2011-12-01,0.54795,0.5456501,0.5225,-0.052749999999999964,-0.0473501999999999
2012-01-03,0.54215,0.539,0.51005,-0.022899999999999976,-0.02430009999999988
2012-02-01,0.57315,0.5700001,0.53885,-0.037250000000000005,-0.042450099999999824
2012-03-01,0.5795,0.5760000000000001,0.5441501,-0.0408501,-0.048099999999999865
2012-04-02,0.54295,0.53975,0.50845,-0.015199999999999936,-0.023149999999999782
2012-05-01,0.52225,0.5193,0.48805,0.009700000000000042,0.0006000000000002115
2012-06-01,0.4892,0.48625,0.4539,0.013499999999999956,0.0027500000000001412
2012-07-02,0.50015,0.4976,0.4782,-0.032200000000000006,-0.029699999999999838
2012-08-01,0.4865,0.4845,0.4654,-0.03384999999999999,-0.030149999999999844
2012-09-04,0.4882,0.486,0.46685,-0.046499999999999986,-0.04239999999999988
2012-10-01,0.49155,0.49045,0.46785,-0.02124999999999999,-0.018699999999999883
2012-11-01,0.4908,0.489,0.46605,-0.025800000000000045,-0.02239999999999992
2012-12-03,0.46975,0.4676,0.4472,-0.025849999999999984,-0.019049999999999956
2013-01-02,0.48715,0.4856,0.46255,-0.04810000000000003,-0.04225000000000001
2013-02-01,0.5016,0.49945,0.4765,-0.06864999999999999,-0.06170000000000009
2013-03-01,0.5033,0.50135,0.47665,-0.053300000000000014,-0.04725000000000007
2013-04-01,0.49325,0.4915,0.4659,-0.027650000000000008,-0.02105000000000018
2013-05-01,0.49775,0.49535,0.46605,-0.021650000000000003,-0.01765000000000022
2013-06-03,0.4674,0.46455,0.43635,0.0012999999999999678,0.007349999999999801
2013-07-01,0.446,0.4431,0.4129,0.037150000000000016,0.04224999999999984
2013-08-01,0.43155,0.4289,0.39925,0.03949999999999998,0.04624999999999985
2013-09-03,0.42035,0.41735,0.3875,0.054649999999999976,0.06169999999999981
2013-10-01,0.4466,0.4436,0.41045,-0.011649999999999994,-0.007100000000000217
2013-11-01,0.44025,0.43725,0.40405,-0.007099999999999995,-0.0025500000000001632
2013-12-02,0.42135,0.4181,0.3864,0.0015999999999999903,0.007699999999999874
