trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-06-02,890.25,891.5,889.25,-299.5,-304.5
2014-07-01,914.0,918.0,916.25,-344.0,-345.5
2014-08-01,883.5,885.75,892.75,-418.5,-411.25
2014-09-01,863.5,867.0,882.25,-400.5,-384.25
2014-10-01,808.25,811.25,849.75,-384.0,-346.75
2014-11-03,746.5,745.75,780.0,-326.5,-297.75
2014-12-01,646.75,643.75,682.5,-279.75,-254.0
2015-01-02,519.25,527.25,583.5,-255.5,-210.75
2015-02-02,512.25,510.75,561.25,-262.5,-233.5
2015-03-02,584.5,574.0,611.75,-288.75,-291.75
2015-04-01,533.75,531.5,574.75,-239.0,-244.25
2015-05-01,599.75,599.75,624.75,-214.5,-241.5
2015-06-01,589.75,590.75,613.5,-169.75,-199.25
2015-07-01,572.25,574.5,602.5,-168.0,-190.5
2015-08-03,474.25,477.0,521.75,-164.5,-172.0
2015-09-01,481.75,487.0,525.25,-123.25,-138.75
2015-10-01,465.75,469.25,508.75,-60.5,-76.0
2015-11-02,453.5,458.0,509.5,-72.75,-73.0
2015-12-01,402.75,409.25,467.0,6.5,18.25
2016-01-04,328.0,336.5,407.5,86.25,116.25
2016-02-01,298.75,307.5,373.75,124.5,153.75
2016-03-01,323.0,328.5,386.25,110.5,133.25
2016-04-01,335.75,339.25,394.0,76.5,97.25
2016-05-02,410.25,411.5,448.0,0.0,2.5
2016-06-01,443.75,444.25,468.75,-18.5,-29.25
2016-07-01,434.5,439.0,476.5,-27.5,-20.75
2016-08-01,357.25,364.0,519.0,-35.25,96.0
