trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-06-01,2.6279,2.6364,2.7206,0.11280000000000001,0.15520000000000023
2012-07-02,2.6759,2.6769,2.7103,0.1633,0.1488000000000005
2012-08-01,2.8588,2.8663,2.8699,0.22670000000000012,0.18450000000000033
2012-09-03,3.2015,3.1996,3.0914,0.044099999999999806,-0.11329999999999973
2012-10-01,3.1358,3.1238,2.9888,-0.033500000000000085,-0.2277
2012-11-01,3.0332,3.0321,2.9698,-0.08760000000000012,-0.20689999999999964
2012-12-03,3.0562,3.0645,3.0111,0.039000000000000146,-0.06729999999999992
2013-01-02,3.0463,3.035,2.9877,-0.0009999999999998899,-0.10990000000000011
2013-02-01,3.1606,3.1447,3.0823,-0.0748000000000002,-0.20130000000000026
2013-03-01,2.9301,3.0106,2.92,0.16049999999999986,0.15839999999999943
2013-04-01,3.0687,3.0575,2.9919,-0.10409999999999986,-0.05760000000000076
2013-05-01,2.7889,2.7868,2.7826,0.13140000000000018,0.24439999999999973
2013-06-03,2.8334,2.8405,2.844,0.03330000000000011,0.1646999999999994
2013-07-01,2.8736,2.879,2.8334,0.14480000000000004,0.22589999999999932
2013-08-01,3.0966,3.0981,2.9706,-0.10450000000000026,-0.11590000000000078
2013-09-02,3.1355,3.1335,2.9657,-0.11689999999999978,-0.17960000000000065
2013-10-01,2.9553,2.952,2.8705,-0.21489999999999965,-0.20130000000000026
2013-11-01,2.8822,2.8864,2.8473,-0.35740000000000016,-0.3017000000000003
2013-12-02,3.0501,3.0475,2.9726,-0.7601999999999998,-0.7377000000000002
2014-01-02,2.9867,2.9733,2.8914,-1.0957,-1.0803000000000003
2014-02-03,3.0075,2.9354,2.8361,-1.0786,-1.1401
2014-03-03,3.0805,3.0457,2.9212,-1.0338999999999998,-1.1323999999999996
2014-04-01,2.8878,2.8806,2.8154,-1.0685,-1.0849999999999995
2014-05-01,2.914,2.9104,2.8415,-0.8593,-0.8924999999999998
2014-06-02,2.8773,2.8839,2.84,-0.9136,-0.9209999999999998
2014-07-01,2.9782,2.9903,2.9334,-1.0940999999999999,-1.1109
2014-08-01,2.8661,2.8751,2.853,-1.3225000000000002,-1.3108
2014-09-01,2.8488,2.8555,2.8252,-1.2473,-1.2547
2014-10-01,2.6556,2.6601,2.6995,-1.1797,-1.1314
2014-11-03,2.4899,2.4847,2.5197,-1.0128,-0.9955
2014-12-01,2.2124,2.1991,2.2686,-0.8996000000000002,-0.8877000000000002
2015-01-02,1.7957,1.7831,1.9225,-0.7961,-0.7538
2015-02-02,1.7575,1.7345,1.8888,-0.8523000000000001,-0.8407000000000002
2015-03-02,1.8873,1.8574,1.9737,-0.8742000000000001,-0.9448000000000003
2015-04-01,1.7469,1.7563,1.8888,-0.7571000000000001,-0.8215000000000003
2015-05-01,1.9822,1.988,2.0512,-0.6957000000000002,-0.8412000000000004
2015-06-01,1.9264,1.9349,2.0047,-0.5058000000000002,-0.6455000000000004
2015-07-01,1.8393,1.8546,1.9387,-0.4272,-0.5458000000000003
2015-08-03,1.5305,1.5481,1.6826,-0.4247000000000001,-0.49480000000000013
2015-09-01,1.5779,1.5964,1.7025,-0.3206,-0.42640000000000033
2015-10-01,1.5198,1.5412,1.6587,-0.10550000000000015,-0.19660000000000033
2015-11-02,1.5069,1.5335,1.6931,-0.17620000000000013,-0.2092000000000005
2015-12-01,1.369,1.3959,1.5919,0.05599999999999983,0.07249999999999956
2016-01-04,1.1264,1.149,1.3822,0.2945,0.3586999999999996
2016-02-01,1.0365,1.0508,1.2595,0.4145000000000001,0.4542999999999997
2016-03-01,1.0995,1.1189,1.3133,0.3108000000000002,0.34999999999999987
2016-04-01,1.1317,1.1493,1.3172,0.24619999999999997,0.2659999999999998
2016-05-02,1.3555,1.3648,1.4762,0.011600000000000055,-0.022900000000000142
2016-06-01,1.4989,1.5074,1.5784,-0.07669999999999999,-0.15070000000000006
2016-07-01,1.5115,1.531,1.8043,-0.2915000000000001,-0.15270000000000006
2016-08-01,1.2579,1.2837,1.6293,0.01200000000000001,0.2417999999999998
