trade_date,spot,f2m,f1y,ret1yl,roll1y
2008-12-05,72.3,68.15,67.75,13.599999999999994,15.47999999999999
2009-01-02,74.35,74.25,75.45,17.0,20.78
2009-02-02,77.25,73.75,68.85,24.0,17.679999999999993
2009-03-02,62.65,59.85,60.0,36.900000000000006,34.13
2009-04-01,62.0,61.75,70.0,26.349999999999994,34.03
2009-05-01,62.4,63.1,71.5,38.0,47.03000000000001
2009-06-01,71.4,72.4,79.2,19.849999999999994,28.53
2009-07-01,69.4,69.25,77.8,20.35000000000001,30.88000000000001
2009-08-03,70.63,71.55,83.53,11.319999999999993,25.750000000000014
2009-09-01,67.75,67.8,72.1,22.0,28.85000000000001
2009-10-01,71.05,71.7,81.35,14.700000000000003,27.10000000000001
2009-11-02,74.15,75.35,80.5,25.150000000000006,33.750000000000014
2009-12-01,81.35,80.95,84.15,27.849999999999994,33.05000000000001
2010-01-04,92.45,92.95,94.05,43.250000000000014,46.50000000000003
2010-02-01,92.85,91.55,89.95,39.39999999999999,41.35000000000004
2010-03-01,96.9,94.3,92.8,38.10000000000001,38.75000000000003
2010-04-01,96.35,95.85,95.25,28.25,31.750000000000043
2010-05-04,109.5,109.25,108.9,15.149999999999991,18.400000000000034
2010-06-01,99.05,98.8,98.55,22.299999999999997,24.45000000000003
2010-07-01,98.15,98.6,98.85,22.60000000000001,24.25000000000003
2010-08-02,94.85,94.8,99.95,21.0,26.100000000000037
2010-09-01,94.1,94.55,97.35,25.35000000000001,27.500000000000043
2010-10-01,96.05,96.55,99.45,21.950000000000003,22.950000000000045
2010-11-01,105.65,106.7,104.65,13.0,10.05000000000004
2010-12-01,112.0,112.35,108.25,3.5999999999999943,0.05000000000003979
2011-01-04,137.3,134.6,120.5,-9.200000000000003,-25.59999999999998
2011-02-01,129.35,128.15,120.35,-3.1999999999999886,-14.499999999999972
2011-03-01,130.9,128.45,123.0,-11.75,-21.399999999999977
2011-04-01,123.5,123.75,130.55,-21.10000000000001,-17.39999999999999
2011-05-03,124.05,125.0,131.85,-30.89999999999999,-26.59999999999998
2011-06-01,120.85,122.3,128.35,-37.099999999999994,-32.79999999999997
2011-07-01,121.45,122.85,127.75,-37.849999999999994,-33.64999999999996
2011-08-01,120.95,122.0,126.9,-36.7,-31.599999999999966
2011-09-01,122.7,124.45,127.1,-35.3,-30.79999999999997
2011-10-03,121.4,121.45,120.0,-33.849999999999994,-34.49999999999997
2011-11-01,117.65,116.55,115.05,-31.64999999999999,-35.099999999999966
2011-12-01,111.85,112.0,114.7,-19.549999999999997,-20.749999999999957
2012-01-03,111.3,111.3,112.45,-17.60000000000001,-20.19999999999996
2012-02-01,117.15,115.4,113.65,-18.25,-25.749999999999957
2012-03-01,111.25,110.4,111.2,-17.150000000000006,-23.549999999999955
2012-04-02,109.45,109.85,115.05,-28.14999999999999,-28.64999999999995
2012-05-01,100.95,101.6,108.25,-21.25,-19.499999999999957
2012-06-01,91.25,91.6,98.3,-11.700000000000003,-8.899999999999963
2012-07-02,89.9,90.05,97.6,-20.64999999999999,-16.04999999999997
