trade_date,spot,f2m,f1y,ret1yl,roll1y
2010-06-01,228.9,237.0,290.1,-53.10000000000002,-189.7
2010-07-01,205.0,221.0,265.0,-21.0,-172.7
2010-08-02,214.6,220.2,269.0,-30.5,-194.79999999999998
2010-09-01,204.9,207.0,270.0,-25.0,-186.5
2010-10-01,220.0,247.3,289.0,-76.0,-239.8
2010-11-01,270.0,286.3,307.0,-86.1,-278.1
2010-12-01,251.0,271.5,309.0,-89.4,-259.6
2011-01-03,313.0,330.0,328.0,-77.0,-291.5
2011-02-01,315.7,334.5,322.0,-68.0,-286.5
2011-03-01,288.0,309.2,322.0,-51.30000000000001,-236.3
2011-04-01,297.0,319.9,323.0,-62.69999999999999,-242.90000000000003
2011-05-02,241.5,263.5,310.0,-22.5,-145.40000000000003
2011-06-01,237.0,259.0,312.0,-31.899999999999977,-122.19999999999999
2011-07-01,244.0,267.0,317.0,-42.5,-114.19999999999999
2011-08-01,238.5,252.0,319.5,-37.30000000000001,-74.39999999999998
2011-09-01,245.0,253.3,320.0,-37.80000000000001,-64.80000000000001
2011-10-03,213.0,236.5,280.4,4.400000000000034,-18.599999999999966
2011-11-01,220.9,236.4,278.6,40.39999999999998,20.10000000000005
2011-12-01,219.6,241.4,260.6,73.59999999999997,42.50000000000003
2012-01-03,251.0,263.3,282.4,95.60000000000002,70.00000000000006
2012-02-01,254.0,267.0,289.4,73.30000000000001,63.400000000000034
2012-03-01,270.7,279.1,297.4,98.0,90.10000000000002
2012-04-02,260.3,268.4,288.0,97.80000000000001,98.90000000000003
2012-05-01,287.5,283.4,305.7,33.30000000000001,34.400000000000034
2012-06-01,280.1,281.5,305.0,1.8000000000000114,1.8000000000000114
2012-07-02,274.5,270.9,296.0,-1.8000000000000114,-14.699999999999989
2012-08-01,282.2,279.6,317.5,-9.300000000000011,-14.100000000000023
2012-09-04,282.2,278.9,323.2,6.800000000000011,0.4000000000000341
2012-10-01,284.8,295.9,326.1,12.0,3.7000000000000455
2012-11-01,319.0,328.6,324.3,38.19999999999999,-4.699999999999989
2012-12-03,334.2,340.9,330.1,32.69999999999999,-15.599999999999966
2013-01-02,378.0,378.6,350.3,3.0,-68.19999999999999
2013-02-01,362.7,365.0,360.5,-11.100000000000023,-64.19999999999999
2013-03-01,395.4,395.8,374.0,-17.0,-98.39999999999998
2013-04-01,385.8,384.4,392.9,-51.89999999999998,-105.0
2013-05-01,339.0,342.7,357.8,-20.30000000000001,-70.20000000000005
2013-06-03,306.8,317.7,339.5,-28.80000000000001,-57.7000000000001
2013-07-01,294.2,296.3,328.2,5.800000000000011,-15.700000000000102
2013-08-01,308.2,312.9,363.8,-39.69999999999999,-36.50000000000006
2013-09-03,330.0,328.9,362.9,-13.199999999999989,-26.500000000000114
2013-10-01,338.1,347.8,383.0,-45.19999999999999,-44.20000000000016
2013-11-01,362.5,368.1,385.0,-59.0,-80.10000000000014
2013-12-02,362.8,368.8,379.6,-53.0,-72.7000000000001
2014-01-02,353.3,361.3,362.7,-30.69999999999999,-53.40000000000009
2014-02-03,349.4,360.8,363.4,-51.19999999999999,-56.90000000000009
2014-03-03,357.0,357.6,364.1,-64.60000000000002,-68.00000000000006
2014-04-01,341.0,348.1,359.0,-86.0,-74.70000000000005
2014-05-01,337.5,334.1,347.3,-91.0,-81.0
2014-06-02,310.7,315.5,340.7,-74.5,-50.19999999999999
2014-07-01,334.0,333.0,355.3,-67.30000000000001,-48.599999999999966
2014-08-01,324.1,322.6,347.0,-86.69999999999999,-64.09999999999997
2014-09-02,349.7,346.3,361.0,-126.0,-114.09999999999991
2014-10-01,337.8,347.2,357.0,-132.4,-104.6999999999999
2014-11-03,326.0,324.5,339.0,-90.0,-59.6999999999999
2014-12-01,326.6,328.2,337.4,-95.69999999999999,-66.19999999999993
2015-01-02,332.0,327.6,341.4,-86.99999999999997,-57.799999999999926
2015-02-02,312.2,314.4,313.8,-72.9,-54.499999999999886
2015-03-02,299.5,296.3,310.5,-58.0,-25.799999999999898
2015-04-01,273.0,273.2,287.0,13.699999999999989,45.90000000000009
2015-05-01,256.3,258.8,289.1,5.399999999999977,54.700000000000045
2015-06-01,266.2,267.9,290.9,5.600000000000023,40.90000000000009
2015-07-01,288.0,284.7,315.7,-6.399999999999977,24.000000000000057
2015-08-03,260.3,257.9,298.2,16.19999999999999,47.80000000000001
2015-09-01,235.0,223.7,269.7,39.0,56.89999999999998
2015-10-01,224.6,225.2,275.7,59.19999999999999,79.79999999999993
2015-11-02,249.0,246.1,288.4,10.600000000000023,9.899999999999892
2015-12-01,241.7,242.2,271.6,59.5,37.09999999999991
2016-01-04,254.4,253.0,272.1,43.299999999999955,-3.500000000000142
2016-02-01,240.9,238.7,271.6,66.29999999999995,17.399999999999807
2016-03-01,252.5,252.3,274.3,87.19999999999999,18.099999999999795
2016-04-01,300.7,302.6,315.1,58.89999999999998,-31.20000000000016
2016-05-02,294.5,302.9,330.7,57.60000000000002,-18.000000000000114
2016-06-01,296.5,306.1,344.5,8.699999999999989,-50.600000000000136
2016-07-01,309.3,315.0,341.2,25.80000000000001,-34.000000000000114
2016-08-01,314.4,322.5,365.7,15.199999999999989,-10.200000000000102
