trade_date,spot,f2m,f1y,ret1yl,roll1y
2008-10-01,149.15,149.15,150.65,-79.45,-83.40000000000002
2008-11-03,109.0,109.0,112.75,-37.05,-38.900000000000006
2008-12-01,79.0,78.2,86.1,-8.599999999999994,-7.450000000000003
2009-01-02,81.0,81.0,89.05,-0.3999999999999915,0.6000000000000085
2009-02-02,75.0,74.75,81.05,-1.8999999999999915,-2.9499999999999886
2009-03-02,54.9,54.35,67.6,9.150000000000006,13.900000000000013
2009-04-01,64.4,63.75,80.65,-5.150000000000006,1.7000000000000028
2009-05-01,60.5,61.75,80.15,9.0,17.700000000000003
2009-06-01,70.0,71.75,90.55,-1.7000000000000028,8.649999999999991
2009-07-01,63.6,66.5,86.55,7.700000000000003,21.949999999999996
2009-08-03,68.13,69.93,88.47,6.3799999999999955,20.26999999999999
2009-09-01,68.25,68.25,81.45,9.700000000000003,18.000000000000007
2009-10-01,71.2,71.35,88.15,8.379999999999995,20.380000000000003
2009-11-02,75.7,76.05,87.2,18.599999999999994,25.37999999999999
2009-12-01,77.5,77.8,88.6,27.85000000000001,34.929999999999986
2010-01-04,88.65,88.7,96.15,33.94999999999999,40.529999999999966
2010-02-01,79.15,79.75,88.85,30.25,41.82999999999996
2010-03-01,76.75,77.65,90.7,29.0,46.87999999999996
2010-04-01,75.5,76.4,87.5,41.099999999999994,59.32999999999996
2010-05-04,89.15,89.65,101.85,26.05000000000001,45.47999999999997
2010-06-01,88.85,89.1,95.4,26.799999999999997,40.37999999999999
2010-07-01,94.25,94.9,101.5,21.200000000000003,35.429999999999986
2010-08-02,94.85,95.1,101.7,23.89999999999999,37.679999999999986
2010-09-01,91.15,91.2,97.4,28.89999999999999,41.879999999999974
2010-10-01,96.53,96.45,101.75,18.049999999999997,28.149999999999984
2010-11-01,105.8,105.45,104.7,11.5,15.149999999999999
2010-12-01,116.45,113.65,109.65,2.4499999999999886,0.6999999999999957
2011-01-04,130.1,127.35,119.0,-9.650000000000006,-18.9
2011-02-01,119.1,117.65,118.4,-17.35000000000001,-18.9
2011-03-01,119.7,118.3,120.9,-23.950000000000003,-26.499999999999993
2011-04-01,128.6,129.0,132.15,-30.85000000000001,-33.949999999999996
2011-05-03,127.9,128.1,132.85,-43.55,-46.70000000000001
2011-06-01,122.2,122.5,128.85,-40.64999999999999,-43.75000000000002
2011-07-01,122.7,123.4,128.0,-37.95,-43.60000000000003
2011-08-01,125.6,126.05,128.8,-34.20000000000002,-42.10000000000003
2011-09-01,126.3,128.2,130.15,-37.10000000000001,-44.000000000000036
2011-10-03,119.8,119.85,121.05,-34.0,-42.45000000000005
2011-11-01,116.2,115.55,117.6,-31.75,-41.250000000000064
2011-12-01,112.1,112.5,118.85,-25.75,-31.700000000000067
2012-01-03,109.35,109.3,115.6,-25.89999999999999,-32.750000000000064
2012-02-01,101.05,102.5,113.7,-27.450000000000003,-28.750000000000064
2012-03-01,96.95,98.45,110.8,-20.849999999999994,-21.250000000000064
2012-04-02,101.3,103.15,113.4,-35.150000000000006,-34.150000000000055
2012-05-01,89.3,91.15,105.65,-22.55000000000001,-17.25000000000005
2012-06-01,88.2,89.7,97.2,-18.900000000000006,-18.950000000000053
2012-07-02,90.05,90.9,98.55,-24.849999999999994,-25.350000000000044
2012-08-01,94.6,94.7,100.4,-24.25,-28.700000000000024
2012-09-03,93.05,93.9,101.65,-25.200000000000003,-26.350000000000016
2012-10-01,87.05,88.3,100.95,-19.35000000000001,-14.850000000000016
2012-11-01,85.85,87.0,97.45,-14.350000000000009,-8.750000000000021
2012-12-03,93.1,93.9,100.6,-18.349999999999994,-13.650000000000013
2013-01-02,89.7,90.5,99.8,-19.049999999999997,-10.100000000000016
2013-02-01,86.25,88.0,97.55,-17.89999999999999,-6.20000000000001
2013-03-01,89.95,88.3,94.6,-20.299999999999997,-12.70000000000001
2013-04-02,78.25,80.05,90.95,-13.900000000000006,-0.3000000000000185
2013-05-01,83.1,82.95,90.95,-16.049999999999997,-4.350000000000016
2013-06-03,78.3,79.75,88.2,-14.0,-0.6000000000000014
2013-07-01,73.7,75.8,86.7,-13.25,4.350000000000001
2013-08-01,76.15,75.75,84.85,-8.549999999999997,6.599999999999987
2013-09-02,76.45,76.95,84.45,-7.299999999999997,6.949999999999996
2013-10-01,81.6,79.45,86.2,-13.549999999999997,-2.04999999999999
2013-11-01,83.1,81.05,84.4,-12.400000000000006,-6.299999999999976
2013-12-02,82.25,81.4,84.35,-11.199999999999989,-5.64999999999997
2014-01-02,80.75,80.0,84.75,-19.25,-11.64999999999997
2014-02-03,79.65,78.85,81.35,-23.64999999999999,-18.299999999999976
2014-03-03,74.3,74.7,80.7,-17.6,-8.84999999999998
2014-04-01,77.05,75.9,80.05,-21.349999999999994,-15.449999999999974
2014-05-01,74.9,75.1,81.8,-21.9,-12.249999999999979
2014-06-02,74.2,74.55,80.1,-22.449999999999996,-13.04999999999999
2014-07-01,73.45,73.7,79.2,-19.450000000000003,-9.399999999999999
2014-08-01,76.3,76.1,78.95,-22.550000000000004,-15.349999999999994
2014-09-01,77.15,77.0,79.35,-24.39999999999999,-17.900000000000006
2014-10-01,72.65,72.6,76.25,-25.25,-17.05000000000001
2014-11-03,72.0,71.3,72.35,-19.14999999999999,-13.250000000000014
2014-12-01,73.15,72.15,72.3,-22.599999999999994,-17.200000000000017
2015-01-02,65.5,64.7,65.2,-17.5,-11.350000000000009
2015-02-02,57.7,58.2,60.31,-16.010000000000005,-6.300000000000011
2015-03-02,63.1,62.95,62.9,-18.15,-10.350000000000009
2015-04-01,58.7,57.7,56.65,-11.799999999999997,-5.3500000000000085
2015-05-01,59.9,59.35,58.3,-12.849999999999994,-6.700000000000003
2015-06-01,57.65,57.2,56.95,-6.200000000000003,0.10000000000000142
2015-07-01,59.75,59.75,59.8,-3.3999999999999986,3.25
2015-08-03,56.4,56.45,55.6,6.149999999999999,10.899999999999999
2015-09-01,54.95,54.5,52.7,8.549999999999997,10.899999999999999
