trade_date,spot,f2m,f1y,ret1yl,roll1y
2008-10-01,132.0,132.2,133.8,-70.15,-71.82000000000002
2008-11-03,105.0,104.5,105.25,-38.2,-42.570000000000036
2008-12-01,76.25,75.0,77.4,-8.850000000000009,-13.170000000000044
2009-01-02,77.0,76.75,79.4,4.799999999999997,-0.5700000000000358
2009-02-02,71.0,70.25,71.4,13.75,6.07999999999997
2009-03-02,54.05,53.25,60.2,25.549999999999997,23.42999999999998
2009-04-01,61.4,60.4,73.0,12.0,16.079999999999977
2009-05-01,59.75,60.75,72.5,24.0,27.729999999999976
2009-06-01,60.5,62.75,80.7,10.950000000000003,23.37999999999998
2009-07-01,60.6,62.75,77.75,12.400000000000006,23.929999999999986
2009-08-03,65.63,67.55,83.95,6.5,20.749999999999993
2009-09-01,61.75,62.25,71.7,17.0,24.65
2009-10-01,63.65,65.0,78.75,10.129999999999995,23.379999999999995
2009-11-02,67.05,67.4,77.4,23.75,32.18000000000001
2009-12-01,68.55,69.6,79.75,26.950000000000003,36.530000000000015
2010-01-04,84.2,84.25,88.0,42.650000000000006,45.58000000000001
2010-02-01,85.15,84.6,84.65,36.5,38.73000000000002
2010-03-01,85.75,84.2,86.9,32.0,35.780000000000015
2010-04-01,85.0,85.5,89.7,32.95,39.08000000000003
2010-05-04,96.5,96.25,99.55,24.60000000000001,29.230000000000032
2010-06-01,91.65,91.75,93.55,25.650000000000006,28.580000000000027
2010-07-01,90.15,90.75,96.0,22.299999999999997,29.030000000000015
2010-08-02,90.45,90.6,97.2,21.39999999999999,27.980000000000004
2010-09-01,88.7,88.75,93.95,25.25,28.929999999999993
2010-10-01,88.88,90.3,96.53,17.47,20.89999999999999
2010-11-01,101.15,101.2,100.5,8.299999999999997,3.34999999999998
2010-12-01,106.7,107.0,104.25,-0.25,-8.000000000000014
2011-01-04,130.65,127.1,116.1,-10.949999999999989,-31.950000000000017
2011-02-01,121.15,120.7,115.9,-11.5,-26.65000000000002
2011-03-01,118.9,118.55,118.85,-14.5,-25.00000000000003
