trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-05-01,103.93,102.32,102.32,-0.01999999999999602,1.5600000000000023
2014-06-02,104.91,103.33,103.33,-1.0300000000000011,-1.0300000000000011
2014-07-01,103.98,103.98,103.98,-1.6800000000000068,-1.6800000000000068
2014-08-01,104.12,104.12,104.12,-1.8200000000000074,-1.8200000000000074
2014-09-02,104.94,104.94,104.94,-2.6400000000000006,-2.6400000000000006
2014-10-01,102.67,102.67,102.67,-0.37000000000000455,-0.37000000000000455
2014-11-03,102.62,102.62,102.62,-0.3200000000000074,-0.3200000000000074
2014-12-01,102.88,102.88,102.88,-0.5799999999999983,-0.5799999999999983
2015-01-02,101.8,101.8,101.8,0.5,0.5
2015-02-02,102.17,102.17,102.17,0.12999999999999545,0.12999999999999545
2015-03-02,102.37,102.37,102.37,-0.07000000000000739,-0.07000000000000739
2015-04-01,102.3,102.3,102.3,0.0,0.0
2015-05-01,102.3,102.3,102.3,0.0,0.0
2015-06-01,102.3,102.3,102.3,0.0,0.0
2015-07-01,102.3,102.3,102.3,0.0,0.0
2015-08-03,102.3,102.3,102.3,0.0,0.0
2015-09-01,102.3,102.3,102.3,0.0,0.0
2015-10-01,102.3,102.3,102.3,0.0,0.0
2015-11-02,102.3,102.3,102.3,0.0,0.0
2015-12-01,102.3,102.3,102.3,0.0,0.0
2016-01-04,102.3,102.3,102.3,0.0,0.0
2016-02-01,102.3,102.3,102.3,0.0,0.0
2016-03-01,102.3,102.3,102.3,0.0,0.0
2016-04-01,102.3,102.3,102.3,0.0,0.0
2016-05-02,102.3,102.3,102.3,0.0,0.0
2016-06-01,102.3,102.3,102.3,0.0,0.0
2016-07-01,102.3,102.3,102.3,0.0,0.0
2016-08-01,102.3,102.3,102.3,0.0,0.0
