trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-05-01,1.5127,1.535,1.535,-0.06819999999999982,-0.05840000000000023
2015-06-01,1.5203,1.5193,1.5193,-0.07869999999999999,-0.07050000000000023
2015-07-01,1.5593,1.5584,1.5584,-0.22910000000000008,-0.2230000000000001
2015-08-03,1.5578,1.5569,1.5569,-0.2368999999999999,-0.23320000000000007
2015-09-01,1.5306,1.5299,1.5299,-0.20250000000000012,-0.2018000000000002
2015-10-01,1.5126,1.5122,1.5122,-0.2246999999999999,-0.2269000000000001
2015-11-02,1.5408,1.5405,1.5405,-0.3147,-0.3196000000000001
2015-12-01,1.5081,1.5084,1.5084,-0.2499,-0.25680000000000014
2016-01-04,1.4713,1.4634,1.4634,-0.238,-0.25560000000000027
2016-02-01,1.4443,1.4448,1.4448,-0.17630000000000012,-0.19640000000000013
2016-03-01,1.3953,1.3958,1.3958,-0.1674,-0.19010000000000016
2016-04-01,1.4217,1.4227,1.4227,-0.17300000000000004,-0.1978000000000002
2016-05-02,1.4668,1.4674,1.4674,-0.1753,-0.2026000000000001
2016-06-01,1.4406,1.4418,1.4418,-0.15359999999999996,-0.18320000000000025
2016-07-01,1.3293,1.3308,1.3308,-0.032299999999999995,-0.06400000000000028
2016-08-01,1.32,1.3223,1.3223,0.0007999999999999119,-0.03210000000000024
