trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-04-01,753.5,756.0,767.0,-195.0,-228.5
2014-05-01,806.25,804.0,810.0,-316.75,-361.25
2014-06-02,718.75,727.0,736.75,-222.5,-262.25
2014-07-01,700.0,688.75,690.75,-114.75,-182.5
2014-08-01,632.75,643.5,651.5,-162.5,-230.0
2014-09-02,617.5,632.5,646.0,-187.5,-254.25
2014-10-01,557.5,561.5,589.5,-82.0,-154.0
2014-11-03,597.5,602.0,622.5,-139.75,-229.0
2014-12-01,660.25,664.25,682.75,-231.25,-334.75
2015-01-02,617.0,622.0,655.75,-201.5,-302.25
2015-02-02,534.5,536.25,578.25,-111.5,-212.5
2015-03-02,521.0,525.75,574.5,-137.0,-236.5
2015-04-01,572.0,575.75,616.0,-138.25,-254.5
2015-05-01,493.25,500.5,552.0,-91.0,-199.5
2015-06-01,514.25,523.25,568.0,-112.0,-231.5
2015-07-01,576.0,592.5,636.0,-241.75,-362.25
2015-08-03,489.0,508.75,553.5,-144.25,-261.0
2015-09-01,458.5,482.25,529.0,-149.25,-266.5
2015-10-01,507.5,521.75,571.5,-164.5,-291.25
2015-11-02,482.75,499.0,548.25,-134.5,-262.0
2015-12-01,451.5,469.0,524.0,-140.0,-262.0
2016-01-04,454.25,464.5,526.5,-112.5,-236.25
2016-02-01,466.75,476.75,533.75,-93.25,-223.5
2016-03-01,437.5,449.5,506.75,-41.25,-172.0
2016-04-01,477.75,488.5,543.5,-124.5,-258.5
2016-05-02,461.0,474.25,538.25,-85.5,-210.5
2016-06-01,456.0,472.25,529.75,-99.0,-227.25
2016-07-01,394.25,411.5,473.25,68.0,-57.25
2016-08-01,409.25,435.5,515.25,-50.0,-149.25
