trade_date,spot,f2m,f1y,ret1yl,roll1y
1999-02-01,351.25,354.5,375.0,-57.25,-139.5
1999-03-01,316.25,326.0,354.0,-43.5,-119.25
1999-04-01,334.75,343.0,367.0,-44.5,-126.5
1999-05-03,316.5,323.25,359.5,-32.5,-105.75
1999-06-01,322.75,328.5,356.0,-31.75,-113.0
1999-07-01,332.0,335.5,360.0,-44.25,-134.75
1999-08-02,343.5,358.25,385.0,-88.0,-170.5
1999-09-01,333.0,343.25,374.0,-72.75,-157.5
1999-10-01,325.25,340.25,372.0,-46.25,-130.5
1999-11-01,325.75,334.0,364.0,-48.5,-139.75
1999-12-01,316.75,328.75,359.75,-42.75,-136.0
2000-01-03,316.5,325.0,355.0,-30.5,-129.75
2000-02-01,317.75,328.5,363.0,-42.25,-134.75
2000-03-01,310.5,321.0,360.0,-45.0,-129.75
2000-04-03,322.5,332.75,376.5,-61.75,-140.75
2000-05-01,327.0,332.0,369.0,-37.0,-126.0
2000-06-01,324.25,334.0,373.0,-39.5,-124.25
2000-07-03,315.75,324.75,364.0,-50.0,-132.25
2000-08-01,297.0,313.5,353.0,-37.0,-108.0
2000-09-01,301.25,316.75,354.25,-43.25,-114.5
2000-10-02,325.75,339.25,370.0,-67.5,-143.0
2000-11-01,315.5,330.5,363.0,-49.25,-121.25
2000-12-01,317.0,330.5,363.25,-65.75,-135.0
2001-01-02,324.5,333.0,367.0,-67.5,-139.25
2001-02-01,320.75,328.0,367.0,-66.0,-133.25
2001-03-01,315.0,324.25,364.25,-74.75,-139.75
2001-04-02,314.75,323.0,357.0,-50.75,-122.25
2001-05-01,332.0,339.5,374.0,-74.0,-144.0
2001-06-01,333.5,340.25,370.5,-63.0,-125.75
2001-07-02,314.0,319.5,353.0,-20.0,-76.5
2001-08-01,316.0,329.75,365.0,15.0,-32.25
2001-09-04,311.0,322.0,359.0,78.0,38.0
2001-10-01,302.5,315.75,349.0,166.25,127.0
2001-11-01,313.75,324.75,355.0,121.75,96.5
