trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-02-09,46.65,48.11,54.11,-14.68,-23.150000000000013
2014-03-03,48.88,48.68,52.79,-8.869999999999997,-22.260000000000012
2014-04-01,41.21,41.82,49.01,-4.890000000000001,-14.120000000000019
2014-05-01,40.44,41.22,50.34,-9.14,-14.84000000000001
2014-06-02,37.97,38.95,49.62,-9.119999999999997,-12.530000000000008
2014-07-01,35.47,35.97,47.75,-6.810000000000002,-8.590000000000003
2014-08-01,37.38,42.29,48.22,-7.609999999999999,-10.800000000000004
2014-09-01,45.87,50.87,55.59,-13.770000000000003,-14.75
2014-10-01,50.19,50.93,54.49,-12.43,-16.43
2014-11-03,48.55,50.27,52.67,-13.130000000000003,-16.83
2014-12-01,49.11,49.56,52.69,-12.269999999999996,-15.97999999999999
2015-01-02,42.11,41.09,48.48,-12.159999999999997,-13.059999999999988
2015-02-02,39.43,42.26,46.06,-13.240000000000002,-13.399999999999984
2015-03-02,43.92,43.45,43.93,-10.57,-15.499999999999986
2015-04-01,44.12,43.3,43.37,-11.21,-15.409999999999982
2015-05-01,41.2,41.44,42.78,-11.100000000000001,-12.379999999999988
2015-06-01,40.5,40.48,42.08,-7.339999999999996,-9.039999999999992
2015-07-01,40.94,41.41,42.32,-5.530000000000001,-7.069999999999993
2015-08-03,40.61,42.19,40.53,-0.8200000000000003,-6.089999999999996
2015-09-01,41.82,44.42,42.26,-3.3200000000000003,-7.950000000000003
2015-10-01,42.06,42.32,44.19,9.870000000000005,3.6099999999999994
2015-11-02,39.54,40.73,42.22,34.96000000000001,29.070000000000007
2015-12-01,40.42,40.85,43.0,19.369999999999997,10.209999999999994
2016-01-04,36.32,34.82,39.78,14.350000000000001,11.849999999999994
2016-02-01,32.82,33.8,38.56,15.629999999999995,18.19999999999999
2016-03-01,33.36,31.4,31.79,12.939999999999998,13.109999999999985
2016-04-01,32.16,30.75,31.4,9.5,10.169999999999987
2016-05-02,31.68,32.34,33.85,4.909999999999997,8.109999999999985
2016-06-01,34.74,34.36,35.27,4.259999999999998,5.749999999999986
2016-07-01,36.79,39.53,40.08,0.37000000000000455,4.509999999999991
2016-08-01,39.71,41.17,42.11,1.5799999999999983,3.569999999999986
