trade_date,spot,f2m,f1y,ret1yl,roll1y
2003-11-03,1968.0,1972.0,1972.0,6.5,18.0
2003-12-01,1988.5,1992.5,1992.5,145.5,160.0
2004-01-02,2009.5,2000.5,2000.5,161.5,166.0
2004-02-02,2065.0,2068.0,2068.0,6.0,13.5
2004-03-01,2058.0,2057.0,2057.0,16.5,23.0
2004-04-01,2017.5,2016.5,2016.5,-21.5,-16.0
2004-05-03,1940.0,1939.0,1939.0,-6.5,-2.0
2004-06-01,1991.5,1990.5,1990.5,100.0,103.5
2004-07-01,2021.5,2020.5,2020.5,49.5,52.0
2004-08-02,1894.5,1893.5,1893.5,305.0,306.5
2004-09-01,1851.5,1850.5,1850.5,298.5,299.0
2004-10-01,1942.0,1939.5,1939.5,231.5,229.5
2004-11-01,1978.5,1979.5,1979.5,144.0,121.5
2004-12-01,2138.0,2139.0,2139.0,131.0,88.0
2005-01-03,2162.0,2162.0,2162.0,99.5,35.0
2005-02-01,2074.0,2074.0,2074.0,248.0,162.0
2005-03-01,2073.5,2073.5,2073.5,246.0,138.5
2005-04-01,1995.0,1995.0,1995.0,363.5,234.5
2005-05-02,1932.5,1932.5,1932.5,385.5,235.0
2005-06-01,2090.5,2090.5,2090.5,133.0,-39.0
2005-07-01,2070.0,2070.0,2070.0,143.0,-50.5
2005-08-01,2198.5,2198.5,2198.5,-124.0,-342.5
2005-09-01,2149.0,2149.0,2149.0,47.5,-196.0
2005-10-03,2171.0,2192.5,2192.5,69.0,-178.0
2005-11-01,2123.5,2145.0,2145.0,203.0,-47.5
2005-12-01,2270.0,2291.5,2291.5,125.5,-128.5
2006-01-03,2261.5,2283.0,2283.0,164.5,-97.0
2006-02-01,2322.0,2343.5,2343.5,138.5,-131.0
2006-03-01,2319.5,2341.0,2341.0,69.0,-209.0
2006-04-03,2358.5,2380.0,2380.0,70.5,-215.0
2006-05-01,2318.0,2339.5,2339.5,207.0,-89.0
2006-06-01,2223.5,2245.0,2245.0,373.5,65.0
2006-07-03,2213.0,2238.0,2238.0,418.0,100.5
2006-08-01,2074.5,2099.5,2099.5,471.5,147.0
2006-09-01,2196.5,2221.5,2221.5,416.0,85.5
2006-10-02,2261.5,2286.5,2286.5,483.0,146.5
2006-11-01,2348.0,2373.0,2373.0,438.5,96.0
2006-12-01,2417.0,2446.0,2446.0,199.0,-145.5
2007-01-03,2447.5,2477.0,2477.0,157.0,-189.0
2007-02-01,2482.0,2512.0,2512.0,-92.0,-439.0
2007-03-01,2410.0,2439.0,2439.0,-176.5,-525.5
2007-04-02,2450.5,2482.5,2482.5,-111.0,-459.0
2007-05-01,2546.5,2580.5,2580.5,-94.5,-439.5
2007-06-01,2618.5,2652.5,2652.5,-158.0,-500.0
2007-07-02,2656.0,2688.0,2688.0,-373.0,-714.0
2007-08-01,2571.0,2602.0,2602.0,-285.5,-626.5
2007-09-04,2637.5,2668.5,2668.5,-316.5,-657.5
2007-10-01,2769.5,2800.5,2800.5,-717.5,-1058.5
2007-11-01,2811.5,2842.5,2842.5,-1114.0,-1455.0
2007-12-03,2645.0,2676.0,2676.0,-1177.0,-1518.0
2008-01-02,2634.0,2665.0,2665.0,-1033.5,-1374.5
2008-02-01,2420.0,2451.0,2451.0,-958.5,-1299.5
2008-03-03,2262.5,2293.5,2293.5,-971.0,-1312.0
2008-04-01,2371.5,2402.5,2402.5,-851.0,-1192.0
