trade_date,spot,f2m,f1y,ret1yl,roll1y
1992-02-03,1.176,1.205,1.35,0.2769999999999997,0.9159999999999993
1992-03-02,1.167,1.172,1.245,0.611,1.1719999999999995
1992-04-01,1.381,1.346,1.389,0.6479999999999999,1.1919999999999993
1992-05-01,1.431,1.398,1.4,0.8890000000000002,1.4339999999999995
1992-06-01,1.66,1.6130000000000002,1.59,0.5890000000000002,1.0999999999999999
1992-07-01,1.551,1.5519999999999998,1.525,0.5960000000000001,1.107
1992-08-03,1.857,1.838,1.675,0.5410000000000001,0.8280000000000001
1992-09-01,2.081,2.086,1.81,0.556,0.6900000000000002
1992-10-01,2.518,2.463,2.15,0.12700000000000022,0.09500000000000042
1992-11-02,2.421,2.351,2.329,0.10499999999999998,0.1360000000000008
1992-12-01,1.895,1.695,2.15,0.04800000000000004,0.35500000000000065
1993-01-04,1.554,1.508,1.809,0.1200000000000001,0.33900000000000086
1993-02-01,1.6269999999999998,1.638,1.75,0.8889999999999998,0.975000000000001
1993-03-01,1.856,1.808,1.78,0.40000000000000013,0.549000000000001
1993-04-01,2.037,1.962,1.87,0.274,0.3180000000000014
1993-05-03,2.289,2.251,2.11,-0.10099999999999998,-0.1339999999999988
1993-06-01,2.1790000000000003,2.176,2.125,-0.2350000000000001,-0.21799999999999908
1993-07-01,2.121,2.19,2.254,-0.03799999999999981,0.07000000000000117
1993-08-02,2.216,2.261,2.225,-0.3470000000000002,-0.28299999999999925
1993-09-01,2.366,2.44,2.367,-0.7709999999999999,-0.7569999999999992
1993-10-01,2.277,2.435,2.384,-0.7009999999999998,-0.7429999999999994
1993-11-01,2.434,2.435,2.482,-0.5460000000000003,-0.7859999999999996
1993-12-01,2.198,2.086,2.36,-0.7069999999999999,-0.9639999999999995
1994-01-03,1.929,1.884,2.127,-0.44399999999999973,-0.8179999999999996
1994-02-01,2.639,2.388,2.135,-0.7449999999999999,-1.8639999999999997
1994-03-01,2.18,2.146,2.133,-0.6499999999999999,-1.5759999999999998
1994-04-04,2.144,2.134,2.141,-0.45999999999999996,-1.389
1994-05-02,2.009,2.046,2.105,-0.4099999999999999,-1.309
1994-06-01,1.89,1.983,2.102,-0.36699999999999977,-1.13
1994-07-01,2.216,2.205,2.133,-0.661,-1.707
1994-08-01,1.878,1.965,2.101,-0.6419999999999999,-1.4539999999999997
1994-09-01,1.596,1.832,2.063,-0.3230000000000002,-0.8949999999999998
1994-10-03,1.683,1.98,2.094,-0.19999999999999996,-0.696
1994-11-01,1.936,2.068,2.154,-0.30499999999999994,-0.764
1994-12-01,1.653,1.694,1.969,0.09999999999999987,-0.17500000000000004
1995-01-03,1.683,1.681,1.879,0.98,0.7279999999999998
1995-02-01,1.39,1.403,1.733,0.766,1.223
1995-03-01,1.483,1.496,1.719,0.43700000000000006,1.22
1995-04-03,1.681,1.74,1.856,0.43200000000000016,1.265
1995-05-01,1.695,1.712,1.816,0.41300000000000003,1.3
1995-06-01,1.735,1.816,1.859,0.5470000000000002,1.469
1995-07-05,1.472,1.533,1.767,0.9929999999999999,2.128
1995-08-01,1.459,1.55,1.744,0.5319999999999998,1.7619999999999996
1995-09-01,1.74,1.844,1.7719999999999998,0.049000000000000155,1.0979999999999996
1995-10-02,1.894,1.961,1.835,0.3500000000000001,1.2539999999999998
1995-11-01,1.849,1.895,1.89,0.772,1.668
