trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-07-02,1972.0,1995.0,2070.75,-201.75,-301.5
2007-08-01,1960.5,1983.5,2059.5,-226.5,-311.75
2007-09-04,2024.75,2049.25,2125.0,-273.25,-343.0
2007-10-01,2135.25,2157.25,2236.25,-657.5,-709.5
2007-11-01,2215.5,2238.5,2317.5,-976.0,-1014.0
2007-12-03,2075.0,2095.5,2168.0,-1073.5,-1100.5
2008-01-02,2070.0,2089.25,2167.25,-914.25,-918.75
2008-02-01,1863.5,1874.25,1929.0,-740.25,-759.0
2008-03-03,1736.75,1745.5,1775.5,-689.5,-723.75
2008-04-01,1857.75,1865.0,1886.75,-635.75,-670.0
2008-05-01,1983.25,1991.25,2015.25,-616.75,-640.0
2008-06-02,2011.25,2019.75,2045.5,-575.5,-587.5
2008-07-01,1869.0,1877.75,1903.75,-425.0,-427.0
2008-08-01,1833.0,1841.75,1868.0,-241.25,-232.5
2008-09-02,1851.75,1859.25,1885.25,-289.75,-271.5
2008-10-01,1578.75,1587.75,1613.25,57.25,86.5
2008-11-03,1341.5,1344.5,1352.75,316.25,333.25
2008-12-01,1094.5,1096.75,1103.75,688.25,708.5
2009-01-02,1253.0,1254.75,1261.0,625.75,649.25
2009-02-02,1188.75,1188.25,1194.5,561.25,586.25
2009-03-02,1086.0,1085.0,1091.25,751.5,778.0
2009-04-01,1251.0,1250.25,1259.25,692.75,724.0
2009-05-01,1398.5,1397.5,1406.5,620.5,653.25
2009-06-01,1470.0,1469.0,1478.0,353.0,386.25
2009-07-01,1478.75,1477.0,1474.0,254.0,275.25
2009-08-03,1626.75,1624.5,1621.5,272.75,293.75
2009-09-01,1595.5,1593.0,1590.0,230.0,250.75
2009-10-01,1670.5,1668.5,1665.5,329.0,350.25
2009-11-02,1669.0,1666.75,1663.75,465.25,487.0
2009-12-01,1792.0,1789.75,1786.75,371.75,393.75
2010-01-04,1886.75,1884.75,1881.75,368.75,390.75
2010-02-01,1755.75,1753.25,1750.25,572.25,595.0
2010-03-01,1842.75,1840.0,1837.0,474.5,497.25
2010-04-01,1952.0,1949.5,1942.0,396.5,414.5
2010-05-03,2027.0,2025.5,2018.0,383.5,403.0
2010-06-01,1831.0,1829.25,1821.5,498.0,519.75
2010-07-01,1728.0,1726.0,1718.5,636.75,660.25
2010-08-02,1894.25,1892.0,1884.5,461.5,488.25
2010-09-01,1820.0,1817.5,1810.0,407.25,437.0
2010-10-01,1994.5,1991.75,1984.25,81.0,113.0
2010-11-01,2129.0,2126.5,2119.0,184.5,217.5
2010-12-01,2158.5,2156.5,2149.0,160.25,196.25
2011-01-03,2250.5,2247.25,2239.75,76.25,113.5
2011-02-01,2322.5,2319.75,2312.25,175.25,213.0
2011-03-01,2311.5,2309.25,2301.75,341.5,382.25
2011-04-01,2338.5,2335.5,2328.0,449.0,492.5
2011-05-02,2401.5,2397.25,2388.75,329.75,374.0
2011-06-01,2319.5,2316.0,2307.5,147.5,194.0
2011-07-01,2355.25,2349.75,2342.25,272.0,319.75
2011-08-01,2346.0,2340.5,2333.25,291.75,340.75
2011-09-01,2217.25,2212.25,2204.0,570.5,621.0
2011-10-03,2065.25,2061.75,2053.75,734.5,788.75
2011-11-01,2303.5,2298.5,2290.5,394.25,450.25
2011-12-01,2309.25,2304.75,2296.75,373.25,431.25
2012-01-03,2316.0,2312.75,2305.25,433.5,495.25
2012-02-01,2487.5,2482.25,2474.75,281.75,345.25
2012-03-01,2643.25,2637.5,2630.0,118.75,183.0
2012-04-02,2777.0,2771.0,2754.5,33.5,89.25
2012-05-01,2718.5,2712.75,2695.0,168.5,223.0
2012-06-01,2455.0,2449.25,2431.5,554.0,608.75
2012-07-02,2614.25,2607.75,2591.25,325.75,380.75
2012-08-01,2625.0,2617.5,2601.0,511.75,565.75
2012-09-04,2774.5,2767.5,2751.0,335.5,389.25
2012-10-01,2788.25,2781.5,2765.0,480.5,534.5
2012-11-01,2684.75,2678.25,2661.75,706.25,760.75
2012-12-03,2670.0,2663.5,2647.0,836.0,890.25
2013-01-02,2738.75,2731.75,2713.75,845.5,897.25
2013-02-01,2756.5,2750.0,2732.0,698.0,750.25
2013-03-01,2748.75,2742.25,2724.25,944.5,997.75
2013-04-01,2788.0,2782.25,2763.5,886.75,940.5
2013-05-01,2863.5,2857.5,2838.75,748.0,803.25
2013-06-03,2985.5,2980.0,2961.25,766.25,823.0
2013-07-01,2917.0,2910.5,2891.75,993.0,1050.5
2013-08-01,3112.75,3106.0,3087.25,786.0,844.0
2013-09-03,3086.5,3079.5,3060.75,1031.25,1089.5
2013-10-01,3245.5,3238.5,3209.25,773.25,821.25
2013-11-01,3368.0,3361.75,3332.25,825.0,873.0
2013-12-02,3483.0,3477.0,3447.5,839.0,888.25
2014-01-02,3559.25,3552.25,3538.0,676.25,739.0
2014-02-03,3430.0,3422.5,3408.25,777.25,846.5
2014-03-03,3668.75,3661.75,3647.25,829.75,899.0
2014-04-01,3650.25,3642.75,3611.5,701.5,752.75
2014-05-01,3586.75,3579.75,3551.5,916.25,972.0
2014-06-02,3727.5,3720.25,3692.0,829.5,885.75
2014-07-01,3884.75,3877.5,3843.5,578.5,628.25
2014-08-01,3873.25,3866.0,3833.25,739.75,789.75
2014-09-02,4092.0,4084.75,4052.25,106.0,156.5
2014-10-01,3982.5,3976.0,3949.75,237.75,295.75
2014-11-03,4157.25,4150.0,4123.75,570.25,627.5
2014-12-01,4286.5,4281.25,4255.0,461.25,519.75
2015-01-02,4214.25,4200.25,4191.0,313.5,379.75
2015-02-02,4185.5,4178.25,4169.0,122.5,186.5
2015-03-02,4477.0,4470.75,4464.0,-126.25,-60.25
2015-04-01,4313.0,4304.5,4299.0,229.5,297.5
2015-05-01,4467.75,4460.0,4441.0,-72.0,-18.0
2015-06-01,4521.5,4515.0,4496.0,25.5,80.25
2015-07-01,4422.0,4415.75,4397.75,35.5,92.75
2015-08-03,4573.0,4565.5,4547.5,197.0,255.25
2015-09-01,4158.25,4150.5,4133.0,644.5,703.5
2015-10-01,4187.5,4181.0,4167.75,698.0,760.0
2015-11-02,4694.0,4687.5,4674.25,83.0,142.75
2015-12-01,4716.25,4711.5,4698.25,38.25,94.75
2016-01-04,4504.5,4499.5,4497.0,409.25,472.0
2016-02-01,4291.5,4285.75,4283.25,865.25,923.0
2016-03-01,4337.75,4328.5,4324.75,1061.25,1109.25
