trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-03-01,89.85,88.0,83.7,-4.8500000000000085,-5.6000000000000085
2011-04-01,84.3,84.75,89.2,-11.799999999999997,-2.8499999999999943
2011-05-02,86.45,86.65,91.3,-22.25,-13.450000000000003
2011-06-01,87.9,87.85,92.05,-32.199999999999996,-25.050000000000004
2011-07-01,88.15,88.1,90.7,-32.75,-27.05000000000001
2011-08-01,86.45,86.65,90.05,-31.799999999999997,-25.25000000000002
2011-09-01,89.15,89.7,91.7,-31.85,-26.25000000000002
2011-10-03,87.85,87.9,86.45,-32.6,-31.150000000000013
2011-11-01,85.9,84.75,83.3,-32.199999999999996,-33.55000000000001
2011-12-01,81.55,79.55,82.3,-19.299999999999997,-20.55000000000001
2012-01-03,78.85,79.0,80.0,-17.700000000000003,-20.000000000000014
2012-02-01,84.85,82.95,81.2,-18.25,-25.550000000000004
2012-03-01,78.85,78.35,78.75,-17.35,-23.4
2012-04-02,77.4,77.95,83.3,-28.099999999999994,-28.500000000000007
2012-05-01,69.05,70.2,76.5,-21.200000000000003,-19.35
2012-06-01,59.85,59.65,66.55,-3.6999999999999957,-0.7999999999999972
2012-07-02,57.95,58.1,65.85,-1.7999999999999972,2.549999999999997
2012-08-01,58.25,58.35,66.85,-7.699999999999996,1.2999999999999972
2012-09-03,59.85,60.6,69.05,-7.799999999999997,2.9499999999999957
2012-10-01,53.85,55.5,68.35,-10.749999999999993,6.299999999999997
2012-11-01,51.1,53.2,63.15,1.3500000000000014,17.499999999999993
2012-12-03,63.0,62.45,66.5,-4.899999999999999,11.549999999999997
2013-01-02,62.3,62.65,68.05,-6.199999999999996,11.350000000000001
2013-02-01,62.95,63.35,66.7,-6.550000000000004,9.399999999999999
2013-03-01,61.4,61.25,64.7,-7.050000000000004,8.799999999999997
2013-04-02,55.2,55.05,59.1,-1.3000000000000043,14.349999999999994
2013-05-01,55.3,54.65,57.95,-0.7000000000000028,13.649999999999991
2013-06-03,62.85,62.4,64.2,-7.900000000000006,3.999999999999986
2013-07-01,64.05,60.25,61.65,-5.299999999999997,2.54999999999999
2013-08-01,59.15,58.1,59.75,-7.200000000000003,2.349999999999987
2013-09-02,61.25,61.0,62.05,-11.049999999999997,-2.8000000000000114
2013-10-01,57.6,57.7,61.2,-11.300000000000004,-1.200000000000017
2013-11-01,64.5,57.75,62.35,-13.25,-8.95000000000001
2013-12-02,61.6,62.2,62.05,-12.399999999999999,-12.100000000000016
2014-01-02,61.85,61.8,61.25,-12.049999999999997,-11.550000000000011
2014-02-03,60.15,60.2,60.6,-10.149999999999999,-7.250000000000007
2014-03-03,57.65,58.3,60.5,-12.100000000000001,-5.000000000000007
2014-04-01,57.8,57.7,61.15,-16.5,-6.8500000000000085
2014-05-01,57.25,57.75,59.95,-13.200000000000003,-3.9000000000000057
2014-06-02,56.3,56.15,58.9,-14.0,-2.250000000000007
2014-07-01,56.35,53.85,58.4,-15.449999999999996,-4.050000000000004
2014-08-01,52.55,53.0,57.45,-16.0,-4.349999999999994
2014-09-01,51.0,51.7,56.65,-13.549999999999997,-0.8499999999999943
2014-10-01,49.9,50.05,53.5,-16.6,-5.099999999999994
2014-11-03,49.1,48.95,49.4,-12.049999999999997,-3.6999999999999957
2014-12-01,49.65,49.0,48.85,-11.850000000000001,-4.999999999999993
2015-01-02,49.2,47.8,46.1,-8.700000000000003,-4.75
2015-02-02,50.45,48.7,46.4,-10.350000000000001,-7.70000000000001
2015-03-02,48.4,47.0,45.75,-10.549999999999997,-6.950000000000003
2015-04-01,44.65,44.25,42.7,-4.25,-2.3999999999999986
2015-05-01,46.75,44.7,43.5,-7.25,-6.199999999999996
2015-06-01,44.9,44.55,42.3,-3.1999999999999957,-2.999999999999993
2015-07-01,42.95,43.05,43.05,0.20000000000000284,2.5
2015-08-03,41.45,41.6,42.75,5.850000000000001,10.199999999999996
2015-09-01,43.1,42.95,41.3,8.900000000000006,10.399999999999999
2015-10-01,36.9,36.9,37.5,21.65,24.700000000000003
2015-11-02,37.35,37.6,36.95,43.3,45.6
2015-12-01,37.0,36.95,35.2,22.0,23.150000000000006
2016-01-04,37.4,36.35,35.15,29.1,32.15000000000001
2016-02-01,36.05,34.75,34.9,19.800000000000004,21.450000000000017
2016-03-01,35.2,36.25,35.05,21.700000000000003,23.05000000000001
2016-04-01,38.45,37.55,35.75,31.150000000000006,31.600000000000016
2016-05-03,36.25,35.7,36.1,22.199999999999996,29.10000000000001
2016-06-01,39.1,39.35,39.1,15.549999999999997,23.45000000000001
2016-07-01,43.25,42.5,42.05,12.700000000000003,20.500000000000014
2016-08-01,48.6,48.5,48.75,11.950000000000003,21.450000000000017
