trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-03-01,67.1,67.3,78.05,-17.549999999999997,-9.749999999999993
2011-04-01,76.95,76.95,82.9,-24.35000000000001,-21.85
2011-05-03,77.75,78.25,85.25,-27.200000000000003,-23.65
2011-06-01,76.5,77.25,84.8,-29.299999999999997,-25.65
2011-07-01,76.65,76.65,82.65,-26.35000000000001,-24.500000000000007
2011-08-01,76.5,76.9,82.05,-21.75,-20.750000000000007
2011-09-01,76.85,76.85,83.15,-24.250000000000007,-26.049999999999997
2011-10-03,73.0,73.0,75.0,-20.6,-26.700000000000003
2011-11-01,72.75,72.85,75.25,-15.75,-21.75
2011-12-01,69.5,69.6,74.8,-13.199999999999996,-17.650000000000006
2012-01-03,69.5,69.5,73.45,-15.400000000000006,-21.650000000000013
2012-02-01,59.15,60.25,67.0,-9.549999999999997,-12.900000000000006
2012-03-01,60.5,61.0,70.1,-10.449999999999996,-11.300000000000004
2012-04-02,58.55,59.05,68.95,-11.900000000000006,-11.550000000000004
2012-05-01,58.05,59.25,65.65,-5.250000000000007,-8.000000000000007
2012-06-01,55.5,55.75,65.8,-4.699999999999996,-3.8500000000000085
2012-07-02,56.3,56.7,67.35,-12.599999999999994,-11.150000000000006
2012-08-01,60.3,64.25,70.0,-17.0,-17.0
2012-09-03,58.9,58.9,67.1,-16.14999999999999,-14.049999999999997
2012-10-01,54.4,54.8,65.6,-13.249999999999993,-8.449999999999996
2012-11-01,59.5,60.85,66.8,-12.099999999999994,-10.899999999999999
2012-12-03,61.6,62.15,69.85,-15.499999999999993,-12.449999999999996
2013-01-02,58.05,59.05,68.35,-11.349999999999994,-6.1499999999999915
2013-02-01,57.45,57.8,66.45,-10.050000000000004,-4.899999999999999
2013-03-01,59.65,59.75,66.15,-3.500000000000007,-0.5
2013-04-02,57.05,57.85,64.75,-5.450000000000003,-0.7999999999999972
2013-05-01,60.4,60.7,66.2,-4.5,-2.1999999999999886
2013-06-03,61.1,61.5,67.35,-7.549999999999997,-5.54999999999999
2013-07-01,54.75,55.25,60.15,1.4500000000000028,2.150000000000013
2013-08-01,53.0,53.35,58.9,0.7000000000000028,2.700000000000017
2013-09-02,50.95,51.25,58.65,-1.5799999999999983,3.1200000000000188
2013-10-01,52.35,52.45,60.4,-7.600000000000001,-2.249999999999986
2013-11-01,54.7,55.15,60.9,-7.699999999999996,-4.6999999999999815
2013-12-02,54.35,54.8,61.3,-8.049999999999997,-4.499999999999986
2014-01-02,57.0,56.75,59.95,-10.900000000000006,-11.399999999999991
2014-02-03,56.4,56.4,57.2,-9.650000000000006,-13.04999999999999
2014-03-03,62.65,62.3,62.0,-10.030000000000001,-14.579999999999991
2014-04-01,59.3,60.55,63.15,-12.350000000000001,-12.749999999999993
2014-05-01,61.7,62.75,65.35,-18.299999999999997,-16.9
2014-06-02,59.8,60.65,64.25,-19.65,-16.64999999999999
2014-07-01,61.6,61.3,63.3,-22.349999999999994,-20.849999999999994
2014-08-01,59.6,59.05,60.55,-17.75,-17.800000000000004
2014-09-01,57.07,57.07,59.8,-16.65,-15.470000000000006
2014-10-01,52.8,53.4,58.45,-16.150000000000006,-12.050000000000004
2014-11-03,53.2,53.85,57.3,-15.0,-11.850000000000009
2014-12-01,53.25,53.75,57.4,-13.549999999999997,-10.800000000000004
2015-01-02,49.05,49.55,52.55,-8.599999999999994,-6.100000000000001
2015-02-02,47.55,47.25,48.45,-5.25,-4.949999999999996
2015-03-02,51.97,51.97,51.55,-8.25,-10.919999999999995
2015-04-01,50.8,50.05,50.35,-6.800000000000004,-9.749999999999993
2015-05-01,47.05,47.3,49.5,-5.950000000000003,-6.749999999999993
2015-06-01,44.6,44.2,47.15,-7.350000000000001,-9.100000000000001
2015-07-01,40.95,41.45,45.8,-6.25,-6.100000000000001
2015-08-03,42.8,42.8,45.9,-6.350000000000001,-7.449999999999996
2015-09-01,43.15,43.15,46.6,-6.050000000000004,-7.049999999999997
2015-10-01,42.3,42.3,46.15,-2.3500000000000014,-2.9499999999999957
2015-11-02,42.3,43.4,46.15,4.399999999999999,3.8000000000000043
2015-12-01,43.85,43.95,46.85,6.699999999999996,5.850000000000001
2016-01-04,43.95,44.05,46.85,9.199999999999996,9.350000000000001
2016-02-01,43.2,44.55,46.65,11.399999999999999,12.199999999999996
2016-03-01,43.3,43.55,47.4,7.649999999999999,12.449999999999996
2016-04-01,43.55,43.55,47.4,7.649999999999999,12.449999999999996
2016-05-03,43.55,44.85,47.4,4.649999999999999,9.449999999999996
2016-06-01,39.8,39.8,46.55,5.75,14.75
2016-07-01,39.55,39.55,55.67,-3.6200000000000045,14.75
