trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-03-01,13.95,14.0,14.7,-5.649999999999999,-6.100000000000001
2011-04-01,12.95,13.0,14.15,-6.0,-6.0
2011-05-03,11.35,12.35,13.1,-4.75,-4.199999999999999
2011-06-01,12.15,12.4,14.05,-6.550000000000001,-4.85
2011-07-01,13.4,13.4,15.15,-7.300000000000001,-5.5
2011-08-01,14.25,14.6,15.75,-8.25,-6.949999999999999
2011-09-01,14.05,14.05,16.25,-5.75,-4.700000000000001
2011-10-03,14.45,14.55,16.4,-8.399999999999999,-7.6
2011-11-01,14.5,14.25,15.6,-5.799999999999999,-6.249999999999998
2011-12-01,13.0,13.0,15.15,-5.800000000000001,-5.999999999999998
2012-01-03,12.0,12.0,14.25,-4.15,-4.549999999999999
2012-02-01,10.25,9.9,12.75,-2.8499999999999996,-2.9999999999999982
2012-03-01,9.05,9.1,13.1,-4.0,-3.049999999999999
2012-04-02,8.15,8.2,11.1,-1.549999999999999,-2.4499999999999993
2012-05-01,8.35,8.35,10.55,0.1999999999999993,-2.049999999999999
2012-06-01,7.5,7.5,10.4,0.25,-1.6499999999999986
2012-07-02,7.85,8.1,10.65,-0.40000000000000036,-2.8999999999999986
2012-08-01,7.5,8.8,11.35,-1.3499999999999996,-2.6499999999999986
2012-09-03,10.5,10.5,12.7,-2.4499999999999993,-4.549999999999997
2012-10-01,8.0,8.5,12.05,-1.8500000000000014,-2.349999999999998
2012-11-01,9.8,10.35,12.05,-1.6000000000000014,-3.6499999999999986
2012-12-03,9.35,9.65,11.7,0.20000000000000107,-1.8999999999999986
2013-01-02,10.1,10.1,11.55,0.1999999999999993,-2.6499999999999986
2013-02-01,9.9,10.0,11.25,0.9499999999999993,-2.1999999999999993
2013-03-01,9.1,9.9,11.3,0.9499999999999993,-1.6999999999999993
2013-04-02,9.55,10.2,11.55,1.0,-1.2499999999999982
2013-05-01,10.75,11.1,12.4,0.9000000000000004,-1.2499999999999982
2013-06-03,10.65,11.15,12.7,0.25,-1.549999999999999
2013-07-01,10.25,10.35,11.9,-0.05000000000000071,-1.8499999999999996
2013-08-01,10.0,10.45,11.75,-0.5,-2.3000000000000007
2013-09-02,10.25,10.5,12.5,-1.1999999999999993,-2.700000000000001
2013-10-01,10.2,10.45,12.35,-1.4000000000000004,-2.7500000000000018
2013-11-01,10.45,11.15,12.75,-1.75,-3.3500000000000014
2013-12-02,11.9,12.05,13.25,-0.15000000000000036,-2.650000000000002
2014-01-02,11.75,11.95,12.85,-0.5999999999999996,-3.3000000000000007
2014-02-03,12.2,12.65,13.4,-3.25,-5.6
2014-03-03,12.25,12.45,13.65,-3.4299999999999997,-4.779999999999999
2014-04-01,12.55,12.75,13.8,-3.5,-4.800000000000001
2014-05-01,13.3,13.7,14.45,-4.699999999999999,-6.050000000000001
2014-06-02,12.95,13.05,14.15,-4.25,-5.300000000000001
2014-07-01,11.85,12.05,13.55,-3.5700000000000003,-4.02
2014-08-01,11.25,11.9,13.05,-2.700000000000001,-2.8499999999999996
2014-09-01,11.3,11.3,12.9,-2.33,-2.049999999999999
2014-10-01,10.95,11.6,13.1,-2.1999999999999993,-1.3699999999999974
2014-11-03,11.0,11.65,13.0,-2.75,-1.469999999999997
2014-12-01,13.1,13.2,14.4,-4.550000000000001,-2.769999999999996
2015-01-02,12.25,12.2,13.98,-3.7300000000000004,-1.219999999999997
2015-02-02,10.15,9.8,11.9,-2.0,0.7300000000000022
2015-03-02,10.22,10.22,11.2,-1.6499999999999986,0.3100000000000023
2015-04-01,10.3,10.45,11.45,-2.0,0.08000000000000185
2015-05-01,9.75,9.9,10.75,-1.4499999999999993,0.5800000000000018
2015-06-01,9.9,9.9,10.9,-2.1500000000000004,0.13000000000000256
2015-07-01,9.98,9.98,11.3,-1.6500000000000004,0.9000000000000021
2015-08-03,10.35,10.37,11.25,-1.1999999999999993,0.8300000000000036
2015-09-01,10.57,10.57,11.05,-0.40000000000000036,1.1300000000000026
2015-10-01,10.9,10.95,11.09,0.8100000000000005,2.200000000000003
2015-11-02,10.25,9.7,10.05,1.75,2.8000000000000025
2015-12-01,9.85,9.65,10.2,1.6000000000000014,2.650000000000002
2016-01-04,10.25,10.0,9.9,2.4000000000000004,2.8000000000000025
2016-02-01,9.9,9.55,9.6,3.0,3.400000000000002
2016-03-01,9.55,9.6,9.8,1.3999999999999986,2.400000000000002
2016-04-01,9.45,9.5,9.8,2.0,3.0000000000000036
2016-05-03,9.3,9.2,9.9,2.0,3.450000000000003
2016-06-01,8.75,8.8,10.2,0.8300000000000001,3.1800000000000015
2016-07-01,9.65,9.75,11.4,-0.09999999999999964,2.410000000000002
2016-08-01,10.05,10.15,13.34,-1.3900000000000006,2.8100000000000005
