trade_date,spot,f2m,f1y,ret1yl,roll1y
2009-10-01,292.95,293.95,295.45,275.8,271.4500000000001
2009-11-02,326.35,327.5,332.75,314.95000000000005,315.5000000000001
2009-12-01,381.55,382.45,385.15,345.6,343.50000000000006
2010-01-04,419.8,421.4,422.45,377.95,375.3
2010-02-01,428.55,428.85,429.85,392.6,390.20000000000005
2010-03-01,436.5,437.0,438.7,375.65000000000003,373.35000000000014
2010-04-01,489.55,489.55,494.05,280.99999999999994,281.50000000000006
2010-05-03,547.25,548.25,551.25,232.64999999999998,232.6500000000001
2010-06-01,460.75,461.15,463.5,313.95000000000005,313.5000000000001
2010-07-01,429.05,429.05,430.45,326.00000000000006,323.7000000000001
2010-08-02,515.85,515.85,519.45,309.04999999999995,308.70000000000005
2010-09-01,518.35,518.35,522.65,265.9,265.25
2010-10-01,571.25,571.25,577.35,15.899999999999977,16.550000000000068
2010-11-01,647.7,648.7,652.25,-17.350000000000023,-18.75
2010-12-01,730.75,731.25,733.2,-105.55000000000007,-108.14999999999998
2011-01-03,800.4,800.4,800.0,-137.04999999999995,-142.89999999999986
2011-02-01,822.45,823.55,827.1,-130.80000000000007,-131.75
2011-03-01,814.35,814.35,819.4,-104.39999999999998,-104.25000000000011
2011-04-01,775.05,775.05,777.9,-120.04999999999995,-122.5
2011-05-02,783.9,784.1,789.0,-108.54999999999995,-109.14999999999998
2011-06-01,777.45,778.35,782.1,-169.80000000000007,-171.25
2011-07-01,756.45,756.7,759.7,-183.20000000000005,-185.85000000000002
2011-08-01,828.5,829.5,831.85,-250.05000000000007,-253.35000000000002
2011-09-01,788.55,789.05,791.7,-151.45000000000005,-154.75
2011-10-03,593.25,593.75,595.55,48.40000000000009,44.450000000000045
2011-11-01,634.9,635.0,637.6,-25.950000000000045,-30.25
2011-12-01,627.65,628.55,632.1,57.35000000000002,54.10000000000002
2012-01-03,662.95,663.1,666.5,40.75,36.84999999999991
2012-02-01,696.3,696.7,699.75,56.25,52.049999999999955
2012-03-01,715.0,715.4,718.2,0.4499999999999318,-4.0
2012-04-02,657.85,658.25,661.75,121.04999999999995,116.59999999999991
2012-05-01,680.45,681.05,684.25,-0.6000000000000227,-5.300000000000182
2012-06-01,612.3,613.0,615.2,141.5999999999999,135.49999999999977
2012-07-02,576.5,577.5,579.3,105.60000000000002,98.6999999999997
2012-08-01,581.8,582.6,585.5,145.45000000000005,139.44999999999982
2012-09-04,640.25,640.55,643.0,73.20000000000005,66.14999999999986
2012-10-01,643.95,645.2,647.6,70.29999999999995,63.79999999999973
2012-11-01,611.65,612.45,615.4,122.30000000000007,116.69999999999982
2012-12-03,689.45,690.1,692.5,19.899999999999977,13.849999999999795
2013-01-02,707.25,707.6,709.6,19.75,13.449999999999818
2013-02-01,756.0,756.4,758.9,-56.39999999999998,-62.500000000000114
2013-03-01,718.65,719.75,722.25,27.549999999999955,22.349999999999795
2013-04-01,782.8,783.35,786.4,-4.0499999999999545,-8.20000000000016
2013-05-01,683.65,684.75,687.8,126.5,123.64999999999986
2013-06-03,756.8,758.2,760.3,71.75,69.49999999999989
2013-07-01,684.9,685.9,689.05,165.95000000000005,165.54999999999995
2013-08-01,730.95,731.85,734.85,130.64999999999998,132.39999999999986
2013-09-03,716.2,716.85,719.8,162.80000000000007,166.0999999999999
2013-10-01,717.9,718.35,721.35,62.35000000000002,65.95000000000005
2013-11-01,737.7,738.25,741.45,62.59999999999991,66.44999999999993
2013-12-02,712.4,712.6,715.45,92.64999999999998,96.0
2014-01-02,729.35,730.05,734.05,60.80000000000007,66.0
2014-02-03,702.5,702.7,707.25,81.04999999999995,86.99999999999989
2014-03-03,749.8,749.85,753.05,77.25,82.19999999999993
2014-04-01,782.35,782.15,784.2,-35.65000000000009,-32.15000000000009
2014-05-01,814.3,814.15,816.1,-42.35000000000002,-39.200000000000045
2014-06-02,832.05,832.25,833.1,-60.450000000000045,-58.200000000000045
2014-07-01,855.0,853.6,854.65,-154.44999999999993,-153.0
2014-08-01,865.5,864.55,865.15,-262.44999999999993,-262.9
2014-09-02,882.6,882.8,883.7,-305.20000000000005,-305.6500000000001
2014-10-01,783.7,784.2,784.9,-105.5,-105.70000000000016
2014-11-03,804.05,804.4,805.15,-155.0,-155.4000000000001
2014-12-01,808.1,808.1,809.0,-270.35,-270.8000000000002
2015-01-02,794.85,794.85,796.15,-253.19999999999993,-253.10000000000014
2015-02-02,788.3,788.0,789.45,-287.85,-288.85
2015-03-02,830.3,830.4,832.2,-314.6,-315.9
2015-04-01,748.55,748.65,750.4,-188.60000000000002,-189.14999999999998
2015-05-01,773.75,773.75,775.65,-150.64999999999998,-150.60000000000002
2015-06-01,772.65,772.25,773.65,-226.35000000000002,-226.95000000000005
2015-07-01,700.2,700.7,703.0,-96.85000000000002,-95.70000000000016
2015-08-03,602.7,603.2,604.65,110.30000000000007,111.39999999999986
2015-09-01,578.5,578.55,580.15,81.10000000000002,81.09999999999991
2015-10-01,679.4,680.0,680.4,30.350000000000023,30.59999999999991
2015-11-02,650.15,650.35,651.55,-18.0,-17.250000000000114
2015-12-01,538.65,538.5,540.4,210.60000000000002,211.3499999999999
2016-01-04,542.95,543.9,545.25,164.04999999999995,165.74999999999977
2016-02-01,501.6,502.35,503.85,259.1,261.0499999999997
2016-03-01,517.6,516.9,518.95,259.0999999999999,260.9499999999997
2016-04-01,561.8,561.35,563.25,239.29999999999995,240.1999999999997
2016-05-02,625.0,624.75,628.55,185.75,188.29999999999973
2016-06-01,547.3,546.95,550.25,276.75,278.2999999999997
2016-07-01,606.15,605.85,609.25,245.5,248.54999999999984
2016-08-01,714.95,716.25,719.95,178.44999999999993,193.99999999999977
