trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-07-02,438.45,442.9,456.15,-91.04999999999995,-103.09999999999997
2007-08-01,412.95,417.05,428.95,-55.94999999999999,-68.94999999999999
2007-09-04,421.8,425.7,436.5,-48.80000000000001,-62.69999999999999
2007-10-01,436.8,442.1,451.3,-91.90000000000003,-103.20000000000005
2007-11-01,415.1,418.1,428.8,-139.3,-147.50000000000006
2007-12-03,395.9,398.6,409.1,-183.00000000000003,-190.1
2008-01-02,393.3,396.4,407.5,-136.39999999999998,-139.09999999999997
2008-02-01,384.7,385.8,396.9,-161.39999999999998,-164.2
2008-03-03,363.3,364.2,375.2,-179.39999999999998,-182.59999999999997
2008-04-01,377.0,377.3,388.4,-163.7,-168.0
2008-05-01,385.8,386.1,397.2,-136.7,-139.4
2008-06-02,392.1,392.7,403.8,-129.5,-130.6
2008-07-01,365.1,368.8,369.6,-96.20000000000005,-102.90000000000006
2008-08-01,373.0,376.7,377.3,-78.0,-80.40000000000006
2008-09-02,387.7,388.8,392.0,-96.19999999999999,-93.90000000000006
2008-10-01,359.4,360.8,364.2,-56.39999999999998,-51.599999999999994
2008-11-03,289.5,290.9,288.2,10.199999999999989,11.299999999999983
2008-12-01,226.1,225.4,221.7,89.30000000000001,89.59999999999997
2009-01-02,271.1,272.3,268.2,70.19999999999999,72.1999999999999
2009-02-02,235.5,236.7,232.2,91.30000000000001,94.09999999999994
2009-03-02,195.8,197.3,192.8,147.89999999999998,152.1999999999999
2009-04-01,224.7,223.4,223.6,138.79999999999998,147.49999999999991
2009-05-01,260.5,259.5,259.7,128.60000000000002,137.29999999999995
2009-06-01,274.3,273.3,273.5,68.30000000000001,76.99999999999994
2009-07-01,273.4,272.6,271.6,51.799999999999955,59.39999999999998
2009-08-03,299.3,298.3,297.3,56.19999999999999,63.69999999999999
2009-09-01,295.8,294.9,293.9,40.60000000000002,48.099999999999966
2009-10-01,307.8,306.8,302.0,57.80000000000001,61.39999999999992
2009-11-02,298.4,297.5,292.7,78.60000000000002,82.29999999999995
2009-12-01,311.0,310.1,305.3,89.30000000000001,93.09999999999997
2010-01-04,338.4,338.4,336.2,86.40000000000003,93.80000000000001
2010-02-01,323.5,323.5,320.6,103.0,110.69999999999999
2010-03-01,340.7,339.7,337.1,88.19999999999999,96.19999999999999
2010-04-01,362.4,361.4,358.4,89.0,96.59999999999997
2010-05-03,388.3,387.3,384.3,68.80000000000001,76.39999999999998
2010-06-01,341.8,340.9,338.0,101.80000000000001,109.59999999999997
2010-07-01,323.4,322.5,320.6,130.29999999999995,139.29999999999995
2010-08-02,353.5,352.6,350.5,76.30000000000001,85.39999999999998
2010-09-01,334.5,333.6,330.9,56.400000000000034,65.30000000000001
2010-10-01,359.8,358.8,356.8,-21.19999999999999,-11.599999999999966
2010-11-01,371.3,370.3,368.3,25.5,35.10000000000002
2010-12-01,394.6,393.6,391.6,18.099999999999966,27.69999999999999
2011-01-03,422.6,421.6,420.1,-0.10000000000002274,10.0
2011-02-01,423.6,422.6,421.1,28.5,38.60000000000002
2011-03-01,425.3,424.3,422.8,30.899999999999977,41.200000000000045
2011-04-01,447.4,446.4,444.9,23.900000000000034,34.60000000000008
2011-05-02,453.1,452.1,450.6,6.2999999999999545,16.5
2011-06-01,439.8,438.7,437.2,-22.599999999999966,-12.999999999999943
2011-07-01,450.9,449.7,448.2,-1.3999999999999773,8.400000000000091
2011-08-01,426.8,425.5,424.0,9.800000000000011,19.40000000000009
2011-09-01,387.3,386.3,384.8,77.39999999999998,87.10000000000008
2011-10-03,335.6,334.6,331.6,135.89999999999998,144.20000000000005
2011-11-01,393.8,392.8,389.8,71.59999999999997,80.30000000000001
2011-12-01,409.7,408.7,405.7,55.5,64.70000000000005
2012-01-03,420.0,419.0,414.5,73.30000000000001,81.00000000000006
2012-02-01,449.6,448.4,443.9,63.200000000000045,70.70000000000005
2012-03-01,453.7,452.3,447.8,62.5,69.90000000000003
2012-04-02,468.8,468.3,465.2,59.30000000000001,69.30000000000001
2012-05-01,456.9,456.4,453.3,64.59999999999997,76.5
2012-06-01,414.6,413.2,410.1,145.19999999999993,158.0999999999999
2012-07-02,446.8,445.7,442.1,113.5,126.19999999999993
2012-08-01,433.8,432.7,428.0,165.60000000000002,178.4999999999999
2012-09-04,462.2,461.1,456.3,118.30000000000001,132.39999999999986
2012-10-01,467.5,466.1,460.3,147.49999999999994,161.5999999999998
2012-11-01,461.4,459.9,454.1,169.79999999999995,182.69999999999982
2012-12-03,461.2,460.2,454.4,201.80000000000007,213.99999999999983
2013-01-02,487.8,486.8,480.5,180.0,190.99999999999983
2013-02-01,507.1,505.8,500.7,118.30000000000001,129.49999999999977
2013-03-01,510.3,508.6,503.5,160.70000000000005,170.49999999999977
2013-04-01,524.5,522.1,519.1,158.5,168.29999999999984
2013-05-01,517.9,515.5,512.5,138.29999999999995,145.9999999999999
2013-06-03,555.3,553.9,550.9,101.60000000000002,108.19999999999993
2013-07-01,555.6,553.2,552.3,134.10000000000002,140.69999999999982
2013-08-01,593.6,591.2,590.3,53.5,57.99999999999977
2013-09-03,574.6,572.2,571.3,102.70000000000005,105.0999999999998
2013-10-01,607.8,607.5,606.6,20.100000000000023,22.499999999999886
2013-11-01,623.9,623.6,622.7,56.299999999999955,58.69999999999993
2013-12-02,656.2,655.9,655.0,12.299999999999955,14.699999999999818
2014-01-02,660.5,660.2,659.3,35.10000000000002,37.49999999999977
2014-02-03,619.0,618.7,617.8,60.200000000000045,62.599999999999795
2014-03-03,664.2,663.9,663.0,46.200000000000045,49.79999999999984
2014-04-01,677.6,677.3,676.4,43.200000000000045,47.99999999999977
2014-05-01,650.8,650.5,649.6,55.299999999999955,60.79999999999973
2014-06-02,652.5,652.2,651.3,63.200000000000045,69.39999999999975
2014-07-01,686.4,686.1,685.2,34.299999999999955,41.19999999999982
2014-08-01,643.8,643.5,642.6,70.29999999999995,77.79999999999984
2014-09-02,674.0,673.7,672.8,-7.699999999999932,1.3999999999998636
2014-10-01,626.7,626.4,624.9,25.300000000000068,35.299999999999955
2014-11-03,679.0,678.7,677.2,20.899999999999977,31.5
2014-12-01,667.3,667.0,665.5,45.39999999999998,56.60000000000002
2015-01-02,694.4,694.1,692.0,-36.5,-25.299999999999955
2015-02-02,678.0,676.5,674.4,-46.89999999999998,-34.499999999999886
2015-03-02,709.2,707.7,705.6,-57.89999999999998,-44.29999999999984
2015-04-01,719.6,718.6,714.1,-26.200000000000045,-13.29999999999984
2015-05-01,704.9,703.9,699.4,0.6000000000000227,13.10000000000025
2015-06-01,714.5,713.5,709.0,0.7000000000000455,12.800000000000296
2015-07-01,719.5,718.6,712.4,-2.3999999999999773,7.700000000000273
2015-08-03,712.9,711.0,706.8,36.5,49.90000000000032
2015-09-01,665.1,663.3,659.1,94.19999999999993,109.00000000000023
2015-10-01,650.2,649.3,639.6,114.39999999999998,126.00000000000011
2015-11-02,698.1,697.2,691.9,21.0,37.39999999999998
2015-12-01,710.9,710.0,705.4,103.39999999999998,120.89999999999998
2016-01-04,655.5,652.8,649.2,193.39999999999998,210.5
2016-02-01,627.5,624.8,619.5,212.79999999999995,226.79999999999995
2016-03-01,647.7,645.0,639.9,222.20000000000005,234.9999999999999
2016-04-01,687.9,687.3,681.5,147.10000000000002,159.89999999999998
2016-05-02,700.0,699.4,693.6,161.60000000000002,175.10000000000002
2016-06-01,709.7,709.1,703.3,143.60000000000002,157.79999999999995
2016-07-01,710.0,706.8,702.9,160.20000000000005,174.39999999999998
2016-08-01,743.3,740.1,736.2,130.29999999999995,144.5
