trade_date,spot,f2m,f1y,ret1yl,roll1y
2009-10-01,1282.0,1289.3,1294.2,381.70000000000005,356.0999999999997
2009-11-02,1338.1,1342.2,1342.2,370.29999999999995,337.6999999999998
2009-12-01,1486.6,1507.3,1495.3,172.70000000000005,148.79999999999995
2010-01-04,1517.3,1518.4,1530.2,250.89999999999986,235.89999999999986
2010-02-01,1534.6,1535.3,1529.3,300.29999999999995,262.89999999999986
2010-03-01,1542.1,1544.0,1542.0,303.0999999999999,271.5999999999999
2010-04-01,1669.8,1669.8,1681.1,93.80000000000018,75.60000000000014
2010-05-03,1728.9,1728.9,1733.3,144.4000000000001,119.29999999999995
2010-06-01,1547.4,1549.4,1556.8,267.10000000000014,247.0
2010-07-01,1503.3,1503.3,1511.9,204.89999999999986,186.0
2010-08-02,1576.8,1576.8,1612.0,182.5999999999999,190.29999999999995
2010-09-01,1535.7,1535.7,1544.4,308.5,289.70000000000005
2010-10-01,1675.9,1682.1,1687.7,-175.4000000000001,-191.10000000000014
2010-11-01,1712.5,1712.5,1717.8,-139.0,-156.50000000000023
2010-12-01,1668.0,1684.0,1691.3,-135.0999999999999,-135.20000000000027
2011-01-03,1781.1,1786.4,1791.2,-363.9000000000001,-362.2000000000003
2011-02-01,1829.6,1829.6,1839.0,-218.4000000000001,-213.30000000000018
2011-03-01,1845.1,1845.1,1853.3,-153.70000000000005,-150.90000000000032
2011-04-01,1774.9,1774.9,1787.0,-137.9000000000001,-132.7000000000005
2011-05-02,1877.7,1877.7,1883.4,-315.3000000000002,-318.90000000000055
2011-06-01,1823.9,1823.9,1832.3,-400.5999999999999,-403.7000000000005
2011-07-01,1716.8,1716.8,1724.5,-268.9000000000001,-274.2000000000005
2011-08-01,1794.6,1794.6,1804.1,-404.29999999999995,-408.6000000000006
2011-09-01,1852.9,1852.9,1863.8,-297.29999999999995,-300.6000000000008
2011-10-03,1512.3,1513.8,1526.2,155.29999999999995,153.99999999999932
2011-11-01,1578.8,1579.4,1591.6,-20.899999999999864,-22.400000000000546
2011-12-01,1556.2,1557.2,1570.4,41.899999999999864,40.39999999999941
2012-01-03,1427.3,1428.5,1445.8,119.29999999999995,121.59999999999945
2012-02-01,1620.6,1621.7,1632.9,53.299999999999955,49.09999999999968
