trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-01-03,18917.0,18890.0,18943.0,-1290.0,-1477.0
2012-02-01,20905.0,20939.0,21091.0,-2513.0,-2590.0
2012-03-01,19423.0,19454.0,19691.0,-3140.0,-3123.0
2012-04-02,17765.0,17791.0,17997.0,-1678.0,-1687.0
2012-05-01,17644.0,17671.0,17879.0,-3117.5,-3120.5
2012-06-01,16040.0,16066.0,16283.0,-1160.0,-1156.5
2012-07-02,16739.0,16742.0,16922.0,-3015.5,-3070.0
2012-08-01,15501.0,15522.0,15723.0,-1887.0,-1924.5
2012-09-03,16175.0,16196.0,16399.0,-2713.0,-2750.5
2012-10-01,18685.0,18705.0,18885.0,-5199.0,-5263.0
2012-11-01,16261.0,16271.0,16467.0,-1945.0,-2010.0
2012-12-03,17453.5,17474.5,17665.0,-4205.0,-4274.5
2013-01-02,17653.0,17676.0,17876.0,-3925.0,-3982.0
2013-02-01,18578.0,18600.0,18799.0,-4963.0,-5023.0
2013-03-01,16551.0,16572.0,16786.0,-2079.0,-2121.5
2013-04-02,16319.0,16342.0,16618.0,-623.0,-594.5
2013-05-01,14761.5,14790.0,15033.0,3240.0,3245.0
2013-06-03,15123.0,15147.0,15390.0,3916.0,3941.0
2013-07-01,13906.5,13931.5,14163.5,4893.5,4910.5
2013-08-01,13836.0,13859.0,14105.0,4239.0,4259.0
2013-09-02,13686.0,13709.5,13968.0,4710.0,4742.0
2013-10-01,13686.0,13713.0,13978.0,2051.5,2090.0
2013-11-01,14522.0,14542.0,14745.0,951.0,919.0
2013-12-02,13460.0,13480.0,13692.0,2558.5,2531.5
2014-01-02,13951.0,13975.0,14195.0,573.0,553.5
2014-02-03,13836.0,13854.5,13980.0,1301.0,1180.5
2014-03-03,14707.0,14721.0,14745.0,-940.5,-1167.5
2014-04-01,15995.0,16014.0,16078.0,-3415.0,-3601.5
2014-05-01,18273.0,18277.0,18194.0,-4481.5,-4826.0
2014-06-02,19306.0,19328.0,19300.0,-6347.0,-6630.0
2014-07-01,19057.0,19091.0,19051.0,-7062.0,-7332.0
2014-08-01,18344.0,18368.0,18523.0,-7817.0,-7884.0
2014-09-01,18678.0,18705.0,18912.0,-9176.0,-9176.5
2014-10-01,16029.5,16058.0,16257.0,-6234.0,-6224.0
2014-11-03,15696.0,15720.0,15882.0,-5779.5,-5794.5
2014-12-01,16250.5,16275.0,16405.0,-7455.5,-7485.0
2015-01-02,14768.0,14793.0,14935.0,-6462.0,-6467.0
2015-02-02,15281.0,15300.0,15445.0,-7016.75,-7013.25
2015-03-02,13804.5,13823.0,13974.0,-5316.0,-5301.5
2015-04-01,12663.0,12678.0,12845.0,-4559.0,-4521.5
2015-05-01,13712.5,13728.0,13878.0,-4390.25,-4366.75
2015-06-01,12953.0,12962.0,13109.0,-4669.25,-4651.75
2015-07-01,11989.0,12005.0,12160.0,-2225.0,-2198.0
2015-08-03,10706.0,10718.5,10849.5,-148.5,-149.0
2015-09-01,9736.0,9746.0,9825.0,40.0,-17.5
2015-10-01,10023.0,10035.0,10084.0,222.0,130.5
2015-11-02,10102.5,10109.5,10197.0,170.0,107.5
2015-12-01,8949.5,8962.0,9084.0,2085.5,2053.0
2016-01-04,8473.0,8486.5,8603.0,1261.5,1222.0
2016-02-01,8428.25,8441.75,8565.0,1638.25,1601.5
2016-03-01,8658.0,8666.0,8768.0,2217.5,2150.0
2016-04-01,8286.0,8298.5,8428.0,1373.0,1325.0
2016-05-03,9487.75,9499.75,9627.0,-161.0,-217.25
2016-06-01,8439.75,8454.25,8590.25,209.75,155.75
2016-07-01,9935.0,9951.0,10084.0,-732.5,-790.5
2016-08-01,10701.0,10716.0,10844.0,-596.0,-660.0
2016-09-01,9865.0,9881.0,10397.0,1588.75,1911.25
