trade_date,spot,f2m,f1y,ret1yl,roll1y
2006-12-03,3.1595,3.1695,3.129,-0.05900000000000016,-0.11100000000000021
2007-01-03,2.6445,2.649,2.628,0.4314999999999998,0.399
2007-02-01,2.5305,2.5395,2.439,0.8340000000000001,0.7265000000000001
2007-03-01,2.7505,2.7545,2.65,1.2795,1.1614999999999998
2007-04-02,3.179,3.1765,2.969,0.8375000000000004,0.6150000000000002
2007-05-01,3.6255,3.6345,3.35,0.35749999999999993,0.06950000000000012
2007-06-01,3.405,3.401,3.153,0.4434999999999998,0.20100000000000007
2007-07-02,3.535,3.527,3.2545,0.6664999999999996,0.38999999999999924
2007-08-01,3.585,3.5805,3.3515,0.22699999999999987,-4.440892098500626e-16
2007-09-04,3.321,3.3135,3.1455,0.16149999999999975,-0.007000000000001005
2007-10-01,3.6875,3.6915,3.491,-0.6970000000000001,-0.8760000000000012
2007-11-01,3.3625,3.37,3.3075,-1.4675,-1.4965000000000008
2007-12-03,3.07,3.0745,3.073,-1.4555,-1.4230000000000007
2008-01-02,3.0595,3.064,3.0735,-1.62,-1.5780000000000005
2008-02-01,3.273,3.2835,3.214,-1.783,-1.8170000000000006
2008-03-03,3.9295,3.9285,3.736,-2.2230000000000003,-2.3890000000000007
2008-04-01,3.8065,3.804,3.6525,-1.8034999999999999,-1.934000000000001
2008-05-01,3.7075,3.6945,3.554,-1.4509999999999996,-1.587000000000001
2008-06-02,3.5965,3.5980000000000003,3.5375,-1.2185000000000001,-1.2710000000000008
2008-07-01,3.921,3.9105,3.7785,-1.455,-1.593
2008-08-01,3.5785,3.5735,3.4695,-0.7309999999999999,-0.8529999999999998
2008-09-02,3.307,3.289,3.235,-0.4295,-0.5224999999999995
2008-10-01,2.794,2.7895,2.81,-0.07850000000000001,-0.10799999999999921
2008-11-03,1.84,1.844,1.8835,1.0605,1.0485000000000004
2008-12-01,1.6175,1.6235,1.676,1.538,1.5385000000000006
2009-01-02,1.4535,1.461,1.496,1.9020000000000001,1.8845000000000007
2009-02-02,1.431,1.439,1.481,1.603,1.5925000000000007
2009-03-02,1.513,1.516,1.554,1.788,1.770500000000001
2009-04-01,1.849,1.8525,1.8865,1.6975,1.671500000000001
2009-05-01,2.103,2.101,2.0905,1.1955,1.113000000000001
2009-06-01,2.319,2.3225,2.319,0.7429999999999999,0.6630000000000009
2009-07-01,2.3235,2.3305,2.3455,0.5265,0.4620000000000004
2009-08-03,2.7385,2.7415,2.742,0.6480000000000001,0.5679999999999998
2009-09-01,2.8055,2.812,2.8065,0.6654999999999998,0.5779999999999996
2009-10-01,2.7315,2.737,2.748,0.94,0.8704999999999992
2009-11-02,2.944,2.9505,2.9760000000000004,0.8079999999999994,0.7574999999999992
2009-12-01,3.214,3.222,3.258,0.69,0.651999999999999
2010-01-04,3.398,3.406,3.442,1.0140000000000002,0.9839999999999993
2010-02-01,3.084,3.09,3.1,1.4460000000000002,1.3939999999999995
2010-03-01,3.342,3.35,3.3760000000000003,1.1239999999999997,1.0919999999999994
2010-04-01,3.584,3.594,3.612,0.6459999999999999,0.6059999999999997
2010-05-03,3.286,3.294,3.334,0.8539999999999996,0.8339999999999994
