trade_date,spot,f2m,f1y,ret1yl,roll1y
2006-08-01,7.574,7.779,8.714,-2.362,-6.7970010000000025
2006-09-01,5.877000000000002,8.057,8.772,-3.1430000000000007,-5.830001000000005
2006-10-02,5.643,7.422999999999999,8.298,-1.2480000000000002,-2.9420010000000048
2006-11-01,7.7120000000000015,8.207,8.942,-0.3049999999999997,-2.391001000000008
2006-12-01,8.422,8.48,9.573001,-2.359001000000001,-4.3890020000000085
2007-01-03,6.1629999999999985,6.325,8.795,-0.9450000000000003,-1.5160020000000065
2007-02-01,7.53,7.58,9.006,-1.266,-2.8460020000000066
2007-03-01,7.2879999999999985,7.405,7.71,1.6360000000000001,-0.9830020000000053
2007-04-02,7.671,7.809,7.939,1.7850000000000001,-0.9330020000000045
2007-05-01,7.718,7.87,8.217,2.3439999999999994,-0.09100200000000491
2007-06-01,7.877999999999999,8.011001,8.51,3.4589999999999996,1.1679979999999954
2007-07-02,6.7639999999999985,6.869,8.048,5.457000000000001,3.8569989999999974
2007-08-01,6.352,6.564,8.353,1.0359999999999996,0.19299899999999592
2007-09-04,5.629,6.5760000000000005,7.7690009999999985,-0.5080009999999984,-1.1050010000000032
2007-10-01,7.05,7.7970000000000015,8.343,-0.6150000000000002,-1.5700010000000013
2007-11-01,8.637,8.997001,9.344001,-2.5060010000000013,-3.5920010000000007
2007-12-03,7.213999999999999,7.294,8.699,-2.0949999999999998,-2.29
2008-01-02,7.85,7.865,9.25,-3.279,-3.511
2008-02-01,7.74,7.775,8.749,-4.192,-4.8229999999999995
2008-03-03,9.346,9.408,8.883,-4.730999999999999,-6.845999999999999
2008-04-01,9.724,9.81,8.774,-5.078999999999999,-7.695
2008-05-01,10.561,10.702,9.522,-5.976,-8.73
2008-06-02,11.969,12.063,10.645,-6.396,-9.427
2008-07-01,13.505,13.57,11.943,-8.148,-11.447
2008-08-01,9.389,9.494,9.819,-5.787999999999999,-7.178999999999997
2008-09-02,7.261,7.7189999999999985,8.546,-5.725,-6.4099999999999975
2008-10-01,7.728,8.02,8.715,-4.249,-5.820999999999999
2008-11-03,6.837999999999999,7.085,8.238,-3.4139999999999997,-5.1419999999999995
2008-12-01,6.604,6.636,8.119,-3.359,-5.063000000000001
2009-01-02,5.971,5.994,7.6389999999999985,-1.7539999999999987,-3.3580000000000005
2009-02-02,4.557,4.604,6.417000000000002,-0.982000000000002,-2.3260000000000014
2009-03-02,4.152,4.228,5.643,-0.9630000000000001,-2.599000000000002
2009-04-01,3.695,3.83,5.517,-1.4320000000000004,-2.726000000000002
2009-05-01,3.5460000000000003,3.679,5.6370000000000005,-1.6370000000000005,-2.617000000000002
2009-06-01,4.249,4.373,6.324,-2.074,-3.067000000000002
2009-07-01,3.795,3.944,6.058,-1.2029999999999994,-1.9490000000000016
2009-08-03,4.0310000000000015,4.285,6.231,-1.5309999999999997,-2.216000000000003
2009-09-01,2.821,3.868,5.7,-1.9400000000000004,-1.7170000000000027
2009-10-01,4.466,5.327000000000001,6.573,-2.7780000000000005,-2.5800000000000027
2009-11-02,4.824,5.162000000000001,6.553,-2.723,-2.322000000000002
2009-12-01,4.76,4.845,6.595,-2.325,-1.7350000000000012
2010-01-04,5.885,5.84,6.95,-2.3,-2.405000000000001
2010-02-01,5.435,5.405,6.455,-2.1100000000000003,-2.2700000000000014
2010-03-01,4.68,4.745,5.495,-1.62,-2.035000000000001
2010-04-01,4.085,4.175,5.185,-0.8249999999999993,-0.9650000000000007
2010-05-03,4.0,4.13,5.245,-0.5499999999999998,-0.5300000000000002
2010-06-01,4.25,4.315,5.175,-0.5449999999999999,-0.7850000000000001
2010-07-01,4.855,4.88,5.315,-1.0050000000000008,-1.6800000000000006
2010-08-02,4.7,4.725,5.145,-0.9549999999999992,-1.6400000000000006
2010-09-01,3.76,4.06,4.745,-0.6950000000000003,-0.8150000000000013
2010-10-01,3.795,4.075,4.775,-1.1600000000000001,-1.1000000000000014
2010-11-01,3.83,4.085,4.935,-1.1549999999999998,-1.0050000000000017
2010-12-01,4.27,4.28,5.21,-1.56,-1.4600000000000013
2011-01-03,4.65,4.615,5.31,-2.3149999999999995,-2.510000000000001
2011-02-01,4.345,4.365,4.97,-2.59,-2.880000000000001
2011-03-01,3.875,3.95,4.575,-2.1100000000000003,-2.460000000000001
2011-04-01,4.36,4.435,4.93,-2.78,-3.300000000000001
2011-05-02,4.695,4.765,5.065,-2.6950000000000003,-3.4800000000000018
2011-06-01,4.63,4.665,4.995,-2.67,-3.490000000000002
2011-07-01,4.31,4.33,4.775,-1.9500000000000002,-2.695000000000001
2011-08-01,4.19,4.19,4.645,-1.4749999999999996,-2.2150000000000016
2011-09-01,4.05,4.165,4.61,-1.7550000000000003,-2.390000000000001
2011-10-03,3.615,3.93,4.405,-0.9250000000000003,-1.3600000000000012
2011-11-01,3.78,3.92,4.495,-0.7949999999999999,-1.2600000000000007
2011-12-01,3.65,3.675,4.45,-0.8600000000000003,-1.2200000000000006
2012-01-03,2.995,3.02,3.88,-0.645,-0.9200000000000013
2012-02-01,2.38,2.535,3.415,-0.11500000000000021,-0.2350000000000012
2012-03-01,2.465,2.58,3.42,0.03500000000000014,-0.06500000000000083
