trade_date,spot,f2m,f1y,ret1yl,roll1y
2010-03-01,16.475,16.4875,17.4,17.025,17.56249999999999
2010-04-01,17.8875,17.9125,18.0375,19.699999999999996,19.47499999999999
2010-05-03,18.8375,18.875,19.0,27.0875,26.87499999999999
2010-06-01,18.55,18.5875,18.7375,18.962500000000002,18.79999999999999
2010-07-01,17.7875,17.85,17.95,15.750000000000004,15.587499999999991
2010-08-02,18.425,18.475,18.5875,20.725,20.59999999999999
2010-09-01,19.3875,19.4125,19.5375,22.0,21.887499999999996
2010-10-01,22.0625,22.075,22.225,8.575,8.4875
2010-11-01,24.55,24.575,24.75,7.975000000000001,7.925000000000001
2010-12-01,28.3875,28.4125,28.65,4.0625,4.074999999999999
2011-01-03,31.125,31.175,31.4125,-1.8375000000000021,-1.8250000000000028
2011-02-01,28.5125,28.5375,28.575,5.237500000000001,5.024999999999999
2011-03-01,34.425,34.425,34.275,1.3875000000000028,0.9375000000000071
2011-04-01,37.7375,37.7625,37.7625,-4.662500000000001,-4.98749999999999
2011-05-02,46.0875,46.1,45.975,-15.05,-15.549999999999986
2011-06-01,37.7,37.7125,37.6375,-9.125000000000004,-9.62499999999999
2011-07-01,33.7,33.725,33.7,-6.200000000000003,-6.674999999999994
2011-08-01,39.3125,39.3375,39.275,-11.737499999999997,-12.29999999999999
2011-09-01,41.5375,41.55,41.4625,-9.049999999999997,-9.699999999999992
2011-10-03,30.8,30.8125,30.8125,4.137500000000003,3.562500000000007
2011-11-01,32.725,32.75,32.8125,-0.5625,-1.0749999999999957
2011-12-01,32.7125,32.7625,32.8875,0.8249999999999957,0.4000000000000057
2012-01-03,29.575,29.625,29.7125,1.3000000000000007,0.8375000000000057
2012-02-01,33.8125,33.8625,33.9875,-2.0249999999999986,-2.4499999999999957
2012-03-01,35.6625,35.7125,35.85,-7.362500000000001,-7.775000000000002
2012-04-02,33.1,33.1625,33.3,-5.349999999999998,-5.762500000000006
2012-05-01,30.925,30.9875,31.1,-7.762500000000003,-8.187500000000007
2012-06-01,28.5125,28.5625,28.6875,-5.962499999999999,-6.3750000000000036
2012-07-02,27.5,27.575,27.6625,-8.087500000000002,-8.500000000000004
2012-08-01,27.5375,27.6125,27.7125,-8.087499999999999,-8.462500000000006
2012-09-04,32.4125,32.4375,32.6,-8.175,-8.512500000000006
2012-10-01,34.95,34.975,35.1625,-13.9875,-14.300000000000008
2012-11-01,32.25,32.275,32.45,-10.612500000000004,-10.925000000000008
2012-12-03,33.7125,33.7625,33.9375,-14.6875,-14.96250000000001
2013-01-02,31.0125,31.0625,31.2375,-11.1125,-11.375000000000007
2013-02-01,31.9625,32.0125,32.225,-12.8125,-13.025000000000006
2013-03-01,28.4875,28.55,28.725,-7.237500000000001,-7.462500000000002
2013-04-01,27.95,28.0,28.225,-8.537500000000001,-8.6875
2013-05-01,23.3375,23.3875,23.5625,-4.524999999999999,-4.712499999999999
2013-06-03,22.725,22.7625,22.9625,-4.224999999999998,-4.387499999999999
2013-07-01,19.575,19.625,19.775,1.3375000000000021,1.1375000000000028
2013-08-01,19.625,19.675,19.8125,0.5625,0.33750000000000213
2013-09-03,24.425,24.45,24.6,-5.450000000000003,-5.699999999999999
2013-10-01,21.175,21.1875,21.3375,-4.074999999999999,-4.337500000000002
2013-11-01,21.8375,21.85,22.0125,-5.8125,-6.0625
2013-12-02,19.25,19.2875,19.4375,-2.7875000000000014,-3.0375000000000014
2014-01-02,20.125,20.1625,20.3125,-4.550000000000001,-4.800000000000001
2014-02-03,19.4125,19.45,19.575,-2.3249999999999993,-2.6000000000000014
2014-03-03,21.4875,21.5125,21.6375,-5.1875,-5.475000000000005
2014-04-01,19.6875,19.725,19.85,-2.7875000000000014,-3.0750000000000064
2014-05-01,19.0375,19.075,19.2,-3.0625,-3.3500000000000085
2014-06-02,18.7375,18.775,18.925,-2.25,-2.51250000000001
2014-07-01,21.1125,21.175,21.325,-5.75,-6.000000000000014
2014-08-01,20.375,20.4375,20.6,-6.085000000000001,-6.322500000000012
2014-09-02,19.15,19.175,19.3625,-4.7425000000000015,-4.977000000000011
2014-10-01,17.2625,17.275,17.375,-2.8640000000000008,-3.1905000000000108
2014-11-03,16.2,16.225,16.35,-0.942000000000002,-1.2345000000000113
2014-12-01,16.65,16.6875,16.8,-2.7375000000000007,-3.022000000000009
2015-01-02,15.7625,15.8,15.95,-2.112499999999999,-2.3470000000000084
2015-02-02,17.25,17.2875,17.425,-3.0875000000000004,-3.3345000000000073
2015-03-02,16.45,16.4875,16.6375,-1.8874999999999993,-2.122000000000005
2015-04-01,17.0625,17.1,17.25,-2.2040000000000006,-2.4385000000000048
2015-05-01,16.1375,16.175,16.325,1.3625000000000007,1.1284999999999972
2015-06-01,16.675,16.725,16.8625,-0.9375,-1.1715000000000035
2015-07-01,15.575,15.6375,15.775,3.8124999999999982,3.5909999999999975
2015-08-03,14.515,14.562,14.696,5.804,5.550999999999995
2015-09-01,14.62,14.637,14.81,4.133000000000001,3.831999999999997
2015-10-01,14.511,14.527,14.686,4.181999999999999,3.8489999999999966
2015-11-02,15.408,15.425,15.579,2.8389999999999986,2.4809999999999945
2015-12-01,14.0625,14.0875,14.2375,2.2094999999999985,1.8304999999999936
2016-01-04,13.8375,13.875,14.0375,2.371500000000003,1.9834999999999958
2016-02-01,14.3375,14.375,14.5,2.9499999999999993,2.507999999999994
2016-03-01,14.75,14.7875,14.9375,3.5515000000000008,3.104999999999995
2016-04-01,15.046,15.083,15.246,2.9659999999999993,2.5034999999999954
2016-05-02,17.6875,17.725,17.9375,-1.1000000000000014,-1.551500000000006
2016-06-01,15.925,15.975,16.2,1.0749999999999993,0.6109999999999918
2016-07-01,19.5875,19.6625,20.0125,-3.9205000000000005,-4.25950000000001
2016-08-01,20.5,20.604,21.058000000000003,-4.294000000000004,-4.529000000000007
