trade_date,spot,f2m,f1y,ret1yl,roll1y
2006-08-01,74.91,76.18,80.64001,-4.110010000000003,-13.360000000000014
2006-09-01,69.19,70.37,74.41,0.6700000000000017,-7.5
2006-10-02,61.03,62.32,67.77,12.470010000000002,7.820009999999996
2006-11-01,58.71,60.55,66.82,26.670010000000005,25.640019999999993
2006-12-01,63.43,65.01,70.08,19.230000000000004,19.62001999999999
2007-01-03,58.32,59.41,64.38,35.24000000000001,36.89001999999999
2007-02-01,57.3,58.02,62.54,26.419999999999995,28.630019999999988
2007-03-01,62.0,63.18,67.65,34.8,38.100019999999994
2007-04-02,65.94,67.55,70.41,30.570000000000007,34.310019999999994
2007-05-01,64.4,66.11,70.87,41.64999999999999,49.48001999999998
2007-06-01,65.08,66.12,70.45,57.31,66.47001999999999
2007-07-02,71.09,71.56,73.27,67.7,74.42001999999998
2007-08-01,76.53,76.21,73.11,51.989999999999995,52.97001999999996
2007-09-04,75.08,74.26,70.75,38.959999999999994,38.31001999999995
2007-10-01,80.24001,79.28,74.5,24.03,20.560009999999963
2007-11-01,93.49001,92.45,84.39001,-20.480010000000007,-27.660010000000042
2007-12-03,89.31,89.04,86.09,-36.81,-39.830010000000044
2008-01-02,99.62,99.33,93.04,-46.7,-54.75001000000004
2008-02-01,88.96,89.0,87.65,-47.57000000000001,-54.51001000000004
2008-03-03,102.45,102.01,99.32,-59.169999999999995,-71.73001000000005
2008-04-01,100.98,100.5,96.03,-47.64,-64.76001000000005
2008-05-01,112.52,111.8,106.72,-53.519999999999996,-73.78001000000005
2008-06-02,127.76,128.05,126.5,-57.92,-75.70001000000005
2008-07-01,140.97,141.58,141.74,-72.43,-88.68001000000004
2008-08-01,125.1,125.5,125.79,-54.21000000000001,-70.89001000000002
2008-09-02,109.71,110.3,114.25,-46.2,-60.23001000000002
2008-10-01,98.53,97.92001,100.73,-29.91000000000001,-46.36001000000003
2008-11-03,63.91,64.59,71.9,6.22999999999999,-5.42000000000003
2008-12-01,49.28,50.68,61.96,16.415,9.444999999999979
2009-01-02,46.34,50.21,61.76,19.740000000000002,15.50999999999997
2009-02-02,40.08,43.92,54.38,20.044999999999995,17.93999999999997
2009-03-02,40.15,42.45,50.79,27.910000000000004,25.50999999999997
2009-04-01,48.39,50.2,60.02,24.854999999999997,25.36999999999997
2009-05-01,53.2,54.54,63.89,22.310000000000002,23.219999999999978
2009-06-01,68.58,69.37,73.46,-0.8849999999999909,-7.395000000000024
2009-07-01,69.31,70.27,75.2,-2.25,-8.285000000000025
2009-08-03,71.58,73.18,79.33,2.019999999999996,-1.6950000000000358
