trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-01-03,2082.0,2089.65,2155.0,264.0,293.3600000000001
2012-02-01,2212.76,2222.5,2289.25,157.25,195.75
2012-03-01,2138.0,2150.0,2236.75,-5.75,62.75
2012-04-02,2037.0,2039.0,2089.5,-56.25,-26.0
2012-05-01,2176.5,2178.0,2215.0,-251.25,-239.75
2012-06-01,1887.0,1891.5,1944.75,280.75,304.5
2012-07-02,1869.25,1873.25,1922.75,158.25,182.25
2012-08-01,1873.75,1878.5,1917.5,184.0,198.5
2012-09-03,1999.25,1996.25,2033.75,129.5,139.5
2012-10-01,2284.0,2290.5,2321.75,-278.75,-273.0
2012-11-01,2134.5,2127.5,2151.5,19.5,1.0
2012-12-03,2251.5,2252.5,2278.5,-230.5,-255.25
2013-01-02,2419.0,2421.0,2456.0,-258.5,-279.0
2013-02-01,2446.5,2448.5,2473.0,-404.25,-446.75
2013-03-01,2231.0,2235.0,2277.0,-181.5,-211.25
2013-04-02,2033.25,2040.0,2092.0,-65.5,-87.0
2013-05-01,1963.75,1972.25,2026.0,47.5,24.75
2013-06-03,2225.5,2225.5,2236.5,-131.75,-207.25
2013-07-01,2081.0,2084.75,2119.5,17.75,-37.25
2013-08-01,2101.5,2101.5,2142.75,73.5,14.25
2013-09-02,2163.25,2167.75,2211.5,13.25,-37.5
2013-10-01,2043.0,2053.0,2112.25,-26.75,-55.25
2013-11-01,2171.0,2180.25,2227.25,-205.75,-240.0
2013-12-02,2048.0,2054.75,2104.0,-47.0,-75.0
2014-01-02,2197.5,2211.0,2250.25,-383.75,-407.25
2014-02-03,2068.75,2077.5,2098.5,-258.75,-296.75
2014-03-03,2095.5,2104.0,2133.25,-393.0,-419.25
2014-04-01,2026.5,2038.0,2082.5,-224.25,-226.25
2014-05-01,2073.5,2083.5,2123.0,-4.0,1.5
2014-06-02,2104.75,2111.75,2152.25,-232.0,-219.0
2014-07-01,2137.25,2148.0,2191.0,-419.0,-397.75
2014-08-01,2216.25,2214.75,2243.5,-548.5,-548.0
2014-09-01,2224.75,2228.0,2252.25,-526.75,-528.5
2014-10-01,2085.5,2088.25,2117.0,-476.5,-473.25
2014-11-03,2021.5,2024.25,2055.5,-367.5,-363.5
2014-12-01,2057.0,2056.0,2076.25,-425.25,-437.75
2015-01-02,1866.5,1871.5,1900.0,-155.75,-154.0
2015-02-02,1839.75,1844.75,1871.0,-134.5,-130.75
2015-03-02,1740.25,1742.75,1775.25,1.0,14.5
2015-04-01,1858.25,1855.75,1875.0,-133.5,-136.25
2015-05-01,2119.0,2119.5,2123.25,-361.5,-381.5
2015-06-01,1920.25,1925.25,1951.0,-244.75,-240.25
2015-07-01,1772.0,1777.0,1803.25,45.5,53.5
2015-08-03,1695.0,1696.0,1722.5,91.75,99.0
2015-09-01,1725.5,1727.75,1755.75,170.0,177.5
2015-10-01,1640.5,1645.0,1677.0,411.25,425.25
2015-11-02,1688.0,1692.5,1727.75,332.25,350.5
2015-12-01,1651.0,1650.0,1671.0,631.0,630.0
2016-01-04,1744.25,1745.0,1754.5,247.75,231.5
2016-02-01,1736.5,1735.5,1742.75,586.5,562.75
2016-03-01,1776.25,1776.75,1789.0,515.5,496.5
2016-04-01,1741.5,1743.75,1757.0,524.5,509.25
2016-05-03,1761.75,1764.25,1775.75,470.25,453.75
2016-06-01,1706.25,1708.25,1722.5,376.5,363.25
2016-07-01,1848.75,1850.75,1857.5,467.25,444.5
2016-08-01,1814.25,1817.75,1836.75,484.0,468.75
2016-09-01,1925.75,1927.75,1994.75,377.0,401.75
